,id_seq1,target_seq1,id_seq2,target_seq2,distance,profile
51,sequence_40826,539,sequence_40803,549,0.6809528885390446,0-1-0-0-0-0
48,sequence_40826,539,sequence_40825,532,0.3529005244115614,2-1-0-0-35-0
8,sequence_40826,539,sequence_40814,510,1.0,1-1-0-0-58-1
17,sequence_40826,539,sequence_40816,531,1.0,0-2-2-2-41-2
66,sequence_40826,539,sequence_40832,555,1.0,0-1-0-0-34-0
34,sequence_40826,539,sequence_40861,464,3.244948310154014,1-0-1-1-10-5
13,sequence_40826,539,sequence_40841,528,0.742324165738402,1-1-0-0-19-0
69,sequence_40826,539,sequence_40798,579,1.8716683393701143,0-1-0-0-67-10
73,sequence_40826,539,sequence_40802,560,1.3856203871088586,0-1-0-0-2-0
62,sequence_40826,539,sequence_40821,549,1.0,0-1-0-0-38-11
47,sequence_40826,539,sequence_40824,523,0.4318232083643421,2-1-0-0-26-0
36,sequence_40826,539,sequence_40854,465,3.155646747674772,1-0-1-1-45-5
49,sequence_40826,539,sequence_40797,558,1.0,0-1-0-0-68-0
4,sequence_40826,539,sequence_40807,528,1.0,0-1-0-0-5-0
22,sequence_40826,539,sequence_40829,528,1.0,1-0-0-0-28-3
30,sequence_40826,539,sequence_40843,495,2.307242529657032,0-0-1-1-17-6
14,sequence_40826,539,sequence_40842,522,0.5185775320190164,1-1-0-0-44-0
6,sequence_40826,539,sequence_40811,534,0.8716683393701143,0-1-0-0-59-0
64,sequence_40826,539,sequence_40823,546,0.5298570508680354,0-1-0-0-25-0
15,sequence_40826,539,sequence_40844,519,1.0,1-1-0-0-16-4
79,sequence_40826,539,sequence_40867,622,3.8716683393701135,0-1-0-0-79-10
54,sequence_40826,539,sequence_40864,549,1.0,0-1-0-0-64-0
37,sequence_40826,539,sequence_40853,463,3.84840421801774,1-0-1-1-46-5
3,sequence_40826,539,sequence_40806,525,0.778016770350772,0-1-0-0-61-0
40,sequence_40826,539,sequence_40850,462,3.201304742429301,1-0-1-1-50-5
31,sequence_40826,539,sequence_40846,483,2.4865370534318547,0-1-0-0-53-4
45,sequence_40826,539,sequence_40835,535,1.0,0-1-0-0-22-8
53,sequence_40826,539,sequence_40805,564,0.6170645508384873,0-1-0-0-1-0
41,sequence_40826,539,sequence_40792,517,1.0,0-1-0-0-76-7
20,sequence_40826,539,sequence_40827,525,0.3308903057570834,1-1-0-0-31-0
26,sequence_40826,539,sequence_40851,477,2.179294523774823,0-1-0-0-49-4
44,sequence_40826,539,sequence_40839,538,0.3072425296570316,2-1-0-0-20-0
11,sequence_40826,539,sequence_40857,522,1.0,1-1-0-0-56-1
28,sequence_40826,539,sequence_40858,495,3.307242529657032,1-0-1-1-55-5
35,sequence_40826,539,sequence_40812,464,3.84840421801774,1-0-1-1-11-5
76,sequence_40826,539,sequence_40866,620,2.8716683393701143,2-1-0-0-80-10
52,sequence_40826,539,sequence_40804,561,0.3965440921362743,0-1-0-0-62-0
77,sequence_40826,539,sequence_40799,597,2.8716683393701143,2-1-0-0-66-10
19,sequence_40826,539,sequence_40818,522,1.0,0-2-2-2-42-2
43,sequence_40826,539,sequence_40860,535,0.3965440921362743,0-1-0-0-9-0
9,sequence_40826,539,sequence_40845,495,0.8484042180177399,1-1-0-0-54-1
12,sequence_40826,539,sequence_40840,528,1.0,1-1-0-0-18-0
58,sequence_40826,539,sequence_40859,543,1.0,0-1-0-0-13-9
29,sequence_40826,539,sequence_40852,474,2.84840421801774,1-0-1-1-48-5
60,sequence_40826,539,sequence_40837,543,1.0,0-1-0-0-21-8
24,sequence_40826,539,sequence_40856,498,2.614485059314063,1-0-1-1-14-6
25,sequence_40826,539,sequence_40815,498,3.307242529657032,1-0-1-1-57-5
2,sequence_40826,539,sequence_40794,519,0.3467819269493267,2-1-0-0-73-0
46,sequence_40826,539,sequence_40819,532,0.3083839894350469,2-1-0-0-39-0
67,sequence_40826,539,sequence_40833,549,0.5194862752900336,0-1-0-0-33-0
23,sequence_40826,539,sequence_40831,525,1.0,1-0-0-0-27-3
55,sequence_40826,539,sequence_40808,543,0.2909993524714008,2-1-0-0-7-0
63,sequence_40826,539,sequence_40822,549,1.0,0-1-0-0-36-0
38,sequence_40826,539,sequence_40848,461,3.156788207452787,1-0-1-1-51-5
61,sequence_40826,539,sequence_40820,543,0.866134111818825,0-1-0-0-37-11
1,sequence_40826,539,sequence_40789,510,0.0668628291909257,1-1-0-0-71-0
32,sequence_40826,539,sequence_40791,454,3.714538329836565,1-0-1-1-75-5
57,sequence_40826,539,sequence_40862,546,0.866134111818825,0-1-0-0-8-0
7,sequence_40826,539,sequence_40813,528,1.0,0-1-0-0-12-0
33,sequence_40826,539,sequence_40793,456,3.84840421801774,1-0-1-1-77-5
65,sequence_40826,539,sequence_40834,546,0.8426868442216695,0-1-0-0-24-0
