,id_seq1,target_seq1,id_seq2,target_seq2,distance,profile
255,sequence_53082,55.0,sequence_19347,58.9,44.33196905330945,1-1-1-1-82-36
515,sequence_19402,43.0,sequence_19347,58.9,73.69372410694578,1-1-1-1-82-36
775,sequence_20054,49.0,sequence_19347,58.9,71.26609073023798,1-1-1-1-82-36
95,sequence_53082,55.0,sequence_19511,62.4,68.05984345806115,1-1-1-1-130-28
355,sequence_19402,43.0,sequence_19511,62.4,76.0535325325667,1-1-1-1-130-28
615,sequence_20054,49.0,sequence_19511,62.4,68.35480086393525,1-1-1-1-130-28
112,sequence_53082,55.0,sequence_19445,45.5,69.52663479659415,1-1-1-1-214-17
372,sequence_19402,43.0,sequence_19445,45.5,73.78997758874857,1-1-1-1-214-17
632,sequence_20054,49.0,sequence_19445,45.5,62.3334569839339,1-1-1-1-214-17
228,sequence_53082,55.0,sequence_19351,60.9,70.70798420924856,1-1-1-1-80-28
488,sequence_19402,43.0,sequence_19351,60.9,74.87290187605386,1-1-1-1-80-28
748,sequence_20054,49.0,sequence_19351,60.9,70.0482270295363,1-1-1-1-80-28
96,sequence_53082,55.0,sequence_53065,44.8,76.58530463915481,0-0-0-0-43-14
356,sequence_19402,43.0,sequence_53065,44.8,63.37014610426101,0-0-0-0-43-14
616,sequence_20054,49.0,sequence_53065,44.8,76.71386636345136,0-0-0-0-43-14
153,sequence_53082,55.0,sequence_19426,56.3,78.36631552925013,2-0-0-0-88-32
413,sequence_19402,43.0,sequence_19426,56.3,62.22735150665168,2-0-0-0-88-32
673,sequence_20054,49.0,sequence_19426,56.3,49.39737822520807,2-0-0-0-88-32
235,sequence_53082,55.0,sequence_19517,61.6,75.99984762755314,2-0-0-0-129-30
495,sequence_19402,43.0,sequence_19517,61.6,62.3336194910935,2-0-0-0-129-30
755,sequence_20054,49.0,sequence_19517,61.6,67.35252089104297,2-0-0-0-129-30
70,sequence_53082,55.0,sequence_19410,49.9,76.78397553984124,2-0-0-0-21-9
330,sequence_19402,43.0,sequence_19410,49.9,55.23172768702457,2-0-0-0-21-9
590,sequence_20054,49.0,sequence_19410,49.9,59.67894104581599,2-0-0-0-21-9
21,sequence_53082,55.0,sequence_19447,51.0,75.38971182169664,2-0-0-0-105-9
281,sequence_19402,43.0,sequence_19447,51.0,61.558388595994174,2-0-0-0-105-9
541,sequence_20054,49.0,sequence_19447,51.0,51.400760221184704,2-0-0-0-105-9
57,sequence_53082,55.0,sequence_20040,47.2,77.01581995677022,2-0-0-0-154-10
317,sequence_19402,43.0,sequence_20040,47.2,65.53677143175858,2-0-0-0-154-10
577,sequence_20054,49.0,sequence_20040,47.2,38.95354764942666,2-0-0-0-154-10
67,sequence_53082,55.0,sequence_19526,49.3,76.04271691221648,2-0-0-0-239-23
327,sequence_19402,43.0,sequence_19526,49.3,59.61919368648353,2-0-0-0-239-23
587,sequence_20054,49.0,sequence_19526,49.3,64.060754697372,2-0-0-0-239-23
158,sequence_53082,55.0,sequence_19437,46.7,76.05572332859708,2-0-0-0-222-12
418,sequence_19402,43.0,sequence_19437,46.7,56.30676251403069,2-0-0-0-222-12
678,sequence_20054,49.0,sequence_19437,46.7,56.16520267632813,2-0-0-0-222-12
152,sequence_53082,55.0,sequence_19529,48.8,78.61425603911721,2-0-0-0-250-21
412,sequence_19402,43.0,sequence_19529,48.8,53.67428686267405,2-0-0-0-250-21
672,sequence_20054,49.0,sequence_19529,48.8,71.08198920847326,2-0-0-0-250-21
199,sequence_53082,55.0,sequence_19470,61.0,75.5866726074866,2-0-0-0-110-30
459,sequence_19402,43.0,sequence_19470,61.0,66.17969277155746,2-0-0-0-110-30
719,sequence_20054,49.0,sequence_19470,61.0,64.99077574108367,2-0-0-0-110-30
223,sequence_53082,55.0,sequence_19472,59.9,73.54884270222246,2-0-0-0-190-2
483,sequence_19402,43.0,sequence_19472,59.9,54.938502300184,2-0-0-0-190-2
743,sequence_20054,49.0,sequence_19472,59.9,62.24215291323573,2-0-0-0-190-2
113,sequence_53082,55.0,sequence_19403,50.9,70.09548994604285,1-1-1-1-179-28
373,sequence_19402,43.0,sequence_19403,50.9,74.55721898692988,1-1-1-1-179-28
633,sequence_20054,49.0,sequence_19403,50.9,68.53650534862278,1-1-1-1-179-28
85,sequence_53082,55.0,sequence_20062,57.9,74.12580600257976,1-0-0-0-49-29
345,sequence_19402,43.0,sequence_20062,57.9,62.2602971528548,1-0-0-0-49-29
605,sequence_20054,49.0,sequence_20062,57.9,53.78591199844627,1-0-0-0-49-29
125,sequence_53082,55.0,sequence_19429,50.9,70.60237390375971,1-1-1-1-242-17
385,sequence_19402,43.0,sequence_19429,50.9,73.65188337963846,1-1-1-1-242-17
645,sequence_20054,49.0,sequence_19429,50.9,62.42638721231324,1-1-1-1-242-17
171,sequence_53082,55.0,sequence_19524,46.4,76.30771034773186,2-0-0-0-240-5
431,sequence_19402,43.0,sequence_19524,46.4,54.85228467745088,2-0-0-0-240-5
691,sequence_20054,49.0,sequence_19524,46.4,61.417748773914646,2-0-0-0-240-5
208,sequence_53082,55.0,sequence_19459,59.2,67.45258019469043,1-1-1-1-152-28
468,sequence_19402,43.0,sequence_19459,59.2,75.38802642037933,1-1-1-1-152-28
728,sequence_20054,49.0,sequence_19459,59.2,66.50915699225254,1-1-1-1-152-28
227,sequence_53082,55.0,sequence_19478,60.1,76.07274528355812,2-0-0-0-9-33
487,sequence_19402,43.0,sequence_19478,60.1,62.002262657908325,2-0-0-0-9-33
747,sequence_20054,49.0,sequence_19478,60.1,63.09087210355629,2-0-0-0-9-33
131,sequence_53082,55.0,sequence_19467,64.4,71.52420704800558,1-0-0-0-125-32
391,sequence_19402,43.0,sequence_19467,64.4,64.15598943412948,1-0-0-0-125-32
651,sequence_20054,49.0,sequence_19467,64.4,52.61014236246416,1-0-0-0-125-32
100,sequence_53082,55.0,sequence_20057,51.9,75.56780240722182,2-0-0-0-153-19
360,sequence_19402,43.0,sequence_20057,51.9,60.70371971174011,2-0-0-0-153-19
620,sequence_20054,49.0,sequence_20057,51.9,58.30642852922443,2-0-0-0-153-19
59,sequence_53082,55.0,sequence_19432,51.0,78.3852697628426,2-0-0-0-210-1
319,sequence_19402,43.0,sequence_19432,51.0,62.652749373894935,2-0-0-0-210-1
579,sequence_20054,49.0,sequence_19432,51.0,44.22115373488236,2-0-0-0-210-1
16,sequence_53082,55.0,sequence_53062,49.1,61.10405312402946,1-1-1-1-74-37
276,sequence_19402,43.0,sequence_53062,49.1,76.59871781982216,1-1-1-1-74-37
536,sequence_20054,49.0,sequence_53062,49.1,71.46692567877227,1-1-1-1-74-37
220,sequence_53082,55.0,sequence_19353,64.3,76.61882999302998,2-0-0-0-54-32
480,sequence_19402,43.0,sequence_19353,64.3,63.65330884186086,2-0-0-0-54-32
740,sequence_20054,49.0,sequence_19353,64.3,48.64329782548012,2-0-0-0-54-32
89,sequence_53082,55.0,sequence_19422,46.6,78.48698465775365,2-0-0-0-235-21
349,sequence_19402,43.0,sequence_19422,46.6,50.27021048539928,2-0-0-0-235-21
609,sequence_20054,49.0,sequence_19422,46.6,69.11263326766738,2-0-0-0-235-21
82,sequence_53082,55.0,sequence_19378,52.4,78.42587136252678,2-0-0-0-175-12
342,sequence_19402,43.0,sequence_19378,52.4,51.07012615403558,2-0-0-0-175-12
602,sequence_20054,49.0,sequence_19378,52.4,60.07543285452252,2-0-0-0-175-12
189,sequence_53082,55.0,sequence_19452,44.2,78.30599985548689,2-0-0-0-251-26
