,secuencia,birch-2,birch-3,birch-4,birch-5,birch-6,birch-7,birch-8,birch-9,birch-10,birch-11,birch-12,birch-13,birch-14,birch-15,birch-16,birch-17,birch-18,birch-19,birch-20,birch-21,birch-22,birch-23,birch-24,birch-25,birch-26,birch-27,birch-28,birch-29
0,sequence_47787,0,2,2,2,0,4,4,4,4,4,1,1,1,0,4,4,4,4,4,1,0,22,22,22,22,22,22,22
1,sequence_47684,0,2,2,2,0,4,4,4,4,4,1,1,1,0,4,4,4,4,4,1,0,22,22,22,22,22,22,22
2,sequence_47789,0,2,2,2,0,6,6,6,6,6,6,6,6,6,6,6,6,2,0,4,1,1,1,0,25,25,25,25
3,sequence_47790,0,2,2,2,0,6,6,6,6,6,6,6,6,6,6,6,6,2,0,4,1,1,1,0,25,25,25,25
4,sequence_47781,1,0,3,3,3,3,3,3,3,1,0,2,0,3,3,1,1,1,1,0,4,4,4,4,4,1,1,1
5,sequence_47777,1,0,3,3,3,3,3,3,3,1,0,2,0,3,3,1,1,1,1,0,4,4,4,4,4,1,1,1
6,sequence_47779,1,0,3,3,3,3,3,3,3,1,0,2,0,3,3,1,1,1,1,0,4,4,4,4,4,1,1,1
7,sequence_47784,1,0,3,3,3,3,3,3,3,1,0,2,0,3,3,1,1,1,1,0,4,4,4,4,4,1,1,1
8,sequence_47786,1,0,3,3,3,3,3,3,3,1,0,2,0,3,3,1,1,1,1,0,4,4,4,4,4,1,1,1
9,sequence_47782,1,0,3,3,3,3,3,3,3,1,0,2,0,3,3,1,1,1,1,0,4,4,4,4,4,1,1,1
10,sequence_47772,0,2,2,2,0,4,4,4,4,4,1,1,1,0,4,4,4,4,4,1,0,22,22,22,22,22,22,22
11,sequence_47795,0,2,2,2,0,4,4,4,4,4,1,1,1,0,4,4,4,4,4,1,0,22,22,22,22,22,22,22
12,sequence_47776,0,2,2,2,0,4,4,4,4,4,1,1,1,0,4,4,4,4,4,1,0,22,22,22,22,22,22,22
13,sequence_47685,0,2,2,2,0,6,6,6,6,6,6,6,6,6,6,6,6,2,0,4,1,1,1,0,25,25,25,25
14,sequence_47679,1,0,0,1,1,0,0,1,1,0,11,11,11,11,11,11,5,5,5,5,5,2,0,24,24,24,24,24
15,sequence_47695,0,2,2,2,0,4,4,4,4,4,1,1,1,0,15,15,15,15,15,15,15,15,15,15,15,15,15,15
16,sequence_47710,0,2,2,2,0,4,4,4,4,4,1,1,1,0,15,15,15,15,15,15,15,15,15,15,15,15,15,15
17,sequence_47686,0,2,2,2,0,6,6,6,6,6,6,6,6,6,6,6,6,2,0,4,1,1,1,0,13,13,13,28
18,sequence_47778,0,1,1,0,2,2,2,2,0,3,3,3,3,1,0,3,3,3,3,3,3,3,3,1,1,0,27,27
19,sequence_47780,0,1,1,0,2,2,2,2,0,3,3,3,3,1,0,3,3,3,3,3,3,3,3,1,1,0,27,27
20,sequence_47785,0,1,1,0,2,2,2,2,0,3,3,3,3,1,0,3,3,3,3,3,3,3,3,1,1,0,27,27
21,sequence_47803,0,2,2,2,0,6,6,6,6,6,6,6,6,6,6,6,6,2,0,4,1,1,1,0,25,25,25,25
22,sequence_47663,1,0,0,1,1,0,0,1,1,0,4,4,4,4,1,0,11,11,11,11,11,5,2,2,0,26,26,26
23,sequence_47757,1,0,0,1,1,0,0,1,1,0,4,4,4,4,1,0,11,11,11,11,11,5,2,2,0,26,26,26
24,sequence_47783,1,0,0,4,4,1,1,0,5,5,5,5,2,2,2,2,0,18,18,18,18,18,18,18,18,18,18,18
25,sequence_47796,1,0,3,3,3,3,3,3,3,1,0,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
26,sequence_47750,0,2,2,2,0,4,4,4,4,4,1,1,1,0,4,4,4,4,4,1,0,22,22,22,22,22,22,22
27,sequence_47760,0,2,2,2,0,4,4,4,4,4,1,1,1,0,4,4,4,4,4,1,0,11,23,23,23,23,23,23
28,sequence_47773,0,2,2,2,0,6,6,6,6,6,6,6,6,6,6,6,6,2,0,4,1,1,1,0,25,25,25,25
29,sequence_47768,1,0,3,3,3,3,3,3,3,1,0,2,0,3,3,1,1,1,1,0,4,4,4,4,4,1,1,1
