,id_seq1,target_seq1,id_seq2,target_seq2,distance,profile
4,sequence_47787,5.0,sequence_47777,11.0,340.5388,2-4-1-1-1
5,sequence_47787,5.0,sequence_47779,11.0,340.5388,2-4-1-1-1
83,sequence_47787,5.0,sequence_47708,111.0,340.5388,2-1-0-0-11
133,sequence_47787,5.0,sequence_47739,35.0,340.5388,2-1-0-0-11
131,sequence_47787,5.0,sequence_47676,56.0,340.5388,2-1-0-0-11
120,sequence_47787,5.0,sequence_47740,158.0,340.5388,2-1-0-0-11
85,sequence_47787,5.0,sequence_47677,103.0,340.5388,2-1-0-0-11
82,sequence_47787,5.0,sequence_47704,98.0,340.5388,2-1-0-0-11
98,sequence_47787,5.0,sequence_47693,64.0,340.5388,2-1-0-0-11
88,sequence_47787,5.0,sequence_47707,79.0,340.5388,2-1-0-0-11
58,sequence_47787,5.0,sequence_47743,63.0,340.5388,2-4-1-1-8
57,sequence_47787,5.0,sequence_47741,102.0,340.5388,2-4-1-1-8
70,sequence_47787,5.0,sequence_47738,55.0,340.5388,2-4-1-1-8
13,sequence_47787,5.0,sequence_47679,44.0,340.5388,2-4-1-1-8
79,sequence_47787,5.0,sequence_47675,57.0,340.5388,2-4-1-1-8
77,sequence_47787,5.0,sequence_47701,63.0,340.5388,2-4-1-1-8
130,sequence_47787,5.0,sequence_47674,38.0,340.5388,2-4-1-1-9
72,sequence_47787,5.0,sequence_47702,69.0,340.5388,2-4-1-1-9
30,sequence_47787,5.0,sequence_47681,44.0,340.5388,2-4-1-1-9
73,sequence_47787,5.0,sequence_47672,76.0,340.5388,2-4-1-1-9
74,sequence_47787,5.0,sequence_47705,71.0,340.5388,2-4-1-1-9
40,sequence_47787,5.0,sequence_47724,48.0,340.5388,0-6-6-6-11
36,sequence_47787,5.0,sequence_47683,75.0,340.5388,1-1-0-0-11
97,sequence_47787,5.0,sequence_47687,92.0,340.5388,1-1-0-0-11
121,sequence_47787,5.0,sequence_47742,108.0,340.5388,1-1-0-0-11
86,sequence_47787,5.0,sequence_47692,87.5,403.2623,1-1-0-0-11
60,sequence_47787,5.0,sequence_47745,83.0,218.4286,1-2-2-2-4
