,id_seq1,target_seq1,id_seq2,target_seq2,distance,profile
4,sequence_47787,5.0,sequence_47777,11.0,0.1138638221736826,1-1-0-0-0-14
144,sequence_47787,5.0,sequence_47788,5.0,0.0870478029590637,1-1-0-0-0-14
19,sequence_47787,5.0,sequence_47785,25.0,0.1311739303367861,1-1-0-0-0-14
7,sequence_47787,5.0,sequence_47786,18.0,0.0802552802001215,1-1-0-0-0-14
143,sequence_47787,5.0,sequence_47791,4.0,0.0571722834947145,1-1-0-0-0-14
2,sequence_47787,5.0,sequence_47790,9.0,0.0843504593941254,1-1-0-0-0-14
17,sequence_47787,5.0,sequence_47778,26.0,0.1537875482605793,1-1-0-0-0-14
1,sequence_47787,5.0,sequence_47789,10.0,0.0927534905003579,1-1-0-0-0-14
146,sequence_47787,5.0,sequence_47809,10.0,0.145055920251467,1-1-0-0-0-14
18,sequence_47787,5.0,sequence_47780,23.0,0.0890774943518283,1-1-0-0-0-14
3,sequence_47787,5.0,sequence_47781,12.0,0.1280991803252464,1-1-0-0-0-14
11,sequence_47787,5.0,sequence_47776,9.0,0.0273124513729545,1-1-0-0-0-14
83,sequence_47787,5.0,sequence_47708,111.0,0.2573448464609306,1-1-0-0-0-6
72,sequence_47787,5.0,sequence_47702,69.0,0.2412935142103906,1-1-0-0-0-6
34,sequence_47787,5.0,sequence_47700,65.0,0.20359982809423,1-1-0-0-0-6
82,sequence_47787,5.0,sequence_47704,98.0,0.2822067327332925,1-1-0-0-0-6
84,sequence_47787,5.0,sequence_47709,119.0,0.2293142167420067,1-1-0-0-0-6
88,sequence_47787,5.0,sequence_47707,79.0,0.219878170812839,1-1-0-0-0-6
42,sequence_47787,5.0,sequence_47807,42.0,0.2153593740704129,1-1-0-0-0-6
87,sequence_47787,5.0,sequence_47703,95.0,0.2429078631909639,1-1-0-0-0-6
78,sequence_47787,5.0,sequence_47706,77.0,0.2251477070724905,1-1-0-0-0-6
74,sequence_47787,5.0,sequence_47705,71.0,0.2368513880052216,1-1-0-0-0-6
77,sequence_47787,5.0,sequence_47701,63.0,0.2501769174004669,1-1-0-0-0-6
58,sequence_47787,5.0,sequence_47743,63.0,0.193555211761399,0-1-0-0-0-5
70,sequence_47787,5.0,sequence_47738,55.0,0.1948472991857983,0-1-0-0-0-5
53,sequence_47787,5.0,sequence_47758,22.0,0.1714395520292794,0-1-0-0-0-5
63,sequence_47787,5.0,sequence_47749,81.0,0.205947784644555,0-1-0-0-0-5
121,sequence_47787,5.0,sequence_47742,108.0,0.1745058165219716,0-1-0-0-0-5
25,sequence_47787,5.0,sequence_47750,25.0,0.1520934909849858,0-1-0-0-0-5
130,sequence_47787,5.0,sequence_47674,38.0,0.2773056797110366,0-0-1-1-0-9
131,sequence_47787,5.0,sequence_47676,56.0,0.2639828403514138,0-0-1-1-0-9
102,sequence_47787,5.0,sequence_47725,57.0,0.3032282638541467,0-0-1-1-0-9
98,sequence_47787,5.0,sequence_47693,64.0,0.3124406343611535,0-0-1-1-0-9
96,sequence_47787,5.0,sequence_47699,62.0,0.3124684944118366,0-0-1-1-0-9
76,sequence_47787,5.0,sequence_47691,40.0,0.3426775306319339,0-0-1-1-0-9
86,sequence_47787,5.0,sequence_47692,87.5,0.3315290183377619,0-0-1-1-0-9
79,sequence_47787,5.0,sequence_47675,57.0,0.2897238685369226,0-0-1-1-0-9
80,sequence_47787,5.0,sequence_47698,56.0,0.3266489706091234,0-0-1-1-0-9
33,sequence_47787,5.0,sequence_47673,65.5,0.2977302302420767,0-0-1-1-0-9
57,sequence_47787,5.0,sequence_47741,102.0,0.1842448371054126,0-0-1-0-0-5
