,secuencia,birch-2,birch-3,birch-4,birch-5,birch-6,birch-7,birch-8,birch-9,birch-10,birch-11,birch-12,birch-13,birch-14,birch-15,birch-16,birch-17,birch-18,birch-19,birch-20,birch-21,birch-22,birch-23,birch-24,birch-25,birch-26,birch-27,birch-28,birch-29
0,sequence_47787,0,2,0,0,2,2,2,0,9,9,9,9,9,9,4,4,4,4,1,0,21,21,10,4,4,4,1,0
1,sequence_47684,0,2,0,0,5,5,5,5,5,2,0,12,12,12,12,12,12,5,5,5,5,2,2,2,0,12,12,12
2,sequence_47789,0,2,0,0,2,2,2,0,9,9,9,9,9,9,4,4,4,4,1,0,21,21,10,4,4,4,1,0
3,sequence_47790,0,2,0,0,2,2,2,0,9,9,9,9,9,9,4,4,4,4,1,0,21,21,10,4,4,4,1,0
4,sequence_47781,0,2,0,0,2,2,2,0,2,0,5,5,5,5,5,5,5,2,2,2,2,0,11,11,11,11,11,11
5,sequence_47777,0,2,0,0,2,2,2,0,2,0,5,5,5,5,5,5,5,2,2,2,2,0,11,11,11,11,11,11
6,sequence_47779,0,2,0,0,2,2,2,0,2,0,5,5,5,5,5,5,5,2,2,2,2,0,11,11,11,11,11,11
7,sequence_47784,0,0,2,2,0,4,4,4,4,4,4,4,4,4,1,0,3,3,3,1,0,5,5,5,2,2,2,2
8,sequence_47786,0,2,0,0,2,2,2,0,9,9,9,9,9,9,4,4,4,4,1,0,10,10,4,1,1,0,10,10
9,sequence_47782,0,0,2,2,0,4,4,4,4,4,4,4,4,4,1,0,3,3,3,1,0,5,5,5,2,2,2,2
10,sequence_47772,0,2,0,0,2,2,2,0,9,9,9,9,9,9,4,4,4,4,1,0,21,21,10,4,4,4,1,0
11,sequence_47795,0,2,0,0,2,2,2,0,9,9,9,9,9,9,4,4,4,4,1,0,10,10,4,1,1,0,27,27
12,sequence_47776,1,1,1,4,4,1,0,2,0,5,2,2,2,2,2,2,2,0,9,9,9,9,9,9,9,9,9,9
13,sequence_47685,0,2,0,0,5,5,5,5,5,2,0,12,12,12,12,12,12,5,5,5,5,2,2,2,0,12,12,12
14,sequence_47679,0,2,0,0,5,5,5,5,5,2,0,8,3,1,0,7,7,7,7,7,7,7,7,7,7,7,7,3
15,sequence_47695,0,2,0,0,5,5,5,5,5,2,0,12,12,12,12,12,12,5,5,5,5,2,2,2,0,12,12,12
16,sequence_47710,0,2,0,0,5,5,5,5,5,2,0,12,12,12,12,12,12,5,5,5,5,2,2,2,0,12,12,12
17,sequence_47686,0,2,0,0,5,5,5,5,5,2,0,12,12,12,12,12,12,5,5,5,5,2,2,2,0,12,12,12
18,sequence_47778,0,2,0,0,2,2,2,0,2,0,5,5,5,5,5,5,5,2,2,2,2,0,11,11,11,11,11,11
19,sequence_47780,0,2,0,0,2,2,2,0,2,0,5,5,5,5,5,5,5,2,2,2,2,0,11,11,11,11,11,11
20,sequence_47785,0,2,0,0,2,2,2,0,2,0,5,5,5,5,5,5,5,2,2,2,2,0,11,11,11,11,11,11
21,sequence_47803,0,2,0,0,2,2,2,0,9,9,9,9,9,9,4,4,4,4,1,0,21,21,10,4,4,4,1,0
22,sequence_47663,0,0,2,2,0,4,4,4,4,4,4,4,4,4,1,0,3,3,3,1,0,5,5,5,2,2,2,2
23,sequence_47757,0,0,2,2,0,4,4,4,4,4,4,4,4,4,1,0,3,3,3,1,0,5,5,5,2,2,2,2
24,sequence_47783,0,0,2,2,0,6,6,6,6,6,6,6,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13
25,sequence_47796,0,0,2,2,0,4,4,4,4,4,4,4,4,4,1,0,3,3,3,1,0,5,5,5,2,2,2,2
26,sequence_47750,0,2,0,0,2,2,2,0,9,9,9,9,9,9,4,4,4,4,1,0,21,21,10,4,4,4,1,0
27,sequence_47760,0,2,0,0,5,5,5,5,5,2,0,8,3,1,0,16,16,16,16,16,16,16,16,16,16,16,16,16
28,sequence_47773,0,2,0,0,2,2,2,0,9,9,9,9,9,9,4,4,4,4,1,0,21,21,10,4,4,4,1,0
29,sequence_47768,0,2,0,0,2,2,2,0,2,0,5,5,5,5,5,5,5,2,2,2,2,0,21,10,10,10,4,4
30,sequence_47771,0,2,0,0,2,2,2,0,9,9,9,9,9,9,4,4,4,4,1,0,21,21,10,4,4,4,1,0
31,sequence_47681,0,2,0,0,5,5,5,5,5,2,0,8,3,1,0,7,7,7,7,7,7,7,7,7,7,7,7,3
32,sequence_47696,0,2,0,0,5,5,5,5,5,2,0,12,12,12,12,12,12,5,5,5,5,2,2,2,0,12,12,12
33,sequence_47680,0,2,0,1,1,0,3,8,8,8,8,3,1,0,15,15,15,15,15,15,15,15,15,15,15,15,15,7
