,secuencia,meanshift2,meanshift3,meanshift4,meanshift5,meanshift6,meanshift7,meanshift8,meanshift9,meanshift10,meanshift11,meanshift12,meanshift13,meanshift14,meanshift15,meanshift16,meanshift17,meanshift18,meanshift19,meanshift20,meanshift21,meanshift22,meanshift23,meanshift24,meanshift25,meanshift26,meanshift27,meanshift28,meanshift29
0,sequence_40826,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,sequence_40787,75,73,73,71,68,68,62,54,54,54,54,51,51,50,50,50,50,50,47,45,45,44,44,44,44,44,41,39
2,sequence_40789,73,71,71,69,66,66,60,52,52,52,52,49,49,48,48,48,48,48,45,43,43,42,42,42,42,42,39,37
3,sequence_40794,72,70,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,sequence_40806,59,59,59,58,59,59,6,10,10,10,10,10,10,10,10,10,10,10,11,12,12,0,0,0,0,0,0,0
5,sequence_40807,61,2,2,2,2,2,7,11,11,11,11,11,11,11,11,11,11,11,12,13,13,12,12,12,12,12,12,12
6,sequence_40809,58,58,58,57,58,58,6,10,10,10,10,10,10,10,10,10,10,10,11,12,12,0,0,0,0,0,0,0
7,sequence_40811,12,14,14,14,16,16,17,21,21,21,21,20,20,20,20,20,20,20,19,18,18,17,17,17,17,17,17,17
8,sequence_40813,57,57,57,56,57,57,55,47,47,47,47,44,44,43,43,43,43,43,40,38,38,37,37,37,37,37,34,32
9,sequence_40814,46,46,46,45,46,46,44,41,41,41,41,39,39,38,38,38,38,38,35,33,33,32,32,32,32,32,31,29
10,sequence_40845,56,56,56,55,56,56,54,46,46,46,46,43,43,42,42,42,42,42,39,37,37,36,36,36,36,36,33,31
11,sequence_40855,15,17,17,17,19,19,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,sequence_40857,44,44,44,43,44,44,42,39,39,39,39,37,37,36,36,36,36,36,0,0,0,0,0,0,0,0,0,0
