,id_seq1,target_seq1,id_seq2,target_seq2,distance,profile
255,sequence_53082,55.0,sequence_19347,58.9,0.0708154506437768,0-1-1-1-0-30
515,sequence_19402,43.0,sequence_19347,58.9,0.5944206008583691,0-1-1-1-0-30
775,sequence_20054,49.0,sequence_19347,58.9,0.6545064377682404,0-1-1-1-0-30
95,sequence_53082,55.0,sequence_19511,62.4,0.223175965665236,0-1-1-1-126-24
355,sequence_19402,43.0,sequence_19511,62.4,0.5944206008583691,0-1-1-1-126-24
615,sequence_20054,49.0,sequence_19511,62.4,0.648068669527897,0-1-1-1-126-24
112,sequence_53082,55.0,sequence_19445,45.5,0.3175965665236051,0-1-1-1-9-5
372,sequence_19402,43.0,sequence_19445,45.5,0.5708154506437768,0-1-1-1-9-5
632,sequence_20054,49.0,sequence_19445,45.5,0.572961373390558,0-1-1-1-9-5
228,sequence_53082,55.0,sequence_19351,60.9,0.278969957081545,2-1-1-1-83-24
488,sequence_19402,43.0,sequence_19351,60.9,0.5536480686695279,2-1-1-1-83-24
748,sequence_20054,49.0,sequence_19351,60.9,0.6416309012875536,2-1-1-1-83-24
96,sequence_53082,55.0,sequence_53065,44.8,0.5429184549356223,1-0-0-0-236-18
356,sequence_19402,43.0,sequence_53065,44.8,0.1716738197424892,1-0-0-0-236-18
616,sequence_20054,49.0,sequence_53065,44.8,0.3390557939914163,1-0-0-0-236-18
153,sequence_53082,55.0,sequence_19426,56.3,0.6201716738197425,1-0-0-0-25-6
413,sequence_19402,43.0,sequence_19426,56.3,0.2403433476394849,1-0-0-0-25-6
673,sequence_20054,49.0,sequence_19426,56.3,0.1437768240343347,1-0-0-0-25-6
235,sequence_53082,55.0,sequence_19517,61.6,0.5515021459227468,1-0-0-0-131-27
495,sequence_19402,43.0,sequence_19517,61.6,0.242489270386266,1-0-0-0-131-27
755,sequence_20054,49.0,sequence_19517,61.6,0.259656652360515,1-0-0-0-131-27
70,sequence_53082,55.0,sequence_19410,49.9,0.6072961373390557,2-0-0-0-66-3
330,sequence_19402,43.0,sequence_19410,49.9,0.1609442060085837,2-0-0-0-66-3
590,sequence_20054,49.0,sequence_19410,49.9,0.2467811158798283,2-0-0-0-66-3
21,sequence_53082,55.0,sequence_19447,51.0,0.5965665236051502,1-0-0-0-11-3
281,sequence_19402,43.0,sequence_19447,51.0,0.2339055793991416,1-0-0-0-11-3
541,sequence_20054,49.0,sequence_19447,51.0,0.1738197424892703,1-0-0-0-11-3
57,sequence_53082,55.0,sequence_20040,47.2,0.6716738197424893,1-0-0-0-203-4
317,sequence_19402,43.0,sequence_20040,47.2,0.259656652360515,1-0-0-0-203-4
577,sequence_20054,49.0,sequence_20040,47.2,0.0729613733905579,1-0-0-0-203-4
67,sequence_53082,55.0,sequence_19526,49.3,0.5965665236051502,1-0-0-0-140-17
327,sequence_19402,43.0,sequence_19526,49.3,0.1909871244635193,1-0-0-0-140-17
587,sequence_20054,49.0,sequence_19526,49.3,0.259656652360515,1-0-0-0-140-17
158,sequence_53082,55.0,sequence_19437,46.7,0.6609442060085837,1-0-0-0-35-8
418,sequence_19402,43.0,sequence_19437,46.7,0.1566523605150214,1-0-0-0-35-8
678,sequence_20054,49.0,sequence_19437,46.7,0.1759656652360515,1-0-0-0-35-8
152,sequence_53082,55.0,sequence_19529,48.8,0.6051502145922747,1-0-0-0-144-20
412,sequence_19402,43.0,sequence_19529,48.8,0.148068669527897,1-0-0-0-144-20
672,sequence_20054,49.0,sequence_19529,48.8,0.2811158798283262,1-0-0-0-144-20
199,sequence_53082,55.0,sequence_19470,61.0,0.5793991416309013,0-0-0-0-157-27
459,sequence_19402,43.0,sequence_19470,61.0,0.2360515021459227,0-0-0-0-157-27
719,sequence_20054,49.0,sequence_19470,61.0,0.242489270386266,0-0-0-0-157-27
