,id_seq1,target_seq1,id_seq2,target_seq2,distance,profile
51,sequence_40826,539,sequence_40803,549,63.9521,1-0-0-0-0
48,sequence_40826,539,sequence_40825,532,1.6156999999999968,1-0-0-0-0
66,sequence_40826,539,sequence_40832,555,58.168400000000005,1-0-0-0-0
47,sequence_40826,539,sequence_40824,523,62.3364,1-0-0-0-0
49,sequence_40826,539,sequence_40797,558,71.5057,1-0-0-0-0
4,sequence_40826,539,sequence_40807,528,14.6335,1-0-0-0-0
14,sequence_40826,539,sequence_40842,522,85.347,1-0-0-0-0
6,sequence_40826,539,sequence_40811,534,76.88159999999999,1-0-0-0-0
64,sequence_40826,539,sequence_40823,546,83.6877,1-0-0-0-0
54,sequence_40826,539,sequence_40864,549,38.6765,1-0-0-0-0
3,sequence_40826,539,sequence_40806,525,85.7131,1-0-0-0-0
53,sequence_40826,539,sequence_40805,564,46.2823,1-0-0-0-0
44,sequence_40826,539,sequence_40839,538,27.25240000000001,1-0-0-0-0
52,sequence_40826,539,sequence_40804,561,35.7382,1-0-0-0-0
43,sequence_40826,539,sequence_40860,535,35.7382,1-0-0-0-0
58,sequence_40826,539,sequence_40859,543,175.0752,1-0-0-0-0
46,sequence_40826,539,sequence_40819,532,46.49699999999999,1-0-0-0-0
67,sequence_40826,539,sequence_40833,549,24.043000000000003,1-0-0-0-0
55,sequence_40826,539,sequence_40808,543,8.831500000000002,1-0-0-0-0
63,sequence_40826,539,sequence_40822,549,126.0053,1-0-0-0-0
1,sequence_40826,539,sequence_40789,510,29.08030000000001,1-0-0-0-0
7,sequence_40826,539,sequence_40813,528,11.7698,1-0-0-0-0
65,sequence_40826,539,sequence_40834,546,128.8819,1-0-0-0-0
56,sequence_40826,539,sequence_40810,549,81.3956,1-0-0-0-0
16,sequence_40826,539,sequence_40838,531,49.888,1-0-0-0-0
5,sequence_40826,539,sequence_40809,528,38.6765,1-0-0-0-0
18,sequence_40826,539,sequence_40817,528,27.25240000000001,1-0-0-0-0
50,sequence_40826,539,sequence_40800,558,24.043000000000003,1-0-0-0-0
10,sequence_40826,539,sequence_40855,522,27.25240000000001,1-0-0-0-0
8,sequence_40826,539,sequence_40814,510,135.4578,1-0-0-0-1
11,sequence_40826,539,sequence_40857,522,102.6286,1-0-0-0-1
9,sequence_40826,539,sequence_40845,495,99.6903,1-0-0-0-1
