,id_seq1,target_seq1,id_seq2,target_seq2,distance,profile
51,sequence_40826,539,sequence_40803,549,0.061275280497114,1-0-0-0-0-6
47,sequence_40826,539,sequence_40824,523,0.0572043704624043,1-0-0-0-0-6
22,sequence_40826,539,sequence_40829,528,0.0511355062554385,1-0-0-0-0-6
45,sequence_40826,539,sequence_40835,535,0.0511477272222334,1-0-0-0-0-6
19,sequence_40826,539,sequence_40818,522,0.0524129754927155,1-0-0-0-0-6
46,sequence_40826,539,sequence_40819,532,0.0538442197454842,1-0-0-0-0-6
59,sequence_40826,539,sequence_40836,543,0.0528066283718246,1-0-0-0-0-6
18,sequence_40826,539,sequence_40817,528,0.0486636414584852,1-0-0-0-0-6
48,sequence_40826,539,sequence_40825,532,0.046964561107286,1-0-0-0-0-1
8,sequence_40826,539,sequence_40814,510,0.0595168883595236,1-0-0-0-0-1
4,sequence_40826,539,sequence_40807,528,0.0518014478562134,1-0-0-0-0-1
6,sequence_40826,539,sequence_40811,534,0.0537593712760854,1-0-0-0-0-1
20,sequence_40826,539,sequence_40827,525,0.0598401203207346,1-0-0-0-0-1
44,sequence_40826,539,sequence_40839,538,0.0507824772928615,1-0-0-0-0-1
43,sequence_40826,539,sequence_40860,535,0.0608083053537919,1-0-0-0-0-1
9,sequence_40826,539,sequence_40845,495,0.0418959425243066,1-0-0-0-0-1
12,sequence_40826,539,sequence_40840,528,0.0546859214057878,1-0-0-0-0-1
63,sequence_40826,539,sequence_40822,549,0.0565191118118464,1-0-0-0-0-1
7,sequence_40826,539,sequence_40813,528,0.0530203734426682,1-0-0-0-0-1
56,sequence_40826,539,sequence_40810,549,0.0543887856087998,1-0-0-0-0-1
16,sequence_40826,539,sequence_40838,531,0.0789020278573371,1-0-0-0-0-1
5,sequence_40826,539,sequence_40809,528,0.0644329108453125,1-0-0-0-0-1
50,sequence_40826,539,sequence_40800,558,0.049103767676218,1-0-0-0-0-1
10,sequence_40826,539,sequence_40855,522,0.0532969980392892,1-0-0-0-0-1
17,sequence_40826,539,sequence_40816,531,0.0291036080237485,1-0-0-0-0-0
62,sequence_40826,539,sequence_40821,549,0.0248811173382547,1-0-0-0-0-0
