,id_seq1,target_seq1,id_seq2,target_seq2,distance,profile
51,sequence_40826,539,sequence_40803,549,2330.767599999999,0-0-0-0-7
48,sequence_40826,539,sequence_40825,532,3537.2358,0-0-0-0-7
8,sequence_40826,539,sequence_40814,510,8278.9206,0-0-0-0-7
66,sequence_40826,539,sequence_40832,555,8291.7689,0-0-0-0-7
73,sequence_40826,539,sequence_40802,560,8321.921900000001,0-0-0-0-7
62,sequence_40826,539,sequence_40821,549,6503.0072,0-0-0-0-7
47,sequence_40826,539,sequence_40824,523,5890.409100000001,0-0-0-0-7
49,sequence_40826,539,sequence_40797,558,5766.5756,0-0-0-0-7
4,sequence_40826,539,sequence_40807,528,7516.018399999999,0-0-0-0-7
14,sequence_40826,539,sequence_40842,522,12434.9824,0-0-0-0-7
6,sequence_40826,539,sequence_40811,534,12606.6553,0-0-0-0-7
54,sequence_40826,539,sequence_40864,549,6715.164700000001,0-0-0-0-7
3,sequence_40826,539,sequence_40806,525,6710.648400000001,0-0-0-0-7
53,sequence_40826,539,sequence_40805,564,4732.9161,0-0-0-0-7
44,sequence_40826,539,sequence_40839,538,7181.2718,0-0-0-0-7
11,sequence_40826,539,sequence_40857,522,9261.1627,0-0-0-0-7
52,sequence_40826,539,sequence_40804,561,2493.2048000000013,0-0-0-0-7
43,sequence_40826,539,sequence_40860,535,2578.5461999999998,0-0-0-0-7
9,sequence_40826,539,sequence_40845,495,4912.9238000000005,0-0-0-0-7
46,sequence_40826,539,sequence_40819,532,4234.341900000001,0-0-0-0-7
67,sequence_40826,539,sequence_40833,549,641.1044999999988,0-0-0-0-7
55,sequence_40826,539,sequence_40808,543,5893.923599999998,0-0-0-0-7
63,sequence_40826,539,sequence_40822,549,9597.3144,0-0-0-0-7
61,sequence_40826,539,sequence_40820,543,7993.0689,0-0-0-0-7
1,sequence_40826,539,sequence_40789,510,3222.245599999999,0-0-0-0-7
57,sequence_40826,539,sequence_40862,546,8290.035,0-0-0-0-7
7,sequence_40826,539,sequence_40813,528,1538.0481000000009,0-0-0-0-7
56,sequence_40826,539,sequence_40810,549,10964.521900000003,0-0-0-0-7
16,sequence_40826,539,sequence_40838,531,3843.6289000000006,0-0-0-0-7
75,sequence_40826,539,sequence_40795,562,8634.260499999999,0-0-0-0-7
5,sequence_40826,539,sequence_40809,528,6891.5106,0-0-0-0-7
18,sequence_40826,539,sequence_40817,528,7236.398400000001,0-0-0-0-7
50,sequence_40826,539,sequence_40800,558,620.8271,0-0-0-0-7
10,sequence_40826,539,sequence_40855,522,7519.8786,0-0-0-0-7
71,sequence_40826,539,sequence_40863,566,9274.6105,0-0-0-0-7
17,sequence_40826,539,sequence_40816,531,22565.8265,0-0-0-0-1
19,sequence_40826,539,sequence_40818,522,28828.9409,0-0-0-0-1
34,sequence_40826,539,sequence_40861,464,25292.683099999995,1-1-1-1-3
36,sequence_40826,539,sequence_40854,465,26216.7919,1-1-1-1-3
30,sequence_40826,539,sequence_40843,495,25016.8912,1-1-1-1-3
37,sequence_40826,539,sequence_40853,463,26899.0292,1-1-1-1-3
40,sequence_40826,539,sequence_40850,462,25507.6352,1-1-1-1-3
28,sequence_40826,539,sequence_40858,495,26104.1109,1-1-1-1-3
35,sequence_40826,539,sequence_40812,464,25756.6187,1-1-1-1-3
29,sequence_40826,539,sequence_40852,474,25281.0283,1-1-1-1-3
24,sequence_40826,539,sequence_40856,498,25614.655400000003,1-1-1-1-3
25,sequence_40826,539,sequence_40815,498,25897.8549,1-1-1-1-3
38,sequence_40826,539,sequence_40848,461,25335.509,1-1-1-1-3
32,sequence_40826,539,sequence_40791,454,25696.9651,1-1-1-1-3
33,sequence_40826,539,sequence_40793,456,25502.6621,1-1-1-1-3
39,sequence_40826,539,sequence_40849,464,25715.6034,1-1-1-1-3
