,id_seq1,target_seq1,id_seq2,target_seq2,distance,profile
255,sequence_53082,55.0,sequence_19347,58.9,0.4982999999999999,0-6-0-1-0-31
190,sequence_53082,55.0,sequence_19407,49.2,0.6177000000000001,0-6-0-1-0-31
256,sequence_53082,55.0,sequence_19379,50.3,0.6266999999999999,0-6-0-1-0-31
259,sequence_53082,55.0,sequence_19401,47.4,0.6751000000000001,0-6-0-1-0-31
515,sequence_19402,43.0,sequence_19347,58.9,0.8995,0-6-0-1-0-31
450,sequence_19402,43.0,sequence_19407,49.2,0.8213000000000001,0-6-0-1-0-31
516,sequence_19402,43.0,sequence_19379,50.3,0.8290999999999998,0-6-0-1-0-31
519,sequence_19402,43.0,sequence_19401,47.4,0.7924999999999999,0-6-0-1-0-31
775,sequence_20054,49.0,sequence_19347,58.9,0.9986,0-6-0-1-0-31
710,sequence_20054,49.0,sequence_19407,49.2,1.0214,0-6-0-1-0-31
776,sequence_20054,49.0,sequence_19379,50.3,1.0834,0-6-0-1-0-31
779,sequence_20054,49.0,sequence_19401,47.4,1.0564,0-6-0-1-0-31
95,sequence_53082,55.0,sequence_19511,62.4,0.8379000000000001,1-9-0-0-0-26
208,sequence_53082,55.0,sequence_19459,59.2,0.9508,1-9-0-0-0-26
131,sequence_53082,55.0,sequence_19467,64.4,0.9636000000000002,1-9-0-0-0-26
40,sequence_53082,55.0,sequence_19498,63.2,0.9204,1-9-0-0-0-26
210,sequence_53082,55.0,sequence_19465,62.9,1.0015,1-9-0-0-0-26
211,sequence_53082,55.0,sequence_19476,62.2,0.95,1-9-0-0-0-26
7,sequence_53082,55.0,sequence_19477,61.5,1.0246,1-9-0-0-0-26
221,sequence_53082,55.0,sequence_19461,61.2,0.8846,1-9-0-0-0-26
232,sequence_53082,55.0,sequence_19518,61.6,0.8701,1-9-0-0-0-26
239,sequence_53082,55.0,sequence_19513,61.0,0.8889000000000001,1-9-0-0-0-26
139,sequence_53082,55.0,sequence_19423,61.2,1.0013,1-9-0-0-0-26
205,sequence_53082,55.0,sequence_19474,64.4,0.9841,1-9-0-0-0-26
355,sequence_19402,43.0,sequence_19511,62.4,0.9533,1-9-0-0-0-26
468,sequence_19402,43.0,sequence_19459,59.2,1.0235999999999998,1-9-0-0-0-26
391,sequence_19402,43.0,sequence_19467,64.4,1.0985999999999998,1-9-0-0-0-26
300,sequence_19402,43.0,sequence_19498,63.2,0.9238,1-9-0-0-0-26
470,sequence_19402,43.0,sequence_19465,62.9,1.0351,1-9-0-0-0-26
471,sequence_19402,43.0,sequence_19476,62.2,1.0778,1-9-0-0-0-26
267,sequence_19402,43.0,sequence_19477,61.5,0.9499999999999996,1-9-0-0-0-26
481,sequence_19402,43.0,sequence_19461,61.2,1.0646,1-9-0-0-0-26
492,sequence_19402,43.0,sequence_19518,61.6,0.9274999999999998,1-9-0-0-0-26
499,sequence_19402,43.0,sequence_19513,61.0,0.9576999999999998,1-9-0-0-0-26
399,sequence_19402,43.0,sequence_19423,61.2,1.0054999999999996,1-9-0-0-0-26
465,sequence_19402,43.0,sequence_19474,64.4,0.9934999999999998,1-9-0-0-0-26
615,sequence_20054,49.0,sequence_19511,62.4,0.803,1-9-0-0-0-26
728,sequence_20054,49.0,sequence_19459,59.2,0.7817000000000002,1-9-0-0-0-26
651,sequence_20054,49.0,sequence_19467,64.4,0.7113,1-9-0-0-0-26
560,sequence_20054,49.0,sequence_19498,63.2,0.7265000000000001,1-9-0-0-0-26
730,sequence_20054,49.0,sequence_19465,62.9,0.6824000000000001,1-9-0-0-0-26
731,sequence_20054,49.0,sequence_19476,62.2,0.7877,1-9-0-0-0-26
527,sequence_20054,49.0,sequence_19477,61.5,0.7798999999999998,1-9-0-0-0-26
741,sequence_20054,49.0,sequence_19461,61.2,0.7790999999999999,1-9-0-0-0-26
752,sequence_20054,49.0,sequence_19518,61.6,0.7428000000000001,1-9-0-0-0-26
759,sequence_20054,49.0,sequence_19513,61.0,0.7038000000000002,1-9-0-0-0-26
659,sequence_20054,49.0,sequence_19423,61.2,0.6516000000000002,1-9-0-0-0-26
725,sequence_20054,49.0,sequence_19474,64.4,0.7202000000000002,1-9-0-0-0-26
112,sequence_53082,55.0,sequence_19445,45.5,0.9722,1-7-0-9-0-6
125,sequence_53082,55.0,sequence_19429,50.9,1.0014,1-7-0-9-0-6
59,sequence_53082,55.0,sequence_19432,51.0,1.0612,1-7-0-9-0-6
164,sequence_53082,55.0,sequence_19489,49.1,1.0805,1-7-0-9-0-6
84,sequence_53082,55.0,sequence_19433,50.1,1.0208000000000002,1-7-0-9-0-6
4,sequence_53082,55.0,sequence_19525,48.8,0.9579,1-7-0-9-0-6
148,sequence_53082,55.0,sequence_19457,43.6,0.9328,1-7-0-9-0-6
90,sequence_53082,55.0,sequence_19495,58.9,1.0154999999999998,1-7-0-9-0-6
28,sequence_53082,55.0,sequence_19509,50.6,0.9565,1-7-0-9-0-6
102,sequence_53082,55.0,sequence_19486,54.2,1.0665,1-7-0-9-0-6
173,sequence_53082,55.0,sequence_19485,58.0,1.1101,1-7-0-9-0-6
41,sequence_53082,55.0,sequence_19504,50.6,0.9628,1-7-0-9-0-6
151,sequence_53082,55.0,sequence_19454,43.1,0.9541,1-7-0-9-0-6
372,sequence_19402,43.0,sequence_19445,45.5,0.9854,1-7-0-9-0-6
385,sequence_19402,43.0,sequence_19429,50.9,1.032,1-7-0-9-0-6
319,sequence_19402,43.0,sequence_19432,51.0,1.0479999999999998,1-7-0-9-0-6
424,sequence_19402,43.0,sequence_19489,49.1,1.0245,1-7-0-9-0-6
344,sequence_19402,43.0,sequence_19433,50.1,1.0976,1-7-0-9-0-6
264,sequence_19402,43.0,sequence_19525,48.8,0.9963,1-7-0-9-0-6
408,sequence_19402,43.0,sequence_19457,43.6,0.9309999999999998,1-7-0-9-0-6
350,sequence_19402,43.0,sequence_19495,58.9,1.0149,1-7-0-9-0-6
288,sequence_19402,43.0,sequence_19509,50.6,0.9378999999999998,1-7-0-9-0-6
362,sequence_19402,43.0,sequence_19486,54.2,1.0694999999999997,1-7-0-9-0-6
433,sequence_19402,43.0,sequence_19485,58.0,1.1708999999999998,1-7-0-9-0-6
301,sequence_19402,43.0,sequence_19504,50.6,0.9968,1-7-0-9-0-6
411,sequence_19402,43.0,sequence_19454,43.1,0.9764999999999998,1-7-0-9-0-6
632,sequence_20054,49.0,sequence_19445,45.5,0.7593000000000001,1-7-0-9-0-6
645,sequence_20054,49.0,sequence_19429,50.9,0.7149,1-7-0-9-0-6
579,sequence_20054,49.0,sequence_19432,51.0,0.6085000000000003,1-7-0-9-0-6
684,sequence_20054,49.0,sequence_19489,49.1,0.6836,1-7-0-9-0-6
