,secuencia,K-means-2,K-means-3,K-means-4,K-means-5,K-means-6,K-means-7,K-means-8,K-means-9,K-means-10,K-means-11,K-means-12,K-means-13,K-means-14,K-means-15,K-means-16,K-means-17,K-means-18,K-means-19,K-means-20,K-means-21,K-means-22,K-means-23,K-means-24,K-means-25,K-means-26,K-means-27,K-means-28,K-means-29
0,sequence_47787,0,2,2,3,5,0,6,0,9,3,4,0,8,2,0,5,7,17,0,0,1,6,1,0,7,4,5,24
1,sequence_47684,0,2,2,3,5,6,0,0,4,8,11,12,7,13,3,0,4,13,7,9,12,5,13,9,18,10,1,1
2,sequence_47789,0,2,2,3,5,0,6,0,9,3,4,0,8,2,0,5,7,17,0,0,1,6,1,0,7,4,5,24
3,sequence_47790,0,2,2,3,5,0,6,0,9,3,4,0,8,2,0,5,7,17,0,0,1,6,1,0,7,4,5,24
4,sequence_47781,0,2,2,0,1,0,5,4,2,0,6,4,0,14,14,11,16,2,8,17,19,0,19,17,0,15,17,18
5,sequence_47777,0,2,2,0,1,0,5,4,2,0,6,4,0,14,14,11,16,2,8,17,19,0,19,17,0,15,17,18
6,sequence_47779,0,2,2,0,1,0,5,4,2,0,6,4,0,14,14,11,16,2,8,17,19,0,19,17,0,15,17,18
7,sequence_47784,0,0,0,2,4,2,7,5,0,7,2,5,2,6,4,8,10,1,14,3,4,13,2,3,3,1,27,0
8,sequence_47786,0,2,2,3,5,0,6,0,9,3,4,0,8,2,0,5,7,17,0,0,1,6,21,22,23,22,24,17
9,sequence_47782,0,0,0,2,4,2,7,5,0,7,2,5,2,6,4,2,10,1,14,3,4,13,2,3,3,1,27,0
10,sequence_47772,0,2,2,3,5,0,6,0,9,3,4,0,8,2,0,5,7,6,0,0,1,4,1,24,7,4,5,9
11,sequence_47795,0,2,2,3,5,0,6,0,9,3,4,0,8,2,0,5,7,17,0,0,1,6,1,0,7,4,5,24
12,sequence_47776,1,1,1,1,3,3,1,1,6,1,8,11,5,7,12,9,2,9,10,13,14,15,11,13,16,9,16,12
13,sequence_47685,0,2,2,3,5,6,0,0,4,8,11,12,7,13,3,0,4,13,7,9,12,5,13,9,18,10,1,1
14,sequence_47679,0,2,2,0,1,6,0,3,4,8,1,3,10,1,15,7,8,5,3,6,3,9,17,6,6,2,8,11
15,sequence_47695,0,2,2,3,5,6,0,0,4,8,11,12,7,13,3,0,4,13,7,9,12,5,13,9,18,10,1,1
16,sequence_47710,0,2,2,3,5,6,0,0,4,8,11,12,7,13,3,0,4,13,7,9,12,5,13,9,18,10,1,1
17,sequence_47686,0,2,2,3,5,6,0,0,4,8,11,12,7,13,3,0,4,13,7,9,12,5,13,9,18,10,1,1
18,sequence_47778,0,2,2,0,1,0,5,4,2,0,6,4,0,14,14,11,16,2,8,17,19,0,19,17,0,15,17,18
19,sequence_47780,0,2,2,0,1,0,5,4,2,0,6,4,0,14,14,11,16,2,8,17,19,0,19,17,0,15,17,18
20,sequence_47785,0,2,2,0,1,0,5,4,2,0,6,4,0,14,14,11,16,2,8,17,19,0,19,17,0,15,17,18
21,sequence_47803,0,2,2,3,5,0,6,0,9,3,4,0,8,2,0,5,7,17,0,0,1,6,1,0,7,4,5,24
22,sequence_47663,0,0,0,2,4,2,7,5,0,7,2,5,2,6,4,8,10,1,14,3,4,13,12,3,3,1,15,0
23,sequence_47757,0,0,0,2,4,2,7,5,0,7,2,5,2,6,4,8,10,1,14,3,4,13,12,3,3,1,15,0
24,sequence_47783,0,0,0,2,2,5,4,6,5,2,7,6,6,9,7,4,6,0,6,5,5,2,8,5,5,7,6,5
25,sequence_47796,0,0,0,2,4,2,7,5,0,7,2,5,2,6,4,8,10,1,14,3,4,13,2,3,3,1,27,0
26,sequence_47750,0,2,2,3,5,0,6,0,9,3,4,0,8,2,0,5,7,6,0,0,1,4,1,24,7,4,5,9
27,sequence_47760,0,2,2,3,1,6,0,3,4,8,11,12,4,13,3,15,4,14,19,9,12,21,7,21,21,21,25,27
28,sequence_47773,0,2,2,3,5,0,6,0,9,3,4,0,8,2,0,5,7,6,0,0,1,4,1,24,7,4,5,9
29,sequence_47768,0,2,2,0,1,0,5,4,2,0,6,4,0,14,14,11,16,2,8,17,19,0,19,17,0,15,2,18
30,sequence_47771,0,2,2,3,5,0,6,0,9,3,4,0,8,2,0,5,7,6,0,0,1,4,1,24,7,4,5,9
31,sequence_47681,0,2,2,0,1,6,0,3,4,8,1,3,10,1,15,7,8,5,3,6,3,9,17,6,6,2,8,11
32,sequence_47696,0,2,2,3,5,6,0,0,4,8,11,12,7,13,3,0,4,13,7,9,12,5,13,9,18,10,1,1
33,sequence_47680,0,2,2,0,1,6,0,8,6,10,1,8,12,0,9,13,15,10,5,7,10,14,6,7,10,14,12,13
34,sequence_47673,0,2,2,0,1,6,0,3,4,8,1,3,10,1,15,7,8,5,3,6,3,9,17,6,6,2,8,11
35,sequence_47700,1,1,1,1,3,3,2,1,1,1,0,1,1,10,8,6,3,3,2,2,15,10,3,23,17,19,22,2
36,sequence_47689,0,0,0,2,4,2,7,5,0,7,2,5,2,6,4,2,0,1,14,3,21,13,2,3,1,25,0,19
37,sequence_47683,0,2,3,4,0,4,3,2,3,4,3,9,13,4,2,16,13,11,13,14,8,17,5,14,4,6,7,3
38,sequence_47697,0,2,2,3,5,6,0,0,4,8,11,12,7,13,3,0,4,13,7,9,12,5,13,9,18,10,1,1
39,sequence_47678,0,2,2,3,5,6,0,3,4,8,11,12,7,13,3,0,4,13,7,9,12,5,13,9,18,10,1,1
40,sequence_47682,0,2,2,0,1,6,0,3,4,8,1,3,10,1,15,7,8,5,3,6,3,9,17,6,6,2,8,11
41,sequence_47724,0,2,2,0,1,6,0,3,4,8,1,3,10,1,15,7,8,5,3,6,3,9,17,6,6,2,8,11
42,sequence_47806,1,1,1,1,3,3,2,1,1,1,0,1,1,3,1,1,9,8,15,2,2,1,10,2,2,3,4,7
43,sequence_47807,0,2,2,0,1,1,5,7,8,6,9,7,9,11,13,12,14,16,16,12,18,11,16,12,13,11,9,15
44,sequence_47804,0,2,2,0,1,0,5,4,2,0,6,4,0,14,14,11,16,2,8,17,19,0,19,17,0,15,17,18
45,sequence_47800,0,2,2,0,1,0,5,4,2,0,6,4,0,14,14,11,16,2,8,17,19,0,19,17,0,15,17,18
46,sequence_47799,0,2,2,0,1,0,5,4,2,0,6,4,0,14,14,11,16,2,8,17,19,0,19,17,0,15,17,18
47,sequence_47664,0,0,0,2,4,2,7,5,0,7,2,5,2,6,4,8,10,1,14,3,4,13,12,3,3,1,15,0
48,sequence_47666,0,0,0,2,4,1,7,7,8,6,9,7,9,5,11,12,14,16,9,15,9,16,9,15,20,16,13,6
49,sequence_47671,0,0,0,2,4,2,7,5,0,7,2,5,2,6,4,8,10,1,1,3,4,13,12,3,3,1,15,0
50,sequence_47727,0,0,0,2,2,5,4,6,5,2,7,6,6,9,7,4,6,0,6,5,5,2,8,5,5,7,6,5
51,sequence_47756,0,0,0,2,2,5,4,6,5,2,7,6,6,9,7,4,6,0,6,5,5,2,8,5,5,7,6,5
52,sequence_47775,1,0,0,2,2,5,4,6,5,2,7,11,6,9,7,14,2,0,17,20,13,15,18,20,11,17,21,22
