,id_seq1,target_seq1,id_seq2,target_seq2,distance,profile
51,sequence_40826,539,sequence_40803,549,0.0012205322730663,1-0-0-0-79-1
48,sequence_40826,539,sequence_40825,532,0.0002707874994214,0-0-0-0-55-1
8,sequence_40826,539,sequence_40814,510,0.0024923425569474,1-0-0-0-23-1
17,sequence_40826,539,sequence_40816,531,0.0057178418961422,1-0-0-0-40-2
66,sequence_40826,539,sequence_40832,555,0.0024796894817513,1-0-0-0-47-1
34,sequence_40826,539,sequence_40861,464,0.0105302772774669,0-1-1-1-70-4
13,sequence_40826,539,sequence_40841,528,0.0012702845277105,0-0-0-0-63-1
69,sequence_40826,539,sequence_40798,579,0.0041693477878624,0-0-0-0-13-7
73,sequence_40826,539,sequence_40802,560,0.0029305893713945,1-0-0-0-78-1
62,sequence_40826,539,sequence_40821,549,0.0018276960451296,1-0-0-0-44-1
47,sequence_40826,539,sequence_40824,523,0.0014906592553935,1-0-0-0-56-1
36,sequence_40826,539,sequence_40854,465,0.0116883933593428,0-1-1-1-36-4
49,sequence_40826,539,sequence_40797,558,0.0012657224645203,1-0-0-0-12-1
4,sequence_40826,539,sequence_40807,528,0.0021177694755521,1-0-0-0-75-1
22,sequence_40826,539,sequence_40829,528,0.0042945167861654,0-1-0-0-53-7
30,sequence_40826,539,sequence_40843,495,0.0102333013427532,0-1-1-1-64-4
14,sequence_40826,539,sequence_40842,522,0.0029970967924238,1-0-0-0-37-1
6,sequence_40826,539,sequence_40811,534,0.0028864859763948,1-0-0-0-21-1
64,sequence_40826,539,sequence_40823,546,0.0015678356095206,1-0-0-0-46-1
15,sequence_40826,539,sequence_40844,519,0.0030917623392534,0-0-0-0-65-3
79,sequence_40826,539,sequence_40867,622,0.0081436009029883,1-0-0-0-1-7
54,sequence_40826,539,sequence_40864,549,0.0010820796359583,1-0-0-0-16-1
37,sequence_40826,539,sequence_40853,463,0.0129780328183952,0-1-1-1-35-4
3,sequence_40826,539,sequence_40806,525,0.0019693330531351,1-0-0-0-19-1
40,sequence_40826,539,sequence_40850,462,0.0105585704360539,0-1-1-1-33-4
31,sequence_40826,539,sequence_40846,483,0.0077897572702425,0-0-0-0-28-3
45,sequence_40826,539,sequence_40835,535,0.0026756854677875,1-0-0-0-59-5
53,sequence_40826,539,sequence_40805,564,0.0021036681441489,1-0-0-0-80-1
41,sequence_40826,539,sequence_40792,517,0.0018276960451296,1-0-0-0-7-0
20,sequence_40826,539,sequence_40827,525,0.0017932164165155,0-0-0-0-50-7
26,sequence_40826,539,sequence_40851,477,0.0063655499147816,1-0-0-0-31-3
44,sequence_40826,539,sequence_40839,538,0.001407198281129,1-0-0-0-61-1
11,sequence_40826,539,sequence_40857,522,0.0023082495436848,1-0-0-0-25-1
28,sequence_40826,539,sequence_40858,495,0.0125756684064493,0-1-1-1-26-4
35,sequence_40826,539,sequence_40812,464,0.0116676304242467,0-1-1-1-69-4
76,sequence_40826,539,sequence_40866,620,0.0066697836021352,1-0-0-0-0-7
52,sequence_40826,539,sequence_40804,561,0.0002424470217685,1-0-0-0-18-1
77,sequence_40826,539,sequence_40799,597,0.0056362253061088,1-0-0-0-14-7
19,sequence_40826,539,sequence_40818,522,0.0071185456404649,1-0-0-0-39-2
43,sequence_40826,539,sequence_40860,535,0.0002423295176289,0-0-0-0-71-1
9,sequence_40826,539,sequence_40845,495,0.001466559695689,0-0-0-0-27-1
12,sequence_40826,539,sequence_40840,528,0.0011939233662309,0-0-0-0-62-1
58,sequence_40826,539,sequence_40859,543,0.0087178408141162,1-0-0-0-68-6
29,sequence_40826,539,sequence_40852,474,0.010289350989586,0-1-1-1-32-4
60,sequence_40826,539,sequence_40837,543,0.0031104867824165,1-0-0-0-60-5
24,sequence_40826,539,sequence_40856,498,0.0116323454317,0-1-1-1-67-4
25,sequence_40826,539,sequence_40815,498,0.01276248453241,0-1-1-1-24-4
2,sequence_40826,539,sequence_40794,519,0.0022055923236246,1-0-0-0-3-0
46,sequence_40826,539,sequence_40819,532,0.0015981240604207,1-0-0-0-42-1
67,sequence_40826,539,sequence_40833,549,0.0010397479156865,1-0-0-0-48-1
23,sequence_40826,539,sequence_40831,525,0.0057051489433045,1-1-0-0-54-7
55,sequence_40826,539,sequence_40808,543,0.0009150161880061,1-0-0-0-73-1
63,sequence_40826,539,sequence_40822,549,0.0027810191604708,1-0-0-0-45-1
38,sequence_40826,539,sequence_40848,461,0.0118782111820565,0-1-1-1-30-4
61,sequence_40826,539,sequence_40820,543,0.0019041539167116,1-0-0-0-43-1
1,sequence_40826,539,sequence_40789,510,0.0004363132437577,1-0-0-0-9-1
32,sequence_40826,539,sequence_40791,454,0.0122218607333719,0-1-1-1-4-4
57,sequence_40826,539,sequence_40862,546,0.0018969298240034,1-0-0-0-72-1
7,sequence_40826,539,sequence_40813,528,7.617914182972967e-05,0-0-0-0-22-1
33,sequence_40826,539,sequence_40793,456,0.0121442636397934,0-1-1-1-6-4
65,sequence_40826,539,sequence_40834,546,0.0033714124774663,1-0-0-0-57-1
56,sequence_40826,539,sequence_40810,549,0.0022571235866262,1-0-0-0-20-1
16,sequence_40826,539,sequence_40838,531,0.0009483777647614,1-0-0-0-38-1
68,sequence_40826,539,sequence_40830,558,0.0028962782700549,0-0-0-0-51-7
75,sequence_40826,539,sequence_40795,562,0.0030980523884331,1-0-0-0-10-1
78,sequence_40826,539,sequence_40788,510,0.0046093076999192,0-0-0-0-8-7
39,sequence_40826,539,sequence_40849,464,0.0117713700438734,0-1-1-1-34-4
59,sequence_40826,539,sequence_40836,543,0.0014553421521502,1-0-0-0-58-5
5,sequence_40826,539,sequence_40809,528,0.0010811096937418,1-0-0-0-74-1
18,sequence_40826,539,sequence_40817,528,0.0014111698727677,1-0-0-0-41-1
74,sequence_40826,539,sequence_40796,567,0.0060123302496804,1-0-0-0-11-7
50,sequence_40826,539,sequence_40800,558,0.0010375902510847,1-0-0-0-76-1
42,sequence_40826,539,sequence_40790,523,0.0019041539167116,1-0-0-0-5-0
10,sequence_40826,539,sequence_40855,522,0.001407198281129,1-0-0-0-66-1
70,sequence_40826,539,sequence_40865,580,0.0039846384013571,0-0-0-0-17-7
21,sequence_40826,539,sequence_40828,519,0.0041096167735634,0-1-0-0-52-7
0,sequence_40826,539,sequence_40787,510,0.0047345864104746,1-0-0-0-2-0
27,sequence_40826,539,sequence_40847,486,0.0117215321765716,0-1-1-1-29-4
71,sequence_40826,539,sequence_40863,566,0.0029137368689646,1-0-0-0-15-1
72,sequence_40826,539,sequence_40801,561,0.0039338566993098,0-0-0-0-77-7
