,secuencia,birch-2,birch-3,birch-4,birch-5,birch-6,birch-7,birch-8,birch-9,birch-10,birch-11,birch-12,birch-13,birch-14,birch-15,birch-16,birch-17,birch-18,birch-19,birch-20,birch-21,birch-22,birch-23,birch-24,birch-25,birch-26,birch-27,birch-28,birch-29
0,sequence_53082,0,2,2,0,3,3,3,8,8,3,1,1,0,5,5,5,5,2,0,14,14,14,14,14,14,14,14,14
1,sequence_19402,0,1,0,4,4,4,4,4,4,4,4,4,4,4,1,0,1,1,1,1,0,17,17,17,17,17,17,17
2,sequence_20054,0,1,0,2,2,2,0,2,0,8,3,3,1,1,0,3,3,3,3,3,3,1,1,0,12,5,5,5
3,sequence_20048,0,1,0,4,4,4,4,4,4,4,4,4,4,4,1,0,1,1,1,1,0,22,22,22,22,22,22,22
4,sequence_20036,1,0,3,3,1,1,1,3,3,1,0,0,7,7,7,16,16,16,16,16,16,16,16,16,16,16,16,16
5,sequence_19525,0,1,0,2,2,2,0,2,0,8,3,3,1,1,0,3,3,3,3,3,3,1,1,0,12,5,5,5
6,sequence_20061,1,0,3,3,1,1,1,3,3,1,0,0,7,7,7,16,16,16,16,16,16,16,16,16,16,16,16,16
7,sequence_19496,0,1,0,2,2,2,0,2,0,8,3,3,1,1,0,7,7,7,7,7,7,7,7,7,7,7,7,7
8,sequence_19477,1,0,1,1,0,0,6,6,2,2,2,2,2,0,15,15,15,15,15,15,15,15,15,15,15,15,15,15
9,sequence_19363,1,0,1,1,0,0,7,7,7,7,7,7,3,3,3,1,0,18,18,18,18,18,18,18,18,18,18,18
10,sequence_19500,1,0,3,3,1,1,1,3,3,1,0,5,5,2,2,2,2,0,14,6,6,6,2,2,0,12,12,12
11,sequence_19453,0,1,0,2,2,2,0,1,1,0,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
12,sequence_53075,0,2,2,0,3,3,3,8,8,3,1,1,0,14,14,14,14,14,6,2,2,2,0,10,10,10,4,1
13,sequence_19522,0,1,0,4,4,4,4,4,4,4,4,4,4,4,1,0,17,17,17,17,17,8,8,8,8,8,8,8
14,sequence_19523,0,1,0,2,2,2,0,2,0,10,10,10,10,10,10,10,10,10,10,10,10,10,10,4,4,4,1,0
15,sequence_53078,0,2,2,0,5,5,5,5,5,5,5,12,12,12,12,12,12,5,5,5,5,5,5,5,2,0,21,10
16,sequence_20069,1,0,3,3,1,1,1,3,3,1,0,0,13,13,13,13,13,13,13,13,13,13,13,13,13,13,27,27
17,sequence_53062,0,2,2,0,3,3,3,8,8,3,1,1,0,14,14,14,14,14,6,2,2,2,0,24,24,24,24,24
18,sequence_20060,1,0,3,3,1,1,1,3,3,1,0,0,7,7,7,16,16,16,16,16,16,16,16,16,16,16,16,16
19,sequence_53066,0,2,2,0,5,5,5,5,5,5,5,12,12,12,12,12,12,5,5,5,5,5,5,5,2,0,21,10
20,sequence_19417,0,1,0,4,4,4,4,4,4,4,4,4,4,4,1,0,1,1,1,1,0,22,22,22,22,22,22,22
21,sequence_19391,0,1,0,2,2,2,0,2,0,10,10,10,10,10,10,10,10,10,10,10,10,10,10,4,4,4,1,0
22,sequence_19447,1,0,1,1,0,6,2,0,9,9,9,9,9,9,4,4,4,4,4,4,4,4,4,1,1,1,0,28
23,sequence_53079,0,2,2,0,5,5,5,5,5,5,5,12,12,12,12,12,12,5,5,5,5,5,5,5,2,0,13,13
