,id_seq1,target_seq1,id_seq2,target_seq2,distance,profile
4,sequence_47787,5.0,sequence_47777,11.0,3.056494805100875,2-1-0-0-0-14
144,sequence_47787,5.0,sequence_47788,5.0,2.805502894799194,2-1-0-0-0-14
19,sequence_47787,5.0,sequence_47785,25.0,3.5011418837267287,2-1-0-0-0-14
2,sequence_47787,5.0,sequence_47790,9.0,3.0070054959169648,2-1-0-0-0-14
17,sequence_47787,5.0,sequence_47778,26.0,3.539573932149348,2-1-0-0-0-14
139,sequence_47787,5.0,sequence_47794,18.0,2.0955177930628635,2-1-0-0-0-14
1,sequence_47787,5.0,sequence_47789,10.0,3.251703276994128,2-1-0-0-0-14
146,sequence_47787,5.0,sequence_47809,10.0,3.6636200882638175,2-1-0-0-0-14
18,sequence_47787,5.0,sequence_47780,23.0,2.556066029184571,2-1-0-0-0-14
3,sequence_47787,5.0,sequence_47781,12.0,3.3678561894827186,2-1-0-0-0-14
11,sequence_47787,5.0,sequence_47776,9.0,1.736863328019415,2-1-0-0-0-14
83,sequence_47787,5.0,sequence_47708,111.0,4.279953559145613,2-1-0-0-0-6
72,sequence_47787,5.0,sequence_47702,69.0,4.464008741735087,2-1-0-0-0-6
34,sequence_47787,5.0,sequence_47700,65.0,4.184109126579241,2-1-0-0-0-6
82,sequence_47787,5.0,sequence_47704,98.0,5.190488381617489,2-1-0-0-0-6
88,sequence_47787,5.0,sequence_47707,79.0,4.334994855486332,2-1-0-0-0-6
42,sequence_47787,5.0,sequence_47807,42.0,4.224266895795742,2-1-0-0-0-6
87,sequence_47787,5.0,sequence_47703,95.0,4.5623739196150455,2-1-0-0-0-6
78,sequence_47787,5.0,sequence_47706,77.0,4.274399600698748,2-1-0-0-0-6
74,sequence_47787,5.0,sequence_47705,71.0,4.47808515446054,2-1-0-0-0-6
77,sequence_47787,5.0,sequence_47701,63.0,4.614992530896884,2-1-0-0-0-6
58,sequence_47787,5.0,sequence_47743,63.0,3.619403226597381,1-1-0-0-0-5
70,sequence_47787,5.0,sequence_47738,55.0,4.23428227619881,1-1-0-0-0-5
53,sequence_47787,5.0,sequence_47758,22.0,3.760963796109586,1-1-0-0-0-5
63,sequence_47787,5.0,sequence_47749,81.0,4.118465172712851,1-1-0-0-0-5
62,sequence_47787,5.0,sequence_47748,79.0,2.740175892832849,1-1-0-0-0-5
25,sequence_47787,5.0,sequence_47750,25.0,3.570579799220334,1-1-0-0-0-5
130,sequence_47787,5.0,sequence_47674,38.0,4.898925796544552,1-0-1-1-0-9
102,sequence_47787,5.0,sequence_47725,57.0,5.517839559833863,1-0-1-1-0-9
85,sequence_47787,5.0,sequence_47677,103.0,4.967715356544485,1-0-1-1-0-9
98,sequence_47787,5.0,sequence_47693,64.0,5.672185206381578,1-0-1-1-0-9
96,sequence_47787,5.0,sequence_47699,62.0,5.61880045701595,1-0-1-1-0-9
76,sequence_47787,5.0,sequence_47691,40.0,5.720673630579002,1-0-1-1-0-9
86,sequence_47787,5.0,sequence_47692,87.5,5.460343984556088,1-0-1-1-0-9
79,sequence_47787,5.0,sequence_47675,57.0,4.883797799366709,1-0-1-1-0-9
80,sequence_47787,5.0,sequence_47698,56.0,5.907679253999179,1-0-1-1-0-9
33,sequence_47787,5.0,sequence_47673,65.5,5.083667405232335,1-0-1-1-0-9
57,sequence_47787,5.0,sequence_47741,102.0,3.810685111494688,2-0-1-0-0-5
40,sequence_47787,5.0,sequence_47724,48.0,3.97453097798499,1-0-1-0-0-2
36,sequence_47787,5.0,sequence_47683,75.0,4.386730725150412,2-1-0-0-0-2
73,sequence_47787,5.0,sequence_47672,76.0,4.170963230253639,2-1-0-0-0-2
60,sequence_47787,5.0,sequence_47745,83.0,3.948924319273935,2-1-0-0-0-4
59,sequence_47787,5.0,sequence_47752,67.0,3.5800089605101406,2-1-0-0-0-4
118,sequence_47787,5.0,sequence_47754,70.0,4.368073051259202,2-1-0-0-0-4
61,sequence_47787,5.0,sequence_47747,72.0,3.9085903328383926,2-1-0-0-0-4
64,sequence_47787,5.0,sequence_47744,69.0,3.7120075212369694,2-1-0-0-0-4
117,sequence_47787,5.0,sequence_47746,94.0,4.570629160712532,2-1-0-0-0-4
119,sequence_47787,5.0,sequence_47753,74.0,4.3759799055559405,2-1-0-0-0-4
49,sequence_47787,5.0,sequence_47727,45.0,3.5761275614345625,1-0-1-1-0-13
145,sequence_47787,5.0,sequence_47729,34.0,3.675558873430988,1-0-1-1-0-13
147,sequence_47787,5.0,sequence_47737,27.0,3.718381936012303,1-0-1-1-0-13
140,sequence_47787,5.0,sequence_47728,12.0,2.275633512531696,1-0-1-1-0-13
150,sequence_47787,5.0,sequence_47736,19.0,2.851885419812652,1-0-1-1-0-13
5,sequence_47787,5.0,sequence_47779,11.0,2.5704199543221,1-1-0-0-0-14
7,sequence_47787,5.0,sequence_47786,18.0,2.7279349594611806,1-1-0-0-0-14
143,sequence_47787,5.0,sequence_47791,4.0,2.234401389894313,1-1-0-0-0-14
133,sequence_47787,5.0,sequence_47739,35.0,4.071025300227073,2-1-0-0-0-10
127,sequence_47787,5.0,sequence_47719,66.0,4.408504777856267,2-1-0-0-0-10
116,sequence_47787,5.0,sequence_47755,100.0,3.319241638739514,2-1-0-0-0-10
129,sequence_47787,5.0,sequence_47722,75.0,4.609461861887542,2-1-0-0-0-10
125,sequence_47787,5.0,sequence_47720,80.0,4.396535361787868,2-1-0-0-0-10
123,sequence_47787,5.0,sequence_47718,81.0,3.986427393099557,2-1-0-0-0-10
122,sequence_47787,5.0,sequence_47715,101.0,3.191399887298621,2-1-0-0-0-10
