id,label
sequence_47777,2
sequence_47708,1
sequence_47743,2
sequence_47674,0
sequence_47741,1
sequence_47724,2
sequence_47683,2
sequence_47745,1
sequence_47727,0
sequence_47779,2
sequence_47739,2
sequence_47732,0
sequence_47666,1
sequence_47661,1
sequence_47738,2
sequence_47714,1
sequence_47729,2
sequence_47752,2
sequence_47702,0
sequence_47798,2
sequence_47788,0
sequence_47806,1
sequence_47769,2
sequence_47785,2
sequence_47676,2
sequence_47810,2
sequence_47719,2
sequence_47737,1
sequence_47805,2
sequence_47786,2
sequence_47688,2
sequence_47723,2
sequence_47796,2
sequence_47783,2
sequence_47663,2
sequence_47725,2
sequence_47764,1
sequence_47662,0
sequence_47740,0
sequence_47694,0
sequence_47731,0
sequence_47734,2
sequence_47791,2
sequence_47801,1
sequence_47768,2
sequence_47755,0
sequence_47697,1
sequence_47733,0
sequence_47735,2
sequence_47811,0
sequence_47797,0
sequence_47770,2
sequence_47689,2
sequence_47765,2
sequence_47760,2
sequence_47790,0
sequence_47808,1
sequence_47670,0
sequence_47716,2
sequence_47677,2
sequence_47690,2
sequence_47700,1
sequence_47664,0
sequence_47668,0
sequence_47762,1
sequence_47704,1
sequence_47713,0
sequence_47773,2
sequence_47722,2
sequence_47799,2
sequence_47758,2
sequence_47761,1
sequence_47665,2
sequence_47749,2
sequence_47728,1
sequence_47804,2
sequence_47693,1
sequence_47778,2
sequence_47671,2
sequence_47699,1
sequence_47679,2
sequence_47730,2
sequence_47691,0
sequence_47794,0
sequence_47774,2
sequence_47687,2
sequence_47775,0
sequence_47803,2
sequence_47789,2
sequence_47795,1
sequence_47720,2
sequence_47709,1
sequence_47742,2
sequence_47751,0
sequence_47754,0
sequence_47772,2
sequence_47726,2
sequence_47748,2
sequence_47707,1
sequence_47812,2
sequence_47782,2
sequence_47747,2
sequence_47692,1
sequence_47681,0
sequence_47767,2
sequence_47718,2
sequence_47809,1
sequence_47763,2
sequence_47780,2
sequence_47807,1
sequence_47756,0
sequence_47744,1
sequence_47721,2
sequence_47771,2
sequence_47750,2
sequence_47787,0
sequence_47793,1
sequence_47746,0
sequence_47757,2
sequence_47802,0
sequence_47667,2
sequence_47675,0
sequence_47736,2
sequence_47684,2
sequence_47669,0
sequence_47672,0
sequence_47759,2
sequence_47712,2
sequence_47703,1
sequence_47753,1
sequence_47678,2
sequence_47680,0
sequence_47698,0
sequence_47711,2
sequence_47784,2
sequence_47685,0
sequence_47710,2
sequence_47673,2
sequence_47717,2
sequence_47715,2
sequence_47792,2
sequence_47696,0
sequence_47706,0
sequence_47766,1
sequence_47705,0
sequence_47701,0
sequence_47682,2
sequence_47800,2
sequence_47781,2
sequence_47695,1
sequence_47776,2
sequence_47686,2
