id_seq1,target_seq1,id_seq2,target_seq2,distance
sequence_47787,5.0,sequence_47684,23.0,4996.643946812661
sequence_47787,5.0,sequence_47789,10.0,5709.224698295015
sequence_47787,5.0,sequence_47790,9.0,5771.226170579273
sequence_47787,5.0,sequence_47781,12.0,1236.7135359503186
sequence_47787,5.0,sequence_47777,11.0,1960.1510713435384
sequence_47787,5.0,sequence_47779,11.0,1990.6983211997267
sequence_47787,5.0,sequence_47784,21.0,2767.9940321275517
sequence_47787,5.0,sequence_47786,18.0,3026.1555627624675
sequence_47787,5.0,sequence_47782,17.0,3090.373952809588
sequence_47787,5.0,sequence_47772,12.0,1393.4360774696734
sequence_47787,5.0,sequence_47795,7.0,4794.997557879241
sequence_47787,5.0,sequence_47776,9.0,1283.8740285288934
sequence_47787,5.0,sequence_47685,24.0,6118.200612921501
sequence_47787,5.0,sequence_47679,44.0,5344.760465338148
sequence_47787,5.0,sequence_47695,52.0,6869.594586203739
sequence_47787,5.0,sequence_47710,43.0,7454.824975945648
sequence_47787,5.0,sequence_47686,22.0,7323.986246812392
sequence_47787,5.0,sequence_47778,26.0,5982.924032156844
sequence_47787,5.0,sequence_47780,23.0,5970.315027708753
sequence_47787,5.0,sequence_47785,25.0,6310.177503849539
sequence_47787,5.0,sequence_47803,12.0,7253.247625700807
sequence_47787,5.0,sequence_47663,36.0,4854.740343136824
sequence_47787,5.0,sequence_47757,36.0,2986.5228074074803
sequence_47787,5.0,sequence_47783,24.5,5012.000004798472
sequence_47787,5.0,sequence_47796,20.0,5168.956641960145
sequence_47787,5.0,sequence_47750,25.0,1916.2637286230988
sequence_47787,5.0,sequence_47760,26.0,1848.5524986717014
sequence_47787,5.0,sequence_47773,19.0,5890.934550980731
sequence_47787,5.0,sequence_47768,17.0,2295.939072808281
sequence_47787,5.0,sequence_47771,18.0,3501.896811895932
sequence_47787,5.0,sequence_47681,44.0,6348.238234424161
sequence_47787,5.0,sequence_47696,47.0,7643.922489038154
sequence_47787,5.0,sequence_47680,73.0,5360.400704819766
sequence_47787,5.0,sequence_47673,65.5,5495.796001302576
sequence_47787,5.0,sequence_47700,65.0,5478.6355665179935
sequence_47787,5.0,sequence_47689,52.0,7312.316120308063
sequence_47787,5.0,sequence_47683,75.0,7371.212156548576
sequence_47787,5.0,sequence_47697,55.5,8690.610591278255
sequence_47787,5.0,sequence_47678,37.0,7467.873045689034
sequence_47787,5.0,sequence_47682,53.0,7457.8284441831875
sequence_47787,5.0,sequence_47724,48.0,7201.804218595491
sequence_47787,5.0,sequence_47806,73.0,6075.777122174186
sequence_47787,5.0,sequence_47807,42.0,7217.122218055199
sequence_47787,5.0,sequence_47804,23.0,7707.69644743283
sequence_47787,5.0,sequence_47800,20.0,7253.237424966382
sequence_47787,5.0,sequence_47799,24.0,7368.78262068596
sequence_47787,5.0,sequence_47664,32.0,6039.130485966427
sequence_47787,5.0,sequence_47666,69.0,5097.94762866433
sequence_47787,5.0,sequence_47671,36.0,5806.710814507404
sequence_47787,5.0,sequence_47727,45.0,5094.391983564368
sequence_47787,5.0,sequence_47756,37.0,5091.353157871981
sequence_47787,5.0,sequence_47775,23.0,5147.50861281587
sequence_47787,5.0,sequence_47730,35.0,5250.452108446698
sequence_47787,5.0,sequence_47758,22.0,5255.503970781204
sequence_47787,5.0,sequence_47797,27.0,6549.234747106576
sequence_47787,5.0,sequence_47798,23.0,6844.009895475897
sequence_47787,5.0,sequence_47751,34.0,4211.282957087444
sequence_47787,5.0,sequence_47741,102.0,2749.668083162997
sequence_47787,5.0,sequence_47743,63.0,2304.214754176872
sequence_47787,5.0,sequence_47752,67.0,3990.1867010966325
sequence_47787,5.0,sequence_47745,83.0,3059.042904891068
sequence_47787,5.0,sequence_47747,72.0,3063.1501318628443
sequence_47787,5.0,sequence_47748,79.0,3289.7445420488048
sequence_47787,5.0,sequence_47749,81.0,3132.051910615779
sequence_47787,5.0,sequence_47744,69.0,3425.85518282441
sequence_47787,5.0,sequence_47721,40.0,7259.710030380015
sequence_47787,5.0,sequence_47759,36.0,5893.201021564753
sequence_47787,5.0,sequence_47774,21.0,6325.354790233859
sequence_47787,5.0,sequence_47770,25.0,6382.853002296901
sequence_47787,5.0,sequence_47713,51.0,2675.2932228206614
sequence_47787,5.0,sequence_47738,55.0,2678.5914661792945
sequence_47787,5.0,sequence_47769,25.0,6094.413789368607
sequence_47787,5.0,sequence_47702,69.0,6424.979487512722
sequence_47787,5.0,sequence_47672,76.0,6462.5758816810485
sequence_47787,5.0,sequence_47705,71.0,6356.066748077717
sequence_47787,5.0,sequence_47694,51.0,8718.392547885795
sequence_47787,5.0,sequence_47691,40.0,7849.550596538176
sequence_47787,5.0,sequence_47701,63.0,5485.161790181091
sequence_47787,5.0,sequence_47706,77.0,6073.661727367901
sequence_47787,5.0,sequence_47675,57.0,5495.599537216113
sequence_47787,5.0,sequence_47698,56.0,8253.640069031837
sequence_47787,5.0,sequence_47688,90.0,8538.24112901637
sequence_47787,5.0,sequence_47704,98.0,7475.613903695274
sequence_47787,5.0,sequence_47708,111.0,7836.606608588485
sequence_47787,5.0,sequence_47709,119.0,8901.929917528512
sequence_47787,5.0,sequence_47677,103.0,7486.637173023956
sequence_47787,5.0,sequence_47692,87.5,8942.46464617731
sequence_47787,5.0,sequence_47703,95.0,7547.383148223725
sequence_47787,5.0,sequence_47707,79.0,7877.657667161729
sequence_47787,5.0,sequence_47762,127.0,6670.540767539824
sequence_47787,5.0,sequence_47765,118.0,6716.19703654397
sequence_47787,5.0,sequence_47767,105.0,7287.74184061845
sequence_47787,5.0,sequence_47812,121.0,6069.0292850963415
