,id_seq1,target_seq1,id_seq2,target_seq2,distance,profile
4,sequence_47787,5.0,sequence_47777,11.0,0.0226428330683366,0-11-9-9-26-0
83,sequence_47787,5.0,sequence_47708,111.0,0.0845662817778677,1-8-18-18-107-7
58,sequence_47787,5.0,sequence_47743,63.0,0.0487820336498422,0-24-5-5-109-3
130,sequence_47787,5.0,sequence_47674,38.0,0.0668636968185584,1-6-0-0-121-11
57,sequence_47787,5.0,sequence_47741,102.0,0.0486586010706041,0-24-5-5-115-3
40,sequence_47787,5.0,sequence_47724,48.0,0.0856287072924091,1-8-18-18-128-7
36,sequence_47787,5.0,sequence_47683,75.0,0.0845818690123886,1-8-18-18-126-7
60,sequence_47787,5.0,sequence_47745,83.0,0.0675500308316128,0-15-21-21-131-17
49,sequence_47787,5.0,sequence_47727,45.0,0.0610397586059511,1-23-14-14-97-2
5,sequence_47787,5.0,sequence_47779,11.0,0.0221554072060597,0-1-7-7-25-0
133,sequence_47787,5.0,sequence_47739,35.0,0.0782997696411856,0-21-22-22-28-4
115,sequence_47787,5.0,sequence_47732,30.0,0.0732059041261678,1-13-11-11-39-13
47,sequence_47787,5.0,sequence_47666,69.0,0.076328368983212,0-10-16-16-70-12
107,sequence_47787,5.0,sequence_47661,52.0,0.0771544264213192,0-6-2-2-108-11
70,sequence_47787,5.0,sequence_47738,55.0,0.0470640899223864,0-15-21-21-116-3
101,sequence_47787,5.0,sequence_47714,51.0,0.0895864841419762,1-18-8-8-0-8
145,sequence_47787,5.0,sequence_47729,34.0,0.032724055156875,0-26-26-26-65-3
59,sequence_47787,5.0,sequence_47752,67.0,0.0547926221620159,0-24-5-5-144-3
72,sequence_47787,5.0,sequence_47702,69.0,0.069185079750179,1-0-25-25-34-9
55,sequence_47787,5.0,sequence_47798,23.0,0.0727463344823085,0-19-1-1-83-17
144,sequence_47787,5.0,sequence_47788,5.0,0.0408645301926043,0-9-6-6-59-0
41,sequence_47787,5.0,sequence_47806,73.0,0.0807407230787631,1-7-19-19-125-10
71,sequence_47787,5.0,sequence_47769,25.0,0.074878041339517,1-2-10-10-72-4
19,sequence_47787,5.0,sequence_47785,25.0,0.0753966655605309,1-17-4-4-58-8
131,sequence_47787,5.0,sequence_47676,56.0,0.08758953306161,1-12-23-23-80-6
148,sequence_47787,5.0,sequence_47810,5.57,0.0295429442750476,0-1-7-7-2-0
127,sequence_47787,5.0,sequence_47719,66.0,0.0859924563928671,1-27-15-15-133-6
147,sequence_47787,5.0,sequence_47737,27.0,0.0328569185874715,0-26-26-26-79-3
137,sequence_47787,5.0,sequence_47805,22.0,0.0529910945647293,0-4-13-13-129-17
7,sequence_47787,5.0,sequence_47786,18.0,0.0414363853294601,0-11-28-28-87-16
81,sequence_47787,5.0,sequence_47688,90.0,0.0924058690754422,1-19-1-1-61-12
128,sequence_47787,5.0,sequence_47723,69.0,0.0951520734240075,1-3-12-12-31-15
24,sequence_47787,5.0,sequence_47796,20.0,0.0598080666929392,0-4-13-13-148-17
23,sequence_47787,5.0,sequence_47783,24.5,0.0559884051411749,1-23-14-14-146-2
21,sequence_47787,5.0,sequence_47663,36.0,0.0595066365832107,0-10-16-16-76-1
102,sequence_47787,5.0,sequence_47725,57.0,0.0978205659642243,1-3-12-12-18-15
94,sequence_47787,5.0,sequence_47764,118.0,0.0829466303586655,1-7-19-19-127-10
112,sequence_47787,5.0,sequence_47662,28.0,0.071177093826239,0-6-0-0-145-11
120,sequence_47787,5.0,sequence_47740,158.0,0.0562784935622791,1-24-6-6-114-14
75,sequence_47787,5.0,sequence_47694,51.0,0.0845452322279821,0-6-2-2-77-11
113,sequence_47787,5.0,sequence_47731,32.0,0.0665390104759595,0-4-13-13-104-17
110,sequence_47787,5.0,sequence_47734,110.0,0.0705410449927978,0-13-27-27-13-13
143,sequence_47787,5.0,sequence_47791,4.0,0.0357902310533374,0-11-9-9-46-16
136,sequence_47787,5.0,sequence_47801,4.0,0.0407963768007426,0-16-20-20-52-3
28,sequence_47787,5.0,sequence_47768,17.0,0.0353426811322097,0-16-9-9-60-17
116,sequence_47787,5.0,sequence_47755,100.0,0.0713158022820519,0-13-11-11-36-13
37,sequence_47787,5.0,sequence_47697,55.5,0.0873660811661059,1-27-15-15-89-6
114,sequence_47787,5.0,sequence_47733,25.0,0.0726288571081315,0-13-11-11-40-13
134,sequence_47787,5.0,sequence_47735,55.0,0.0783815349924469,1-21-22-22-22-4
111,sequence_47787,5.0,sequence_47811,24.0,0.0558659347305647,1-23-14-14-136-2
54,sequence_47787,5.0,sequence_47797,27.0,0.0674342265395483,1-13-11-11-82-13
68,sequence_47787,5.0,sequence_47770,25.0,0.0725461530983992,1-2-10-10-112-4
35,sequence_47787,5.0,sequence_47689,52.0,0.0702699912487289,0-10-16-16-134-5
