,id_seq1,target_seq1,id_seq2,target_seq2,distance,profile
124,sequence_51016,-4.626935645431157,sequence_51160,-7.359947635110199,7061.4152,0-1-2-2-1
9,sequence_51016,-4.626935645431157,sequence_51174,-8.191804956045784,7860.8246,0-1-2-2-1
117,sequence_51016,-4.626935645431157,sequence_51164,-5.675591751285612,8304.0942,0-1-2-2-1
16,sequence_51016,-4.626935645431157,sequence_51173,-7.430867304520878,8203.4933,0-1-2-2-1
7,sequence_51016,-4.626935645431157,sequence_51159,-5.319842748072733,8387.7847,0-1-2-2-1
11,sequence_51016,-4.626935645431157,sequence_51199,-6.996026362092827,7981.1312,0-1-2-2-1
116,sequence_51016,-4.626935645431157,sequence_51180,-6.304185064160062,7385.1398,0-1-2-2-1
14,sequence_51016,-4.626935645431157,sequence_51157,-7.993079403043451,7681.8012,0-1-2-2-1
105,sequence_51016,-4.626935645431157,sequence_51165,-8.135108482126563,7848.0233,0-1-2-2-1
0,sequence_51016,-4.626935645431157,sequence_51170,-5.599110392902725,8260.0289,0-1-2-2-1
112,sequence_51016,-4.626935645431157,sequence_51177,-6.222235866357328,8378.8071,0-1-2-2-1
104,sequence_51016,-4.626935645431157,sequence_51158,-6.222980712367778,7521.9855,0-1-2-2-1
107,sequence_51016,-4.626935645431157,sequence_51155,-5.6881928391837775,8607.7027,0-1-2-2-1
30,sequence_51016,-4.626935645431157,sequence_51141,-6.2807344442384325,6569.9522,0-1-2-2-1
6,sequence_51016,-4.626935645431157,sequence_51181,-6.128408684508713,8621.8975,0-1-2-2-1
13,sequence_51016,-4.626935645431157,sequence_51183,-7.546017632580344,8443.8778,0-1-2-2-1
106,sequence_51016,-4.626935645431157,sequence_51176,-6.977819960699303,8263.3908,0-1-2-2-1
10,sequence_51016,-4.626935645431157,sequence_51169,-6.371702819572715,7591.712799999999,0-1-2-2-1
109,sequence_51016,-4.626935645431157,sequence_51172,-6.315267818049118,8046.2657,0-1-2-2-1
110,sequence_51016,-4.626935645431157,sequence_51195,-4.719117050535875,5984.4254,0-1-2-2-1
15,sequence_51016,-4.626935645431157,sequence_51163,-5.840652190889835,7927.6155,0-1-2-2-1
103,sequence_51016,-4.626935645431157,sequence_51178,-5.206388367343241,8349.4786,0-1-2-2-1
101,sequence_51016,-4.626935645431157,sequence_51130,-5.73331703632774,7622.095899999999,0-1-2-2-1
217,sequence_51016,-4.626935645431157,sequence_51200,-4.040097249792159,7119.9215,0-1-2-2-1
4,sequence_51016,-4.626935645431157,sequence_51140,-6.732490772637745,8361.3081,0-1-2-2-1
8,sequence_51016,-4.626935645431157,sequence_51175,-5.0920670419749925,8478.0495,0-1-2-2-1
115,sequence_51016,-4.626935645431157,sequence_51156,-6.2249740524313975,7568.902,0-1-2-2-1
114,sequence_51016,-4.626935645431157,sequence_51166,-7.112515562930268,7873.9301,0-1-2-2-1
108,sequence_51016,-4.626935645431157,sequence_51162,-5.483585000857007,8401.0757,0-1-2-2-1
371,sequence_51170,-5.599110392902725,sequence_51160,-7.359947635110199,3446.2599,0-1-2-2-1
256,sequence_51170,-5.599110392902725,sequence_51174,-8.191804956045784,1641.9163999999996,0-1-2-2-1
364,sequence_51170,-5.599110392902725,sequence_51164,-5.675591751285612,1619.13,0-1-2-2-1
263,sequence_51170,-5.599110392902725,sequence_51173,-7.430867304520878,1715.0636999999997,0-1-2-2-1
254,sequence_51170,-5.599110392902725,sequence_51159,-5.319842748072733,936.8145,0-1-2-2-1
258,sequence_51170,-5.599110392902725,sequence_51199,-6.996026362092827,1523.9705,0-1-2-2-1
363,sequence_51170,-5.599110392902725,sequence_51180,-6.304185064160062,1918.9488,0-1-2-2-1
261,sequence_51170,-5.599110392902725,sequence_51157,-7.993079403043451,1238.3907,0-1-2-2-1
352,sequence_51170,-5.599110392902725,sequence_51165,-8.135108482126563,2278.2069,0-1-2-2-1
359,sequence_51170,-5.599110392902725,sequence_51177,-6.222235866357328,657.9587999999994,0-1-2-2-1
351,sequence_51170,-5.599110392902725,sequence_51158,-6.222980712367778,3031.2114,0-1-2-2-1
