,id_seq1,target_seq1,id_seq2,target_seq2,distance,profile
255,sequence_53082,55.0,sequence_19347,58.9,0.1018105303900084,1-1-1-1-30
117,sequence_53082,55.0,sequence_19521,53.0,0.1893638155699469,1-1-1-1-30
256,sequence_53082,55.0,sequence_19379,50.3,0.1515026435134698,1-1-1-1-30
259,sequence_53082,55.0,sequence_19401,47.4,0.1716342667312027,1-1-1-1-30
515,sequence_19402,43.0,sequence_19347,58.9,0.5515493426374768,1-1-1-1-30
377,sequence_19402,43.0,sequence_19521,53.0,0.5533874848806629,1-1-1-1-30
516,sequence_19402,43.0,sequence_19379,50.3,0.4988517536851574,1-1-1-1-30
519,sequence_19402,43.0,sequence_19401,47.4,0.4852736265250081,1-1-1-1-30
775,sequence_20054,49.0,sequence_19347,58.9,0.6691988690453139,1-1-1-1-30
637,sequence_20054,49.0,sequence_19521,53.0,0.6028756731544689,1-1-1-1-30
776,sequence_20054,49.0,sequence_19379,50.3,0.6604409636922386,1-1-1-1-30
779,sequence_20054,49.0,sequence_19401,47.4,0.6606749845746471,1-1-1-1-30
95,sequence_53082,55.0,sequence_19511,62.4,0.2804132328875209,1-1-1-1-24
228,sequence_53082,55.0,sequence_19351,60.9,0.3148096340103649,1-1-1-1-24
113,sequence_53082,55.0,sequence_19403,50.9,0.3151777128170931,1-1-1-1-24
208,sequence_53082,55.0,sequence_19459,59.2,0.2908660475189647,1-1-1-1-24
66,sequence_53082,55.0,sequence_20056,56.9,0.2520131343577673,1-1-1-1-24
221,sequence_53082,55.0,sequence_19461,61.2,0.2544994949721424,1-1-1-1-24
213,sequence_53082,55.0,sequence_19463,62.7,0.2818049125830566,1-1-1-1-24
176,sequence_53082,55.0,sequence_19484,52.0,0.322525698700799,1-1-1-1-24
216,sequence_53082,55.0,sequence_19350,60.1,0.323768869903511,1-1-1-1-24
41,sequence_53082,55.0,sequence_19504,50.6,0.3168150449294843,1-1-1-1-24
141,sequence_53082,55.0,sequence_19512,54.4,0.2980911805339103,1-1-1-1-24
355,sequence_19402,43.0,sequence_19511,62.4,0.5624840666819148,1-1-1-1-24
488,sequence_19402,43.0,sequence_19351,60.9,0.5321057662442797,1-1-1-1-24
373,sequence_19402,43.0,sequence_19403,50.9,0.5178595615625702,1-1-1-1-24
468,sequence_19402,43.0,sequence_19459,59.2,0.5539393514326949,1-1-1-1-24
326,sequence_19402,43.0,sequence_20056,56.9,0.6460557814340702,1-1-1-1-24
481,sequence_19402,43.0,sequence_19461,61.2,0.5534521333202996,1-1-1-1-24
473,sequence_19402,43.0,sequence_19463,62.7,0.5656996948727058,1-1-1-1-24
436,sequence_19402,43.0,sequence_19484,52.0,0.5481153485531096,1-1-1-1-24
