id_seq1,target_seq1,id_seq2,target_seq2,distance
sequence_47787,5.0,sequence_47684,23.0,1.3790999999999998
sequence_47787,5.0,sequence_47789,10.0,0.7442999999999991
sequence_47787,5.0,sequence_47790,9.0,0.655799999999999
sequence_47787,5.0,sequence_47781,12.0,0.9992
sequence_47787,5.0,sequence_47777,11.0,0.8593000000000004
sequence_47787,5.0,sequence_47779,11.0,0.6016999999999996
sequence_47787,5.0,sequence_47784,21.0,0.6030000000000009
sequence_47787,5.0,sequence_47786,18.0,0.6505000000000011
sequence_47787,5.0,sequence_47782,17.0,0.6423999999999983
sequence_47787,5.0,sequence_47772,12.0,1.3485000000000023
sequence_47787,5.0,sequence_47795,7.0,2.2085000000000017
sequence_47787,5.0,sequence_47776,9.0,0.21730000000000027
sequence_47787,5.0,sequence_47685,24.0,1.2877
sequence_47787,5.0,sequence_47679,44.0,1.7705999999999995
sequence_47787,5.0,sequence_47695,52.0,2.5949000000000004
sequence_47787,5.0,sequence_47710,43.0,2.870600000000001
sequence_47787,5.0,sequence_47686,22.0,1.1752999999999991
sequence_47787,5.0,sequence_47778,26.0,1.2304999999999995
sequence_47787,5.0,sequence_47780,23.0,0.7170000000000005
sequence_47787,5.0,sequence_47785,25.0,1.0858
sequence_47787,5.0,sequence_47803,12.0,1.5818000000000012
sequence_47787,5.0,sequence_47663,36.0,1.5945
sequence_47787,5.0,sequence_47757,36.0,1.527800000000001
sequence_47787,5.0,sequence_47783,24.5,0.7305999999999999
sequence_47787,5.0,sequence_47796,20.0,1.1728000000000003
sequence_47787,5.0,sequence_47750,25.0,1.1504999999999992
sequence_47787,5.0,sequence_47760,26.0,1.3695999999999988
sequence_47787,5.0,sequence_47773,19.0,1.0443000000000013
sequence_47787,5.0,sequence_47768,17.0,1.4279000000000004
sequence_47787,5.0,sequence_47771,18.0,1.6507000000000014
sequence_47787,5.0,sequence_47681,44.0,1.7081000000000006
sequence_47787,5.0,sequence_47696,47.0,2.4401000000000006
sequence_47787,5.0,sequence_47680,73.0,1.6507000000000007
sequence_47787,5.0,sequence_47673,65.5,2.306700000000001
sequence_47787,5.0,sequence_47700,65.0,1.6509000000000014
sequence_47787,5.0,sequence_47689,52.0,2.9471
sequence_47787,5.0,sequence_47683,75.0,1.7724000000000015
sequence_47787,5.0,sequence_47697,55.5,2.3261000000000016
sequence_47787,5.0,sequence_47678,37.0,1.8795000000000015
sequence_47787,5.0,sequence_47682,53.0,1.6111000000000004
sequence_47787,5.0,sequence_47724,48.0,1.4744999999999995
sequence_47787,5.0,sequence_47806,73.0,2.168799999999999
sequence_47787,5.0,sequence_47807,42.0,1.6918
sequence_47787,5.0,sequence_47804,23.0,1.5729000000000004
sequence_47787,5.0,sequence_47800,20.0,1.7826
sequence_47787,5.0,sequence_47799,24.0,1.818000000000001
sequence_47787,5.0,sequence_47664,32.0,1.4937000000000005
sequence_47787,5.0,sequence_47666,69.0,1.7047999999999996
sequence_47787,5.0,sequence_47671,36.0,2.1470000000000016
sequence_47787,5.0,sequence_47727,45.0,1.614000000000001
sequence_47787,5.0,sequence_47756,37.0,1.2536000000000003
sequence_47787,5.0,sequence_47775,23.0,0.7540000000000012
sequence_47787,5.0,sequence_47730,35.0,1.9722000000000004
sequence_47787,5.0,sequence_47758,22.0,1.368
