,id_seq1,target_seq1,id_seq2,target_seq2,distance,profile
255,sequence_53082,55.0,sequence_19347,58.9,0.0078430141451673,1-1-1-0-24
258,sequence_53082,55.0,sequence_19380,48.1,0.0127396534336,1-1-1-0-24
190,sequence_53082,55.0,sequence_19407,49.2,0.0081451882390555,1-1-1-0-24
256,sequence_53082,55.0,sequence_19379,50.3,0.0081547729068249,1-1-1-0-24
25,sequence_53082,55.0,sequence_19425,56.9,0.0105927315061428,1-1-1-0-24
515,sequence_19402,43.0,sequence_19347,58.9,0.019995116370998,1-1-1-0-24
518,sequence_19402,43.0,sequence_19380,48.1,0.011709485299272,1-1-1-0-24
450,sequence_19402,43.0,sequence_19407,49.2,0.0185998803721335,1-1-1-0-24
516,sequence_19402,43.0,sequence_19379,50.3,0.0168950772782469,1-1-1-0-24
285,sequence_19402,43.0,sequence_19425,56.9,0.0216421656885247,1-1-1-0-24
775,sequence_20054,49.0,sequence_19347,58.9,0.0181812758445397,1-1-1-0-24
778,sequence_20054,49.0,sequence_19380,48.1,0.0199156950613841,1-1-1-0-24
710,sequence_20054,49.0,sequence_19407,49.2,0.0160407923273274,1-1-1-0-24
776,sequence_20054,49.0,sequence_19379,50.3,0.0170417595336583,1-1-1-0-24
545,sequence_20054,49.0,sequence_19425,56.9,0.0115189062697736,1-1-1-0-24
95,sequence_53082,55.0,sequence_19511,62.4,0.0091012282831284,0-1-1-0-18
208,sequence_53082,55.0,sequence_19459,59.2,0.0101336500179239,0-1-1-0-18
178,sequence_53082,55.0,sequence_20034,52.0,0.0126620782924463,0-1-1-0-18
216,sequence_53082,55.0,sequence_19350,60.1,0.0105531424962292,0-1-1-0-18
355,sequence_19402,43.0,sequence_19511,62.4,0.0137698317709104,0-1-1-0-18
468,sequence_19402,43.0,sequence_19459,59.2,0.015512799078677,0-1-1-0-18
438,sequence_19402,43.0,sequence_20034,52.0,0.0124529202925061,0-1-1-0-18
476,sequence_19402,43.0,sequence_19350,60.1,0.015140799922667,0-1-1-0-18
615,sequence_20054,49.0,sequence_19511,62.4,0.0099751047144143,0-1-1-0-18
728,sequence_20054,49.0,sequence_19459,59.2,0.0085895035511377,0-1-1-0-18
698,sequence_20054,49.0,sequence_20034,52.0,0.0088778706469156,0-1-1-0-18
736,sequence_20054,49.0,sequence_19350,60.1,0.0107767619898162,0-1-1-0-18
112,sequence_53082,55.0,sequence_19445,45.5,0.0204714253089585,0-0-2-1-7
57,sequence_53082,55.0,sequence_20040,47.2,0.0213701144681189,0-0-2-1-7
59,sequence_53082,55.0,sequence_19432,51.0,0.0238110109086756,0-0-2-1-7
93,sequence_53082,55.0,sequence_19488,51.3,0.020414714037134,0-0-2-1-7
164,sequence_53082,55.0,sequence_19489,49.1,0.0245203427614837,0-0-2-1-7
1,sequence_53082,55.0,sequence_20054,49.0,0.0206472455323333,0-0-2-1-7
84,sequence_53082,55.0,sequence_19433,50.1,0.0210997139189133,0-0-2-1-7
4,sequence_53082,55.0,sequence_19525,48.8,0.0209329124222689,0-0-2-1-7
87,sequence_53082,55.0,sequence_20065,46.5,0.0240358438235746,0-0-2-1-7
127,sequence_53082,55.0,sequence_20055,46.3,0.0256453286030593,0-0-2-1-7
102,sequence_53082,55.0,sequence_19486,54.2,0.0219956508985774,0-0-2-1-7
173,sequence_53082,55.0,sequence_19485,58.0,0.0182949888165773,0-0-2-1-7
41,sequence_53082,55.0,sequence_19504,50.6,0.0189330059116726,0-0-2-1-7
151,sequence_53082,55.0,sequence_19454,43.1,0.0224082559323248,0-0-2-1-7
372,sequence_19402,43.0,sequence_19445,45.5,0.0084325693584178,0-0-2-1-7
317,sequence_19402,43.0,sequence_20040,47.2,0.0078957353838969,0-0-2-1-7
319,sequence_19402,43.0,sequence_19432,51.0,0.0123102261585976,0-0-2-1-7
353,sequence_19402,43.0,sequence_19488,51.3,0.0114012740144743,0-0-2-1-7
424,sequence_19402,43.0,sequence_19489,49.1,0.0118370027745209,0-0-2-1-7
261,sequence_19402,43.0,sequence_20054,49.0,0.0134386779524822,0-0-2-1-7
344,sequence_19402,43.0,sequence_19433,50.1,0.0150286147484406,0-0-2-1-7
264,sequence_19402,43.0,sequence_19525,48.8,0.009648688960984,0-0-2-1-7
347,sequence_19402,43.0,sequence_20065,46.5,0.0110635515137316,0-0-2-1-7
387,sequence_19402,43.0,sequence_20055,46.3,0.0112773419606013,0-0-2-1-7
362,sequence_19402,43.0,sequence_19486,54.2,0.0117934860935109,0-0-2-1-7
433,sequence_19402,43.0,sequence_19485,58.0,0.0150300464984896,0-0-2-1-7
301,sequence_19402,43.0,sequence_19504,50.6,0.0077303258589584,0-0-2-1-7
411,sequence_19402,43.0,sequence_19454,43.1,0.0100616636995662,0-0-2-1-7
632,sequence_20054,49.0,sequence_19445,45.5,0.0042371890368863,0-0-2-1-7
577,sequence_20054,49.0,sequence_20040,47.2,0.0022725373413957,0-0-2-1-7
579,sequence_20054,49.0,sequence_19432,51.0,0.0015420118098739,0-0-2-1-7
613,sequence_20054,49.0,sequence_19488,51.3,0.0037852010936739,0-0-2-1-7
684,sequence_20054,49.0,sequence_19489,49.1,0.0027804557783658,0-0-2-1-7
604,sequence_20054,49.0,sequence_19433,50.1,0.0022288460045972,0-0-2-1-7
524,sequence_20054,49.0,sequence_19525,48.8,0.0032013640031172,0-0-2-1-7
607,sequence_20054,49.0,sequence_20065,46.5,0.0028923508942227,0-0-2-1-7
647,sequence_20054,49.0,sequence_20055,46.3,0.0017049172487574,0-0-2-1-7
622,sequence_20054,49.0,sequence_19486,54.2,0.0023474962229129,0-0-2-1-7
693,sequence_20054,49.0,sequence_19485,58.0,0.0018693615778833,0-0-2-1-7
561,sequence_20054,49.0,sequence_19504,50.6,0.0048969157024428,0-0-2-1-7
671,sequence_20054,49.0,sequence_19454,43.1,0.0022935661664865,0-0-2-1-7
228,sequence_53082,55.0,sequence_19351,60.9,0.0124228621156203,2-1-1-0-18
72,sequence_53082,55.0,sequence_19439,49.5,0.010010098273593,2-1-1-0-18
221,sequence_53082,55.0,sequence_19461,61.2,0.0088184550960169,2-1-1-0-18
