,id_seq1,target_seq1,id_seq2,target_seq2,distance,profile
51,sequence_40826,539,sequence_40803,549,0.003132213082826,1-0-0-0-0
48,sequence_40826,539,sequence_40825,532,1.990389737027698e-06,1-0-0-0-0
66,sequence_40826,539,sequence_40832,555,0.0025765903191826,1-0-0-0-0
47,sequence_40826,539,sequence_40824,523,0.0029380512771824,1-0-0-0-0
49,sequence_40826,539,sequence_40797,558,0.003947618808766,1-0-0-0-0
4,sequence_40826,539,sequence_40807,528,0.0001643613304562,1-0-0-0-0
14,sequence_40826,539,sequence_40842,522,0.0055240646050006,1-0-0-0-0
6,sequence_40826,539,sequence_40811,534,0.0047181006148329,1-0-0-0-0
64,sequence_40826,539,sequence_40823,546,0.0051608896601186,1-0-0-0-0
54,sequence_40826,539,sequence_40864,549,0.0011555731864041,1-0-0-0-0
3,sequence_40826,539,sequence_40806,525,0.0055164442485331,1-0-0-0-0
53,sequence_40826,539,sequence_40805,564,0.0016446654560383,1-0-0-0-0
44,sequence_40826,539,sequence_40839,538,0.0005104730885754,1-0-0-0-0
52,sequence_40826,539,sequence_40804,561,0.0009866211701573,1-0-0-0-0
43,sequence_40826,539,sequence_40860,535,0.0009828014111082,1-0-0-0-0
46,sequence_40826,539,sequence_40819,532,0.0015781737824284,1-0-0-0-0
67,sequence_40826,539,sequence_40833,549,0.0004439422618746,1-0-0-0-0
55,sequence_40826,539,sequence_40808,543,5.968137870215884e-05,1-0-0-0-0
63,sequence_40826,539,sequence_40822,549,0.0111738166016082,1-0-0-0-0
1,sequence_40826,539,sequence_40789,510,0.000638707835206,1-0-0-0-0
7,sequence_40826,539,sequence_40813,528,0.0001111922143297,1-0-0-0-0
65,sequence_40826,539,sequence_40834,546,0.0123032109032784,1-0-0-0-0
56,sequence_40826,539,sequence_40810,549,0.0050506224822124,1-0-0-0-0
16,sequence_40826,539,sequence_40838,531,0.0017243241504346,1-0-0-0-0
5,sequence_40826,539,sequence_40809,528,0.0011499200107373,1-0-0-0-0
18,sequence_40826,539,sequence_40817,528,0.0005075814803221,1-0-0-0-0
50,sequence_40826,539,sequence_40800,558,0.000446411170369,1-0-0-0-0
10,sequence_40826,539,sequence_40855,522,0.0005374214774375,1-0-0-0-0
8,sequence_40826,539,sequence_40814,510,0.0135507169227082,1-0-0-0-1
11,sequence_40826,539,sequence_40857,522,0.0077747615185865,1-0-0-0-1
9,sequence_40826,539,sequence_40845,495,0.0073350153169932,1-0-0-0-1
17,sequence_40826,539,sequence_40816,531,0.0321727677991949,1-0-0-0-2
19,sequence_40826,539,sequence_40818,522,0.0460530660752465,1-0-0-0-2
34,sequence_40826,539,sequence_40861,464,0.0623651690542036,0-1-1-1-5
36,sequence_40826,539,sequence_40854,465,0.0632330908536854,0-1-1-1-5
30,sequence_40826,539,sequence_40843,495,0.0551562338083897,0-1-1-1-5
37,sequence_40826,539,sequence_40853,463,0.0732453923979424,0-1-1-1-5
40,sequence_40826,539,sequence_40850,462,0.0618196992002714,0-1-1-1-5
28,sequence_40826,539,sequence_40858,495,0.0616747788543611,0-1-1-1-5
35,sequence_40826,539,sequence_40812,464,0.072916862308913,0-1-1-1-5
29,sequence_40826,539,sequence_40852,474,0.0618248679025696,0-1-1-1-5
24,sequence_40826,539,sequence_40856,498,0.0557221208433339,0-1-1-1-5
25,sequence_40826,539,sequence_40815,498,0.066858128101229,0-1-1-1-5
38,sequence_40826,539,sequence_40848,461,0.0639631269174901,0-1-1-1-5
39,sequence_40826,539,sequence_40849,464,0.0650557102417065,0-1-1-1-5
27,sequence_40826,539,sequence_40847,486,0.0612849505708292,0-1-1-1-5
13,sequence_40826,539,sequence_40841,528,0.000906705304852,0-0-0-0-0
12,sequence_40826,539,sequence_40840,528,0.001621953255489,0-0-0-0-0
69,sequence_40826,539,sequence_40798,579,0.0080297718878667,0-0-0-0-11
20,sequence_40826,539,sequence_40827,525,0.0020825646828547,0-0-0-0-11
76,sequence_40826,539,sequence_40866,620,0.0105697736742967,0-0-0-0-11
77,sequence_40826,539,sequence_40799,597,0.0124986013749759,0-0-0-0-11
68,sequence_40826,539,sequence_40830,558,0.0044135956889502,0-0-0-0-11
78,sequence_40826,539,sequence_40788,510,0.0086351795871363,0-0-0-0-11
70,sequence_40826,539,sequence_40865,580,0.0053804257550958,0-0-0-0-11
21,sequence_40826,539,sequence_40828,519,0.0075293952780927,0-0-0-0-11
72,sequence_40826,539,sequence_40801,561,0.004741040372462,0-0-0-0-11
73,sequence_40826,539,sequence_40802,560,0.0129556594995609,1-0-0-0-9
57,sequence_40826,539,sequence_40862,546,0.0125519883360666,1-0-0-0-9
62,sequence_40826,539,sequence_40821,549,0.014658436242524,1-0-0-0-12
61,sequence_40826,539,sequence_40820,543,0.0123066739224206,1-0-0-0-12
75,sequence_40826,539,sequence_40795,562,0.0199643660217399,1-0-0-0-12
74,sequence_40826,539,sequence_40796,567,0.025140051555719,1-0-0-0-12
71,sequence_40826,539,sequence_40863,566,0.0166307573608316,1-0-0-0-12
22,sequence_40826,539,sequence_40829,528,0.0261421659347786,1-0-0-0-3
