id_seq1,target_seq1,id_seq2,target_seq2,distance
sequence_53082,55.0,sequence_19402,43.0,2497.8860000000004
sequence_53082,55.0,sequence_20054,49.0,2551.2996
sequence_53082,55.0,sequence_20048,39.8,2271.7754000000004
sequence_53082,55.0,sequence_20036,52.9,2195.9154
sequence_53082,55.0,sequence_19525,48.8,2103.1297000000004
sequence_53082,55.0,sequence_20061,45.0,2439.1698
sequence_53082,55.0,sequence_19496,48.3,2074.4371
sequence_53082,55.0,sequence_19477,61.5,2219.3001
sequence_53082,55.0,sequence_19363,54.6,2247.0355
sequence_53082,55.0,sequence_19500,51.2,2212.3558
sequence_53082,55.0,sequence_19453,47.3,2035.6656
sequence_53082,55.0,sequence_53075,51.6,2395.5384000000004
sequence_53082,55.0,sequence_19522,45.4,2704.1809000000003
sequence_53082,55.0,sequence_19523,50.8,2566.5567
sequence_53082,55.0,sequence_53078,43.3,2435.4096
sequence_53082,55.0,sequence_20069,53.4,1923.2872
sequence_53082,55.0,sequence_53062,49.1,1864.1467
sequence_53082,55.0,sequence_20060,52.6,2567.4555
sequence_53082,55.0,sequence_53066,39.2,2264.2668
sequence_53082,55.0,sequence_19417,47.9,2140.3151
sequence_53082,55.0,sequence_19391,46.8,2295.0517999999997
sequence_53082,55.0,sequence_19447,51.0,2431.5616
sequence_53082,55.0,sequence_53079,47.8,2170.6971
sequence_53082,55.0,sequence_20042,49.4,1990.4125
sequence_53082,55.0,sequence_19419,53.3,2045.1976
sequence_53082,55.0,sequence_19425,56.9,2378.1407
sequence_53082,55.0,sequence_19450,46.0,2524.272
sequence_53082,55.0,sequence_53085,51.2,1959.0527
sequence_53082,55.0,sequence_19509,50.6,2118.9318999999996
sequence_53082,55.0,sequence_53059,47.1,2112.6879
sequence_53082,55.0,sequence_19430,45.7,2347.514
sequence_53082,55.0,sequence_20052,42.9,1953.9994
sequence_53082,55.0,sequence_19369,47.9,1803.3292
sequence_53082,55.0,sequence_53064,48.4,2205.37
sequence_53082,55.0,sequence_20072,48.7,2405.7137
sequence_53082,55.0,sequence_20038,49.1,2058.7379
sequence_53082,55.0,sequence_20039,52.6,1892.3351
sequence_53082,55.0,sequence_19506,49.3,2076.0856000000003
sequence_53082,55.0,sequence_20064,47.3,1844.4607999999998
sequence_53082,55.0,sequence_19530,45.6,2307.776
sequence_53082,55.0,sequence_19498,63.2,2173.9006
sequence_53082,55.0,sequence_19504,50.6,1909.5447
sequence_53082,55.0,sequence_19386,50.7,2352.9008999999996
sequence_53082,55.0,sequence_19519,50.3,2247.6958999999997
sequence_53082,55.0,sequence_19404,51.3,1810.8558
sequence_53082,55.0,sequence_19446,39.5,2902.3461000000007
sequence_53082,55.0,sequence_20063,48.9,2204.772
sequence_53082,55.0,sequence_20043,46.6,1892.7296
sequence_53082,55.0,sequence_19497,54.9,2332.3274
sequence_53082,55.0,sequence_19490,52.9,2247.67
sequence_53082,55.0,sequence_19376,53.0,2162.5786
sequence_53082,55.0,sequence_19406,53.8,2095.0854999999997
sequence_53082,55.0,sequence_19405,48.7,2075.6301000000003
sequence_53082,55.0,sequence_19382,52.0,2290.7133
sequence_53082,55.0,sequence_20067,50.8,2129.0696
sequence_53082,55.0,sequence_19409,51.1,2452.6606
sequence_53082,55.0,sequence_19354,60.0,2052.3374999999996
sequence_53082,55.0,sequence_20040,47.2,1978.9821000000002
sequence_53082,55.0,sequence_19370,51.7,2264.2947999999997
sequence_53082,55.0,sequence_19432,51.0,2120.1914
sequence_53082,55.0,sequence_19371,49.0,2078.0078
sequence_53082,55.0,sequence_19434,48.0,2161.0728
sequence_53082,55.0,sequence_19505,42.4,2247.6803
sequence_53082,55.0,sequence_53070,45.7,2050.3315000000002
sequence_53082,55.0,sequence_19392,50.5,1951.3773
sequence_53082,55.0,sequence_19357,58.5,2160.4930000000004
sequence_53082,55.0,sequence_20056,56.9,1719.6510999999998
sequence_53082,55.0,sequence_19526,49.3,2024.9916
sequence_53082,55.0,sequence_20046,47.4,1924.7382
sequence_53082,55.0,sequence_19443,48.0,2666.4527
sequence_53082,55.0,sequence_19410,49.9,2385.3364
sequence_53082,55.0,sequence_19390,46.3,2653.4959
sequence_53082,55.0,sequence_19439,49.5,2460.5600999999997
sequence_53082,55.0,sequence_20071,44.9,2047.9458
sequence_53082,55.0,sequence_19451,51.0,2433.8656
sequence_53082,55.0,sequence_20041,48.5,1914.86
sequence_53082,55.0,sequence_19415,52.8,2371.7605999999996
sequence_53082,55.0,sequence_20035,52.5,2085.1209
sequence_53082,55.0,sequence_20051,42.5,1977.8768000000002
sequence_53082,55.0,sequence_19397,49.6,1947.6088
sequence_53082,55.0,sequence_19394,45.4,2148.6099
sequence_53082,55.0,sequence_19374,50.7,2301.7208
sequence_53082,55.0,sequence_19378,52.4,1936.0060999999998
sequence_53082,55.0,sequence_19441,49.0,2662.2023
sequence_53082,55.0,sequence_19433,50.1,2397.0594
sequence_53082,55.0,sequence_20062,57.9,2334.1997
sequence_53082,55.0,sequence_19393,53.7,1929.2854
sequence_53082,55.0,sequence_20065,46.5,2005.8188000000002
sequence_53082,55.0,sequence_19383,50.5,2431.0195000000003
sequence_53082,55.0,sequence_19422,46.6,2402.6270999999997
sequence_53082,55.0,sequence_19495,58.9,2000.6267999999998
sequence_53082,55.0,sequence_19431,50.5,2422.4187999999995
sequence_53082,55.0,sequence_20058,54.9,1900.5731
sequence_53082,55.0,sequence_19488,51.3,2123.2327000000005
sequence_53082,55.0,sequence_19375,49.9,1919.3150999999998
sequence_53082,55.0,sequence_19511,62.4,1801.4115000000002
sequence_53082,55.0,sequence_53065,44.8,1945.9022999999997
sequence_53082,55.0,sequence_53074,48.3,2112.6634
sequence_53082,55.0,sequence_20050,47.9,1903.8067
sequence_53082,55.0,sequence_19515,50.4,2076.8630999999996
sequence_53082,55.0,sequence_20057,51.9,1986.7923999999998
sequence_53082,55.0,sequence_19438,56.1,2537.8835
sequence_53082,55.0,sequence_19486,54.2,1967.7029
sequence_53082,55.0,sequence_19389,44.0,2708.559
sequence_53082,55.0,sequence_19468,54.8,2047.7462999999998
sequence_53082,55.0,sequence_20068,50.6,2277.8545
sequence_53082,55.0,sequence_19420,40.6,1880.3318000000002
sequence_53082,55.0,sequence_20076,55.7,2500.1472999999996
sequence_53082,55.0,sequence_20070,51.8,2019.7431000000001
sequence_53082,55.0,sequence_19399,47.5,2210.1090999999997
sequence_53082,55.0,sequence_19436,46.4,2357.719
