,secuencia,K-means-2,K-means-3,K-means-4,K-means-5,K-means-6,K-means-7,K-means-8,K-means-9,K-means-10,K-means-11,K-means-12,K-means-13,K-means-14,K-means-15,K-means-16,K-means-17,K-means-18,K-means-19,K-means-20,K-means-21,K-means-22,K-means-23,K-means-24,K-means-25,K-means-26,K-means-27,K-means-28,K-means-29
0,sequence_53082,1,1,1,1,4,0,1,1,0,6,8,4,12,9,1,9,1,7,9,3,5,9,0,3,11,14,10,24
1,sequence_19402,0,0,0,0,0,4,0,5,9,8,9,8,9,6,3,8,3,2,3,0,21,4,22,24,18,3,13,21
2,sequence_20054,0,2,2,2,5,1,7,7,2,4,4,5,13,8,9,5,11,10,7,16,2,16,11,14,8,25,23,2
3,sequence_20048,0,0,0,2,5,1,7,6,8,4,11,6,13,5,11,14,7,12,4,7,7,21,13,21,3,16,19,7
4,sequence_20036,0,2,2,2,5,1,7,6,2,7,4,5,5,8,12,5,11,10,7,18,2,16,4,7,8,8,2,2
5,sequence_19525,0,2,2,3,3,2,5,7,5,5,10,0,6,2,0,15,5,6,2,10,12,2,16,13,4,0,8,12
6,sequence_20061,0,2,2,2,5,1,7,6,2,7,4,5,5,8,12,5,11,10,7,18,16,16,4,7,8,8,2,16
7,sequence_19496,0,2,2,3,3,3,3,0,7,2,10,7,6,2,0,15,17,0,6,10,8,2,15,19,7,18,11,8
8,sequence_19477,0,2,2,3,3,3,3,0,7,2,2,7,3,13,10,4,6,0,17,11,18,10,21,10,12,15,9,18
9,sequence_19363,0,0,0,0,0,4,0,5,1,8,3,8,7,0,3,8,8,2,3,0,21,4,22,24,18,3,13,21
10,sequence_19500,0,0,0,0,0,4,2,5,1,8,3,9,7,0,3,7,13,11,12,8,14,17,19,11,10,21,26,14
11,sequence_19453,0,0,3,4,2,6,2,3,3,1,5,3,8,14,13,0,12,4,5,5,13,12,9,16,17,1,17,13
12,sequence_53075,0,2,2,2,5,2,5,2,2,9,7,5,5,10,12,5,11,17,13,9,19,22,18,0,2,20,25,19
13,sequence_19522,0,0,0,0,0,4,0,5,9,10,9,2,9,6,7,16,3,12,15,19,0,6,2,2,5,6,0,0
14,sequence_19523,0,2,2,3,3,2,5,7,5,5,10,0,6,2,0,15,5,6,2,10,12,2,16,13,4,0,8,12
15,sequence_53078,0,2,2,2,5,2,5,7,2,9,10,5,6,8,9,5,5,17,13,16,19,22,11,14,4,20,23,2
16,sequence_20069,0,0,0,2,5,1,7,6,8,7,11,6,0,5,11,11,7,8,18,12,7,11,13,9,3,4,6,7
17,sequence_53062,1,1,1,1,1,5,6,4,4,0,0,10,4,1,5,6,15,18,0,17,1,7,8,18,22,14,20,26
18,sequence_20060,0,2,2,2,5,1,7,6,2,7,4,5,5,8,12,5,11,10,7,18,16,16,4,7,8,8,2,16
19,sequence_53066,0,0,0,0,0,4,0,6,9,4,11,11,9,6,7,14,3,12,4,7,0,21,2,21,24,16,19,27
20,sequence_19417,0,0,0,0,0,4,0,5,9,10,9,2,9,6,7,16,3,12,15,19,0,6,2,8,5,6,0,0
21,sequence_19391,0,0,3,4,2,6,4,3,3,1,5,3,8,14,2,10,12,4,19,5,13,20,9,5,17,12,17,23
22,sequence_19447,0,2,2,3,3,3,3,0,7,2,2,7,3,13,10,4,6,0,17,11,18,10,21,10,12,15,9,18
23,sequence_53079,0,0,0,0,0,4,0,5,9,10,9,2,9,6,7,14,3,12,15,7,0,6,2,21,24,16,0,27
24,sequence_20042,0,0,3,2,5,1,7,6,8,4,4,6,13,12,6,5,10,10,4,4,2,3,14,12,23,25,19,22
25,sequence_19419,0,0,3,4,2,6,4,3,3,1,5,3,8,14,13,10,10,4,8,14,6,8,17,16,6,13,16,6
26,sequence_19425,0,0,3,4,2,6,2,8,6,3,1,12,10,3,8,0,14,3,10,6,14,12,19,6,16,1,14,25
27,sequence_19450,0,2,2,3,3,3,3,0,7,2,2,7,3,13,10,4,6,0,17,11,18,10,21,10,12,15,9,18
28,sequence_53085,0,0,3,4,2,6,4,8,6,3,1,11,10,7,8,1,9,9,10,6,17,0,5,6,19,9,22,17
29,sequence_19509,0,2,2,3,3,2,5,7,5,5,10,0,6,2,0,15,5,6,2,10,12,2,16,13,4,0,8,12
30,sequence_53059,0,2,2,2,5,2,5,7,2,9,4,5,13,8,9,5,5,17,13,16,19,22,11,14,4,20,23,2
31,sequence_19430,0,0,3,4,2,6,4,3,3,1,5,3,8,14,13,10,10,4,8,14,13,8,5,16,6,12,16,13
32,sequence_20052,0,2,2,2,5,1,7,7,2,4,4,5,13,8,9,5,11,10,7,16,2,16,11,14,8,25,23,2
33,sequence_19369,1,1,1,1,1,5,6,4,4,0,6,1,1,11,14,2,15,1,14,2,15,14,20,20,9,24,21,15
34,sequence_53064,0,0,0,0,0,4,0,6,8,9,11,11,0,5,11,14,8,8,18,7,11,21,13,21,24,16,6,27
35,sequence_20072,0,2,2,2,5,3,7,0,2,7,2,5,5,13,12,4,16,5,17,18,16,16,4,7,12,8,18,16
36,sequence_20038,0,0,0,2,5,1,7,6,8,7,11,6,0,5,11,11,16,8,18,12,16,4,13,9,3,4,18,16
37,sequence_20039,0,0,3,2,5,1,7,6,8,7,11,6,0,12,6,11,7,8,18,4,7,3,14,12,23,4,22,22
38,sequence_19506,0,0,0,0,0,4,0,5,9,10,9,2,9,6,7,16,3,12,15,19,0,6,2,2,5,6,0,0
39,sequence_20064,1,1,1,1,1,5,6,4,4,0,0,10,4,4,5,12,4,13,11,17,1,7,8,18,13,17,5,26
40,sequence_19530,0,0,0,0,0,4,0,5,9,10,9,8,9,6,7,8,3,2,3,0,21,4,22,24,18,3,13,21
41,sequence_19498,0,2,2,3,3,2,5,2,5,5,7,0,11,10,4,3,0,15,16,1,9,13,3,4,2,11,25,9
42,sequence_19504,1,1,1,1,1,5,6,4,4,0,6,10,1,11,14,12,4,16,14,2,15,1,7,1,14,23,15,15
43,sequence_19386,0,0,0,0,0,4,0,5,1,8,3,8,7,0,3,8,8,2,3,0,21,4,22,24,18,3,13,21
44,sequence_19519,0,0,0,0,0,4,2,5,1,8,3,8,7,0,3,8,13,11,5,8,14,17,19,11,10,21,26,14
45,sequence_19404,1,1,1,1,1,5,6,4,4,0,6,1,1,11,14,2,15,1,14,2,15,1,23,20,1,24,21,15
46,sequence_19446,0,0,0,0,0,4,0,5,9,10,9,2,9,6,7,16,3,12,15,19,0,6,2,8,21,6,0,0
47,sequence_20063,0,0,0,2,5,1,7,6,8,7,11,6,0,5,11,11,7,8,18,12,7,11,13,9,3,4,6,7
48,sequence_20043,1,1,1,1,1,5,6,4,4,0,6,1,1,11,5,6,15,1,11,13,10,19,23,20,1,24,12,10
49,sequence_19497,0,0,3,4,2,6,4,8,6,3,1,12,10,3,8,1,2,9,1,15,4,0,6,22,0,26,3,4
50,sequence_19490,0,0,0,0,0,4,0,5,9,10,9,2,9,6,7,16,3,12,15,19,0,6,2,2,5,6,0,0
51,sequence_19376,0,0,3,4,2,6,4,3,3,1,5,3,8,14,2,10,10,4,8,14,6,8,17,5,6,12,16,6
