,id_seq1,target_seq1,id_seq2,target_seq2,distance,profile
4,sequence_47787,5.0,sequence_47777,11.0,0.0025516527894497,1-3-0-0-2
41,sequence_47787,5.0,sequence_47806,73.0,0.0030813565335808,1-3-0-0-2
71,sequence_47787,5.0,sequence_47769,25.0,0.0029529758831425,1-3-0-0-2
19,sequence_47787,5.0,sequence_47785,25.0,0.0013926060110464,1-3-0-0-2
102,sequence_47787,5.0,sequence_47725,57.0,0.0028298950896561,1-3-0-0-2
28,sequence_47787,5.0,sequence_47768,17.0,0.0029500050294181,1-3-0-0-2
43,sequence_47787,5.0,sequence_47804,23.0,0.0020547677308062,1-3-0-0-2
17,sequence_47787,5.0,sequence_47778,26.0,0.0025549626502285,1-3-0-0-2
67,sequence_47787,5.0,sequence_47774,21.0,0.0021309523377387,1-3-0-0-2
42,sequence_47787,5.0,sequence_47807,42.0,0.0025632207985986,1-3-0-0-2
44,sequence_47787,5.0,sequence_47800,20.0,0.0030972743003501,1-3-0-0-2
3,sequence_47787,5.0,sequence_47781,12.0,0.0027691283777513,1-3-0-0-2
83,sequence_47787,5.0,sequence_47708,111.0,0.0044706034090343,2-3-0-0-5
58,sequence_47787,5.0,sequence_47743,63.0,0.0042264795206219,2-3-0-0-5
130,sequence_47787,5.0,sequence_47674,38.0,0.0038022798011955,2-3-0-0-5
60,sequence_47787,5.0,sequence_47745,83.0,0.0041207411253996,2-3-0-0-5
133,sequence_47787,5.0,sequence_47739,35.0,0.0037931574099139,2-3-0-0-5
70,sequence_47787,5.0,sequence_47738,55.0,0.0037908426583308,2-3-0-0-5
72,sequence_47787,5.0,sequence_47702,69.0,0.0039301484748426,2-3-0-0-5
131,sequence_47787,5.0,sequence_47676,56.0,0.0035473452446845,2-3-0-0-5
94,sequence_47787,5.0,sequence_47764,118.0,0.0045545046995245,2-3-0-0-5
120,sequence_47787,5.0,sequence_47740,158.0,0.0050703199068733,2-3-0-0-5
90,sequence_47787,5.0,sequence_47765,118.0,0.004903851160394,2-3-0-0-5
85,sequence_47787,5.0,sequence_47677,103.0,0.0039830842208987,2-3-0-0-5
34,sequence_47787,5.0,sequence_47700,65.0,0.0036723131633579,2-3-0-0-5
89,sequence_47787,5.0,sequence_47762,127.0,0.0046685061394927,2-3-0-0-5
82,sequence_47787,5.0,sequence_47704,98.0,0.0041100368670464,2-3-0-0-5
69,sequence_47787,5.0,sequence_47713,51.0,0.0048168712031344,2-3-0-0-5
93,sequence_47787,5.0,sequence_47761,120.0,0.0044349762347072,2-3-0-0-5
121,sequence_47787,5.0,sequence_47742,108.0,0.0037931574099139,2-3-0-0-5
88,sequence_47787,5.0,sequence_47707,79.0,0.0040343572464325,2-3-0-0-5
92,sequence_47787,5.0,sequence_47812,121.0,0.0035273434232914,2-3-0-0-5
64,sequence_47787,5.0,sequence_47744,69.0,0.0029850424748854,2-3-0-0-5
117,sequence_47787,5.0,sequence_47746,94.0,0.004379133172239,2-3-0-0-5
87,sequence_47787,5.0,sequence_47703,95.0,0.0036746389718835,2-3-0-0-5
33,sequence_47787,5.0,sequence_47673,65.5,0.0035449165864389,2-3-0-0-5
124,sequence_47787,5.0,sequence_47717,66.0,0.0041715357972391,2-3-0-0-5
78,sequence_47787,5.0,sequence_47706,77.0,0.0040625395731742,2-3-0-0-5
77,sequence_47787,5.0,sequence_47701,63.0,0.0037024801833089,2-3-0-0-5
57,sequence_47787,5.0,sequence_47741,102.0,0.0037908426583308,0-3-0-0-5
123,sequence_47787,5.0,sequence_47718,81.0,0.0029171208437243,0-3-0-0-5
