,id_seq1,target_seq1,id_seq2,target_seq2,distance,profile
255,sequence_53082,55.0,sequence_19347,58.9,1626.1826,0-0-1-1-31
515,sequence_19402,43.0,sequence_19347,58.9,14571.8581,0-0-1-1-31
775,sequence_20054,49.0,sequence_19347,58.9,16500.581,0-0-1-1-31
95,sequence_53082,55.0,sequence_19511,62.4,5288.5398000000005,0-0-1-1-27
208,sequence_53082,55.0,sequence_19459,59.2,5607.398700000001,0-0-1-1-27
221,sequence_53082,55.0,sequence_19461,61.2,4688.1007,0-0-1-1-27
213,sequence_53082,55.0,sequence_19463,62.7,5659.8121,0-0-1-1-27
141,sequence_53082,55.0,sequence_19512,54.4,5739.9211000000005,0-0-1-1-27
355,sequence_19402,43.0,sequence_19511,62.4,14910.405900000002,0-0-1-1-27
468,sequence_19402,43.0,sequence_19459,59.2,14813.732200000002,0-0-1-1-27
481,sequence_19402,43.0,sequence_19461,61.2,14594.662800000002,0-0-1-1-27
473,sequence_19402,43.0,sequence_19463,62.7,14853.705999999998,0-0-1-1-27
401,sequence_19402,43.0,sequence_19512,54.4,15109.8278,0-0-1-1-27
615,sequence_20054,49.0,sequence_19511,62.4,16417.1056,0-0-1-1-27
728,sequence_20054,49.0,sequence_19459,59.2,16098.2467,0-0-1-1-27
741,sequence_20054,49.0,sequence_19461,61.2,16091.4661,0-0-1-1-27
733,sequence_20054,49.0,sequence_19463,62.7,16080.8421,0-0-1-1-27
661,sequence_20054,49.0,sequence_19512,54.4,16316.7609,0-0-1-1-27
112,sequence_53082,55.0,sequence_19445,45.5,8047.8657,2-0-1-1-6
125,sequence_53082,55.0,sequence_19429,50.9,7905.6096,2-0-1-1-6
32,sequence_53082,55.0,sequence_19369,47.9,7240.717500000001,2-0-1-1-6
167,sequence_53082,55.0,sequence_53076,46.3,5288.4304,2-0-1-1-6
176,sequence_53082,55.0,sequence_19484,52.0,6966.8649000000005,2-0-1-1-6
58,sequence_53082,55.0,sequence_19370,51.7,8307.883000000002,2-0-1-1-6
41,sequence_53082,55.0,sequence_19504,50.6,7136.8113,2-0-1-1-6
