id_seq1,target_seq1,id_seq2,target_seq2,distance
sequence_53082,55.0,sequence_19402,43.0,0.005209196373829661
sequence_53082,55.0,sequence_20054,49.0,0.004713360862733662
sequence_53082,55.0,sequence_20048,39.8,0.004374466624316509
sequence_53082,55.0,sequence_20036,52.9,0.0019178977599753066
sequence_53082,55.0,sequence_19525,48.8,0.004866271685570078
sequence_53082,55.0,sequence_20061,45.0,0.001232282208260993
sequence_53082,55.0,sequence_19496,48.3,0.004500706476053273
sequence_53082,55.0,sequence_19477,61.5,0.0026572449903427
sequence_53082,55.0,sequence_19363,54.6,0.0032687981956529555
sequence_53082,55.0,sequence_19500,51.2,0.004777514939116934
sequence_53082,55.0,sequence_19453,47.3,0.004804805719080374
sequence_53082,55.0,sequence_53075,51.6,0.0011267883788423916
sequence_53082,55.0,sequence_19522,45.4,0.004803746528818986
sequence_53082,55.0,sequence_19523,50.8,0.004814386181208219
sequence_53082,55.0,sequence_53078,43.3,0.003460439377307334
sequence_53082,55.0,sequence_20069,53.4,0.0020901611899759587
sequence_53082,55.0,sequence_53062,49.1,0.0014425573814875747
sequence_53082,55.0,sequence_20060,52.6,0.00146245707738335
sequence_53082,55.0,sequence_53066,39.2,0.003576581796704059
sequence_53082,55.0,sequence_19417,47.9,0.004749375015934532
sequence_53082,55.0,sequence_19391,46.8,0.004620872358200079
sequence_53082,55.0,sequence_19447,51.0,0.0029845317731794774
sequence_53082,55.0,sequence_53079,47.8,0.003325390389244509
sequence_53082,55.0,sequence_20042,49.4,0.0036527306940902227
sequence_53082,55.0,sequence_19419,53.3,0.004460942003410295
sequence_53082,55.0,sequence_19425,56.9,0.0018216131009057834
sequence_53082,55.0,sequence_19450,46.0,0.0030105370369648554
sequence_53082,55.0,sequence_53085,51.2,0.0005542575306421993
sequence_53082,55.0,sequence_19509,50.6,0.004645431666488009
sequence_53082,55.0,sequence_53059,47.1,0.0034996770837789626
sequence_53082,55.0,sequence_19430,45.7,0.005112778548734709
sequence_53082,55.0,sequence_20052,42.9,0.003778449275154805
sequence_53082,55.0,sequence_19369,47.9,0.004470089350666173
sequence_53082,55.0,sequence_53064,48.4,0.0018599512120364148
sequence_53082,55.0,sequence_20072,48.7,0.0019392979962061796
sequence_53082,55.0,sequence_20038,49.1,0.0026331843225265716
sequence_53082,55.0,sequence_20039,52.6,0.0017867584433559625
sequence_53082,55.0,sequence_19506,49.3,0.004982106404825326
sequence_53082,55.0,sequence_20064,47.3,0.004084310175388461
sequence_53082,55.0,sequence_19530,45.6,0.004458546000566499
sequence_53082,55.0,sequence_19498,63.2,0.002618326888985223
sequence_53082,55.0,sequence_19504,50.6,0.00493865242896363
sequence_53082,55.0,sequence_19386,50.7,0.0032900245414499985
sequence_53082,55.0,sequence_19519,50.3,0.002256176554795042
sequence_53082,55.0,sequence_19404,51.3,0.002669992065360005
sequence_53082,55.0,sequence_19446,39.5,0.005082260968314545
sequence_53082,55.0,sequence_20063,48.9,0.0017349358450667873
sequence_53082,55.0,sequence_20043,46.6,0.0022185419271820717
sequence_53082,55.0,sequence_19497,54.9,0.005691502187018083
sequence_53082,55.0,sequence_19490,52.9,0.0046534762057206525
sequence_53082,55.0,sequence_19376,53.0,0.003970423735642492
sequence_53082,55.0,sequence_19406,53.8,0.0030315518722057178
sequence_53082,55.0,sequence_19405,48.7,0.0030828234783879527
sequence_53082,55.0,sequence_19382,52.0,0.0026980107516241247
sequence_53082,55.0,sequence_20067,50.8,0.005201200800742933
sequence_53082,55.0,sequence_19409,51.1,0.0020938314900142974
sequence_53082,55.0,sequence_19354,60.0,0.0030460469606743423
sequence_53082,55.0,sequence_20040,47.2,0.004099728833273808
sequence_53082,55.0,sequence_19370,51.7,0.004625914388626584
sequence_53082,55.0,sequence_19432,51.0,0.005380044558150221
sequence_53082,55.0,sequence_19371,49.0,0.005057105681738228
sequence_53082,55.0,sequence_19434,48.0,0.005156101769222321
sequence_53082,55.0,sequence_19505,42.4,0.005150827608890851
sequence_53082,55.0,sequence_53070,45.7,0.003511400231585804
sequence_53082,55.0,sequence_19392,50.5,0.004568952314206953
sequence_53082,55.0,sequence_19357,58.5,0.002627689490690255
sequence_53082,55.0,sequence_20056,56.9,0.001322013230787289
sequence_53082,55.0,sequence_19526,49.3,0.004360898508133704
sequence_53082,55.0,sequence_20046,47.4,0.0018004073093519368
sequence_53082,55.0,sequence_19443,48.0,0.002446369181546393
sequence_53082,55.0,sequence_19410,49.9,0.0027226590737505774
sequence_53082,55.0,sequence_19390,46.3,0.004306706911652913
sequence_53082,55.0,sequence_19439,49.5,0.002565475988894117
sequence_53082,55.0,sequence_20071,44.9,0.0015341734586391542
sequence_53082,55.0,sequence_19451,51.0,0.002436444305790597
sequence_53082,55.0,sequence_20041,48.5,0.004079083630631586
sequence_53082,55.0,sequence_19415,52.8,0.0027352528536735976
sequence_53082,55.0,sequence_20035,52.5,0.0017269811311821925
sequence_53082,55.0,sequence_20051,42.5,0.003947239814987458
sequence_53082,55.0,sequence_19397,49.6,0.004568192010554251
sequence_53082,55.0,sequence_19394,45.4,0.004822567655882959
sequence_53082,55.0,sequence_19374,50.7,0.004248251065823827
sequence_53082,55.0,sequence_19378,52.4,0.004459822224608834
sequence_53082,55.0,sequence_19441,49.0,0.0025516506033833597
sequence_53082,55.0,sequence_19433,50.1,0.005022513393775907
sequence_53082,55.0,sequence_20062,57.9,0.001509128584524011
sequence_53082,55.0,sequence_19393,53.7,0.00488981517459286
sequence_53082,55.0,sequence_20065,46.5,0.004237984576439757
sequence_53082,55.0,sequence_19383,50.5,0.0024924581974757887
sequence_53082,55.0,sequence_19422,46.6,0.004202013612072952
sequence_53082,55.0,sequence_19495,58.9,0.004520072795566099
sequence_53082,55.0,sequence_19431,50.5,0.004999161262247531
sequence_53082,55.0,sequence_20058,54.9,0.002085364837896675
sequence_53082,55.0,sequence_19488,51.3,0.0045968734403919465
sequence_53082,55.0,sequence_19375,49.9,0.004796582593617038
sequence_53082,55.0,sequence_19511,62.4,0.0024140219965079757
sequence_53082,55.0,sequence_53065,44.8,0.0016067241201123128
sequence_53082,55.0,sequence_53074,48.3,0.001236975297803089
sequence_53082,55.0,sequence_20050,47.9,0.002283062192396046
sequence_53082,55.0,sequence_19515,50.4,0.002673803445042422
sequence_53082,55.0,sequence_20057,51.9,0.0018040634606307782
sequence_53082,55.0,sequence_19438,56.1,0.003199638304757446
sequence_53082,55.0,sequence_19486,54.2,0.004949039975660541
sequence_53082,55.0,sequence_19389,44.0,0.004533748972806229
sequence_53082,55.0,sequence_19468,54.8,0.002550968361962669
sequence_53082,55.0,sequence_20068,50.6,0.006652358176449935
sequence_53082,55.0,sequence_19420,40.6,0.004135356530440948
sequence_53082,55.0,sequence_20076,55.7,0.0017047705673715052
sequence_53082,55.0,sequence_20070,51.8,0.0014739004300444725
sequence_53082,55.0,sequence_19399,47.5,0.00450817524186109
sequence_53082,55.0,sequence_19436,46.4,0.004671103446572622
sequence_53082,55.0,sequence_19492,58.5,0.004124404599230136
sequence_53082,55.0,sequence_19445,45.5,0.0054823873415550395
sequence_53082,55.0,sequence_19403,50.9,0.003195363632903847
sequence_53082,55.0,sequence_19428,49.3,0.002038946916364748
sequence_53082,55.0,sequence_19377,50.3,0.004429227365642774
sequence_53082,55.0,sequence_19427,53.8,0.0030479670708645212
sequence_53082,55.0,sequence_19521,53.0,0.0042498326453968005
sequence_53082,55.0,sequence_20045,48.8,0.0023292165706605417
sequence_53082,55.0,sequence_19412,55.3,0.003125746999968926
sequence_53082,55.0,sequence_19508,49.5,0.004684325343511819
sequence_53082,55.0,sequence_53080,50.4,0.0012992916125336151
sequence_53082,55.0,sequence_20073,51.0,0.0019013882425097384
sequence_53082,55.0,sequence_19442,47.4,0.00233639738926561
sequence_53082,55.0,sequence_53077,43.5,0.0034336081265580187
sequence_53082,55.0,sequence_19429,50.9,0.005283376875395485
sequence_53082,55.0,sequence_19416,49.4,0.0050083934756040005
sequence_53082,55.0,sequence_20055,46.3,0.004474915807069602
sequence_53082,55.0,sequence_19388,48.4,0.00521633142549649
sequence_53082,55.0,sequence_20049,43.9,0.0037514040820055827
sequence_53082,55.0,sequence_20059,52.3,0.00186737341355947
