,id_seq1,target_seq1,id_seq2,target_seq2,distance,profile
255,sequence_53082,55.0,sequence_19347,58.9,1575.773824594472,0-1-1-1-34
253,sequence_53082,55.0,sequence_53099,53.0,1625.2981365524572,0-1-1-1-34
117,sequence_53082,55.0,sequence_19521,53.0,2563.748342499468,0-1-1-1-34
256,sequence_53082,55.0,sequence_19379,50.3,2088.842831882552,0-1-1-1-34
259,sequence_53082,55.0,sequence_19401,47.4,2386.36937215984,0-1-1-1-34
254,sequence_53082,55.0,sequence_53056,52.0,1643.7745724407712,0-1-1-1-34
515,sequence_19402,43.0,sequence_19347,58.9,5000.115241088307,0-1-1-1-34
513,sequence_19402,43.0,sequence_53099,53.0,4984.237307528583,0-1-1-1-34
377,sequence_19402,43.0,sequence_19521,53.0,5092.450065091603,0-1-1-1-34
516,sequence_19402,43.0,sequence_19379,50.3,4808.425022201506,0-1-1-1-34
519,sequence_19402,43.0,sequence_19401,47.4,4667.91782169075,0-1-1-1-34
514,sequence_19402,43.0,sequence_53056,52.0,4978.17443702386,0-1-1-1-34
775,sequence_20054,49.0,sequence_19347,58.9,5139.503327154016,0-1-1-1-34
773,sequence_20054,49.0,sequence_53099,53.0,5106.630539619122,0-1-1-1-34
637,sequence_20054,49.0,sequence_19521,53.0,4943.044850308885,0-1-1-1-34
776,sequence_20054,49.0,sequence_19379,50.3,5146.005966632407,0-1-1-1-34
779,sequence_20054,49.0,sequence_19401,47.4,5202.668703371809,0-1-1-1-34
774,sequence_20054,49.0,sequence_53056,52.0,5041.275732252866,0-1-1-1-34
95,sequence_53082,55.0,sequence_19511,62.4,2970.937111892135,0-1-1-1-30
228,sequence_53082,55.0,sequence_19351,60.9,3296.677671062729,0-1-1-1-30
208,sequence_53082,55.0,sequence_19459,59.2,3103.399644263692,0-1-1-1-30
66,sequence_53082,55.0,sequence_20056,56.9,3121.33666746486,0-1-1-1-30
221,sequence_53082,55.0,sequence_19461,61.2,2929.8339381297724,0-1-1-1-30
213,sequence_53082,55.0,sequence_19463,62.7,3132.6227453850024,0-1-1-1-30
143,sequence_53082,55.0,sequence_53061,50.6,2863.5856017594656,0-1-1-1-30
216,sequence_53082,55.0,sequence_19350,60.1,3268.9214970684325,0-1-1-1-30
141,sequence_53082,55.0,sequence_19512,54.4,3129.669749599172,0-1-1-1-30
355,sequence_19402,43.0,sequence_19511,62.4,4946.2204983541615,0-1-1-1-30
488,sequence_19402,43.0,sequence_19351,60.9,4783.591737959866,0-1-1-1-30
468,sequence_19402,43.0,sequence_19459,59.2,4932.194436956025,0-1-1-1-30
326,sequence_19402,43.0,sequence_20056,56.9,5194.046700761582,0-1-1-1-30
481,sequence_19402,43.0,sequence_19461,61.2,4859.53647432811,0-1-1-1-30
473,sequence_19402,43.0,sequence_19463,62.7,4892.597297699658,0-1-1-1-30
403,sequence_19402,43.0,sequence_53061,50.6,5009.135857865382,0-1-1-1-30
476,sequence_19402,43.0,sequence_19350,60.1,4824.0837017987,0-1-1-1-30
401,sequence_19402,43.0,sequence_19512,54.4,4939.814933778193,0-1-1-1-30
615,sequence_20054,49.0,sequence_19511,62.4,5119.978928510532,0-1-1-1-30
748,sequence_20054,49.0,sequence_19351,60.9,5019.040922994683,0-1-1-1-30
728,sequence_20054,49.0,sequence_19459,59.2,5040.789838824251,0-1-1-1-30
586,sequence_20054,49.0,sequence_20056,56.9,4664.839994705731,0-1-1-1-30
741,sequence_20054,49.0,sequence_19461,61.2,4986.455446057407,0-1-1-1-30
733,sequence_20054,49.0,sequence_19463,62.7,4980.0948774536855,0-1-1-1-30
663,sequence_20054,49.0,sequence_53061,50.6,5091.926960912233,0-1-1-1-30
736,sequence_20054,49.0,sequence_19350,60.1,5079.270518238686,0-1-1-1-30
661,sequence_20054,49.0,sequence_19512,54.4,5075.704132305794,0-1-1-1-30
112,sequence_53082,55.0,sequence_19445,45.5,3611.6196081953913,0-1-1-1-17
125,sequence_53082,55.0,sequence_19429,50.9,3605.5136773766826,0-1-1-1-17
41,sequence_53082,55.0,sequence_19504,50.6,3447.4450985393632,0-1-1-1-17
372,sequence_19402,43.0,sequence_19445,45.5,4904.229215273383,0-1-1-1-17
385,sequence_19402,43.0,sequence_19429,50.9,4976.102720733484,0-1-1-1-17
301,sequence_19402,43.0,sequence_19504,50.6,4853.645775374205,0-1-1-1-17
632,sequence_20054,49.0,sequence_19445,45.5,4724.941847995992,0-1-1-1-17
645,sequence_20054,49.0,sequence_19429,50.9,4649.187173645903,0-1-1-1-17
561,sequence_20054,49.0,sequence_19504,50.6,4846.028678598811,0-1-1-1-17
96,sequence_53082,55.0,sequence_53065,44.8,4764.642461854171,1-0-0-0-24
2,sequence_53082,55.0,sequence_20048,39.8,5192.796122960207,1-0-0-0-24
78,sequence_53082,55.0,sequence_20051,42.5,5159.437188802922,1-0-0-0-24
22,sequence_53082,55.0,sequence_53079,47.8,4861.118924358988,1-0-0-0-24
180,sequence_53082,55.0,sequence_53067,40.9,5000.9270692794,1-0-0-0-24
33,sequence_53082,55.0,sequence_53064,48.4,4761.5952524140885,1-0-0-0-24
18,sequence_53082,55.0,sequence_53066,39.2,4969.9370694004665,1-0-0-0-24
147,sequence_53082,55.0,sequence_53063,44.0,4711.525009270631,1-0-0-0-24
356,sequence_19402,43.0,sequence_53065,44.8,2575.08813033709,1-0-0-0-24
