,id_seq1,target_seq1,id_seq2,target_seq2,distance,profile
255,sequence_53082,55.0,sequence_19347,58.9,0.0517755657648903,2-1-1-1-0-31
515,sequence_19402,43.0,sequence_19347,58.9,0.4818425783290836,2-1-1-1-0-31
775,sequence_20054,49.0,sequence_19347,58.9,0.5827746862630535,2-1-1-1-0-31
95,sequence_53082,55.0,sequence_19511,62.4,0.1752839739333634,2-1-1-1-126-27
355,sequence_19402,43.0,sequence_19511,62.4,0.4880643660279081,2-1-1-1-126-27
615,sequence_20054,49.0,sequence_19511,62.4,0.5719217914096392,2-1-1-1-126-27
112,sequence_53082,55.0,sequence_19445,45.5,0.2594553127818624,1-1-1-1-9-6
372,sequence_19402,43.0,sequence_19445,45.5,0.4806079812709647,1-1-1-1-9-6
632,sequence_20054,49.0,sequence_19445,45.5,0.4942339013962945,1-1-1-1-9-6
228,sequence_53082,55.0,sequence_19351,60.9,0.2173453992979843,1-1-1-1-83-27
488,sequence_19402,43.0,sequence_19351,60.9,0.4559100293800633,1-1-1-1-83-27
748,sequence_20054,49.0,sequence_19351,60.9,0.5617988828350914,1-1-1-1-83-27
96,sequence_53082,55.0,sequence_53065,44.8,0.4511862335979126,0-0-0-0-235-20
356,sequence_19402,43.0,sequence_53065,44.8,0.1319571316304203,0-0-0-0-235-20
616,sequence_20054,49.0,sequence_53065,44.8,0.2775432911763057,0-0-0-0-235-20
153,sequence_53082,55.0,sequence_19426,56.3,0.558006929203114,0-0-0-0-25-7
413,sequence_19402,43.0,sequence_19426,56.3,0.1835700140341569,0-0-0-0-25-7
673,sequence_20054,49.0,sequence_19426,56.3,0.1036114598368074,0-0-0-0-25-7
235,sequence_53082,55.0,sequence_19517,61.6,0.4844109398250705,0-0-0-0-131-26
495,sequence_19402,43.0,sequence_19517,61.6,0.1909406511299944,0-0-0-0-131-26
755,sequence_20054,49.0,sequence_19517,61.6,0.2075884669829222,0-0-0-0-131-26
70,sequence_53082,55.0,sequence_19410,49.9,0.5094889493245741,1-0-0-0-66-4
