,id_seq1,target_seq1,id_seq2,target_seq2,distance,profile
4,sequence_47787,5.0,sequence_47777,11.0,14.135229840093274,1-1-0-0-1
5,sequence_47787,5.0,sequence_47779,11.0,14.13460656286926,1-1-0-0-1
137,sequence_47787,5.0,sequence_47805,22.0,15.358900455928934,1-1-0-0-1
143,sequence_47787,5.0,sequence_47791,4.0,14.543643235007554,1-1-0-0-1
139,sequence_47787,5.0,sequence_47794,18.0,15.157343028482902,1-1-0-0-1
8,sequence_47787,5.0,sequence_47782,17.0,13.213222507488044,1-1-0-0-1
135,sequence_47787,5.0,sequence_47793,16.0,15.101913308612389,1-1-0-0-1
83,sequence_47787,5.0,sequence_47708,111.0,16.658730372247785,1-7-2-2-11
36,sequence_47787,5.0,sequence_47683,75.0,16.75935264213912,1-7-2-2-11
133,sequence_47787,5.0,sequence_47739,35.0,17.695200109828207,1-7-2-2-11
131,sequence_47787,5.0,sequence_47676,56.0,17.677346113590083,1-7-2-2-11
85,sequence_47787,5.0,sequence_47677,103.0,17.408045893427044,1-7-2-2-11
82,sequence_47787,5.0,sequence_47704,98.0,17.667376655985613,1-7-2-2-11
98,sequence_47787,5.0,sequence_47693,64.0,16.827382241641196,1-7-2-2-11
97,sequence_47787,5.0,sequence_47687,92.0,16.202237350634093,1-7-2-2-11
84,sequence_47787,5.0,sequence_47709,119.0,17.903206768904543,1-7-2-2-11
86,sequence_47787,5.0,sequence_47692,87.5,19.6970078752545,1-7-2-2-11
87,sequence_47787,5.0,sequence_47703,95.0,18.02183300110191,1-7-2-2-11
58,sequence_47787,5.0,sequence_47743,63.0,14.917239310303652,0-1-0-0-8
63,sequence_47787,5.0,sequence_47749,81.0,13.641297379727348,0-1-0-0-8
61,sequence_47787,5.0,sequence_47747,72.0,13.005352338827343,0-1-0-0-8
130,sequence_47787,5.0,sequence_47674,38.0,17.550431669294618,1-1-0-0-9
72,sequence_47787,5.0,sequence_47702,69.0,17.019442185839864,1-1-0-0-9
116,sequence_47787,5.0,sequence_47755,100.0,20.68795787264496,1-1-0-0-9
76,sequence_47787,5.0,sequence_47691,40.0,19.267574268408502,1-1-0-0-9
30,sequence_47787,5.0,sequence_47681,44.0,16.250879330250164,1-1-0-0-9
73,sequence_47787,5.0,sequence_47672,76.0,16.634982587480664,1-1-0-0-9
80,sequence_47787,5.0,sequence_47698,56.0,18.83218393875587,1-1-0-0-9
74,sequence_47787,5.0,sequence_47705,71.0,16.855514929151532,1-1-0-0-9
57,sequence_47787,5.0,sequence_47741,102.0,15.489087436013442,2-1-0-0-8
70,sequence_47787,5.0,sequence_47738,55.0,16.339243138537835,2-1-0-0-8
34,sequence_47787,5.0,sequence_47700,65.0,16.377159281075407,2-1-0-0-8
79,sequence_47787,5.0,sequence_47675,57.0,15.920180268044556,2-1-0-0-8
33,sequence_47787,5.0,sequence_47673,65.5,16.328079297491996,2-1-0-0-8
78,sequence_47787,5.0,sequence_47706,77.0,15.618307245944331,2-1-0-0-8
77,sequence_47787,5.0,sequence_47701,63.0,16.381481868633298,2-1-0-0-8
40,sequence_47787,5.0,sequence_47724,48.0,18.805871896735887,1-0-6-6-11
60,sequence_47787,5.0,sequence_47745,83.0,10.836303407609964,1-4-5-5-4
113,sequence_47787,5.0,sequence_47731,32.0,14.486349770523258,1-4-5-5-4
62,sequence_47787,5.0,sequence_47748,79.0,10.491249206130668,1-4-5-5-4
119,sequence_47787,5.0,sequence_47753,74.0,15.616244254125863,1-4-5-5-4
49,sequence_47787,5.0,sequence_47727,45.0,16.43079183544984,0-3-1-1-6
115,sequence_47787,5.0,sequence_47732,30.0,18.505287210892057,0-3-1-1-6
23,sequence_47787,5.0,sequence_47783,24.5,16.361116581929,0-3-1-1-6
112,sequence_47787,5.0,sequence_47662,28.0,17.311803106882294,0-3-1-1-6
110,sequence_47787,5.0,sequence_47734,110.0,19.709486017782456,0-3-1-1-6
111,sequence_47787,5.0,sequence_47811,24.0,16.47767412534226,0-3-1-1-6
54,sequence_47787,5.0,sequence_47797,27.0,18.61731882577798,0-3-1-1-6
51,sequence_47787,5.0,sequence_47775,23.0,16.58108919518019,0-3-1-1-6
109,sequence_47787,5.0,sequence_47726,120.0,17.536788402626577,0-3-1-1-6
50,sequence_47787,5.0,sequence_47756,37.0,16.43716231066671,0-3-1-1-6
47,sequence_47787,5.0,sequence_47666,69.0,14.403136697150892,1-4-5-5-12
48,sequence_47787,5.0,sequence_47671,36.0,14.314897272075356,1-4-5-5-12
117,sequence_47787,5.0,sequence_47746,94.0,12.224199269715356,1-4-5-5-12
107,sequence_47787,5.0,sequence_47661,52.0,14.46023360133598,2-4-5-5-12
114,sequence_47787,5.0,sequence_47733,25.0,14.513878011650586,2-4-5-5-12
105,sequence_47787,5.0,sequence_47670,97.0,14.554706052171808,2-4-5-5-12
46,sequence_47787,5.0,sequence_47664,32.0,13.128322086885394,2-4-5-5-12
104,sequence_47787,5.0,sequence_47668,48.0,14.839014290360035,2-4-5-5-12
106,sequence_47787,5.0,sequence_47665,50.0,16.141869873780877,2-4-5-5-12
103,sequence_47787,5.0,sequence_47669,32.0,13.985129807672402,2-4-5-5-12
101,sequence_47787,5.0,sequence_47714,51.0,22.764366021049337,1-0-6-6-13
128,sequence_47787,5.0,sequence_47723,69.0,21.1809174178724,1-0-6-6-13
102,sequence_47787,5.0,sequence_47725,57.0,21.140708650552877,1-0-6-6-13
134,sequence_47787,5.0,sequence_47735,55.0,24.50885189514157,1-0-6-6-13
129,sequence_47787,5.0,sequence_47722,75.0,21.84722543773244,1-0-6-6-13
123,sequence_47787,5.0,sequence_47718,81.0,21.879488710005216,1-0-6-6-13
100,sequence_47787,5.0,sequence_47712,49.0,21.97619798295976,1-0-6-6-13
132,sequence_47787,5.0,sequence_47711,57.0,20.146468324796015,1-0-6-6-13
122,sequence_47787,5.0,sequence_47715,101.0,19.707242673832216,1-0-6-6-13
145,sequence_47787,5.0,sequence_47729,34.0,7.126789888073734,0-2-3-3-2
59,sequence_47787,5.0,sequence_47752,67.0,20.18696757339341,1-1-0-0-8
28,sequence_47787,5.0,sequence_47768,17.0,14.88124790563618,1-1-0-0-8
64,sequence_47787,5.0,sequence_47744,69.0,17.957156666955807,1-1-0-0-8
55,sequence_47787,5.0,sequence_47798,23.0,16.342260336948947,0-4-1-1-4
144,sequence_47787,5.0,sequence_47788,5.0,5.521302823990985,2-2-3-3-0
136,sequence_47787,5.0,sequence_47801,4.0,3.0837018973090653,2-2-3-3-0
10,sequence_47787,5.0,sequence_47795,7.0,8.26643294126384,2-2-3-3-0
9,sequence_47787,5.0,sequence_47772,12.0,6.741633965410681,2-2-3-3-0
138,sequence_47787,5.0,sequence_47802,4.0,6.333810197630447,2-2-3-3-0
149,sequence_47787,5.0,sequence_47766,4.19,5.5691302509585885,2-2-3-3-0
11,sequence_47787,5.0,sequence_47776,9.0,2.177253139380816,2-2-3-3-0
41,sequence_47787,5.0,sequence_47806,73.0,17.383552999519424,0-7-2-2-5
71,sequence_47787,5.0,sequence_47769,25.0,17.226147922498825,0-7-2-2-5
17,sequence_47787,5.0,sequence_47778,26.0,16.655029489675055,0-7-2-2-5
67,sequence_47787,5.0,sequence_47774,21.0,19.773064095360997,0-7-2-2-5
92,sequence_47787,5.0,sequence_47812,121.0,17.43537713915604,0-7-2-2-5
44,sequence_47787,5.0,sequence_47800,20.0,18.309622796795587,0-7-2-2-5
19,sequence_47787,5.0,sequence_47785,25.0,17.002038805166194,1-7-2-2-5
68,sequence_47787,5.0,sequence_47770,25.0,18.08844532534203,1-7-2-2-5
45,sequence_47787,5.0,sequence_47799,24.0,17.075148637964226,1-7-2-2-5
43,sequence_47787,5.0,sequence_47804,23.0,19.54072017903932,1-7-2-2-5
96,sequence_47787,5.0,sequence_47699,62.0,19.741988009961016,1-7-2-2-5
18,sequence_47787,5.0,sequence_47780,23.0,17.078500579494232,1-7-2-2-5
42,sequence_47787,5.0,sequence_47807,42.0,18.47005014452101,1-7-2-2-5
148,sequence_47787,5.0,sequence_47810,5.57,14.577138125378784,2-6-4-4-14
147,sequence_47787,5.0,sequence_47737,27.0,17.126961210610393,2-6-4-4-14
26,sequence_47787,5.0,sequence_47760,26.0,16.914031240659916,2-6-4-4-14
141,sequence_47787,5.0,sequence_47808,4.0,16.640477634966487,2-6-4-4-14
146,sequence_47787,5.0,sequence_47809,10.0,16.71094164244586,2-6-4-4-14
150,sequence_47787,5.0,sequence_47736,19.0,17.541022352738914,2-6-4-4-14
127,sequence_47787,5.0,sequence_47719,66.0,17.921646332021268,2-0-6-6-13
7,sequence_47787,5.0,sequence_47786,18.0,13.107035523119432,2-1-0-0-1
13,sequence_47787,5.0,sequence_47679,44.0,15.616663239327458,2-1-0-0-1
32,sequence_47787,5.0,sequence_47680,73.0,15.646961252454664,2-1-0-0-1
3,sequence_47787,5.0,sequence_47781,12.0,15.68024714324327,2-1-0-0-1
81,sequence_47787,5.0,sequence_47688,90.0,13.207787665320376,0-4-5-5-4
24,sequence_47787,5.0,sequence_47796,20.0,14.779734437332992,0-4-5-5-4
35,sequence_47787,5.0,sequence_47689,52.0,13.072546606172452,0-4-5-5-4
53,sequence_47787,5.0,sequence_47758,22.0,14.20748917675381,0-4-5-5-4
52,sequence_47787,5.0,sequence_47730,35.0,14.246259164556449,0-4-5-5-4
22,sequence_47787,5.0,sequence_47757,36.0,12.939677113639242,0-4-5-5-4
21,sequence_47787,5.0,sequence_47663,36.0,13.134290741141548,2-4-5-5-4
6,sequence_47787,5.0,sequence_47784,21.0,12.943220425185196,2-4-5-5-4
94,sequence_47787,5.0,sequence_47764,118.0,20.567951564668373,1-0-2-2-10
95,sequence_47787,5.0,sequence_47763,122.0,19.610540476860564,1-0-2-2-10
120,sequence_47787,5.0,sequence_47740,158.0,16.941679445727402,0-7-2-2-11
121,sequence_47787,5.0,sequence_47742,108.0,17.776229692224362,0-7-2-2-11
88,sequence_47787,5.0,sequence_47707,79.0,17.001868093003527,0-7-2-2-11
39,sequence_47787,5.0,sequence_47682,53.0,17.169055343841087,0-7-2-2-11
75,sequence_47787,5.0,sequence_47694,51.0,9.330593366834432,2-2-3-3-2
140,sequence_47787,5.0,sequence_47728,12.0,6.577499982186494,2-2-3-3-2
56,sequence_47787,5.0,sequence_47751,34.0,10.238570852687705,2-2-3-3-2
25,sequence_47787,5.0,sequence_47750,25.0,8.389997671534152,2-2-3-3-2
0,sequence_47787,5.0,sequence_47684,23.0,6.5238796201421785,2-2-3-3-2
12,sequence_47787,5.0,sequence_47685,24.0,8.344442303340443,2-2-3-3-2
15,sequence_47787,5.0,sequence_47710,43.0,7.798212226180968,2-2-3-3-2
31,sequence_47787,5.0,sequence_47696,47.0,8.829208354711678,2-2-3-3-2
14,sequence_47787,5.0,sequence_47695,52.0,6.81285837891409,2-2-3-3-2
37,sequence_47787,5.0,sequence_47697,55.5,10.980512874562326,0-5-7-7-3
2,sequence_47787,5.0,sequence_47790,9.0,9.139184173843148,0-5-7-7-3
27,sequence_47787,5.0,sequence_47773,19.0,12.02882282807813,0-5-7-7-3
20,sequence_47787,5.0,sequence_47803,12.0,10.370793939942212,0-5-7-7-3
1,sequence_47787,5.0,sequence_47789,10.0,9.906484925608297,0-5-7-7-3
16,sequence_47787,5.0,sequence_47686,22.0,10.732327545039109,0-5-7-7-3
90,sequence_47787,5.0,sequence_47765,118.0,18.68253289284104,0-7-2-2-10
89,sequence_47787,5.0,sequence_47762,127.0,17.663003650882935,0-7-2-2-10
93,sequence_47787,5.0,sequence_47761,120.0,18.366427161013217,0-7-2-2-10
91,sequence_47787,5.0,sequence_47767,105.0,18.730953869195808,0-7-2-2-10
126,sequence_47787,5.0,sequence_47716,84.0,19.1294559264848,0-0-6-6-13
124,sequence_47787,5.0,sequence_47717,66.0,19.35386136479677,0-0-6-6-13
99,sequence_47787,5.0,sequence_47690,63.0,15.704070944178646,2-3-1-1-6
69,sequence_47787,5.0,sequence_47713,51.0,19.65577097201809,1-0-6-6-8
125,sequence_47787,5.0,sequence_47720,80.0,16.209946982705276,0-5-1-1-7
118,sequence_47787,5.0,sequence_47754,70.0,17.118219548971542,1-1-5-5-9
65,sequence_47787,5.0,sequence_47721,40.0,14.749235162859549,0-5-7-7-7
66,sequence_47787,5.0,sequence_47759,36.0,13.67639795886078,0-5-7-7-7
38,sequence_47787,5.0,sequence_47678,37.0,12.593705801690742,0-5-7-7-7
29,sequence_47787,5.0,sequence_47771,18.0,11.367559795383592,0-1-0-0-1
108,sequence_47787,5.0,sequence_47667,86.0,16.450722448147566,2-4-1-1-12
142,sequence_47787,5.0,sequence_47792,12.0,5.259913142955725,0-2-3-3-0
