,secuencia,aglomerative-2,aglomerative-3,aglomerative-4,aglomerative-5,aglomerative-6,aglomerative-7,aglomerative-8,aglomerative-9,aglomerative-10,aglomerative-11,aglomerative-12,aglomerative-13,aglomerative-14,aglomerative-15,aglomerative-16,aglomerative-17,aglomerative-18,aglomerative-19,aglomerative-20,aglomerative-21,aglomerative-22,aglomerative-23,aglomerative-24,aglomerative-25,aglomerative-26,aglomerative-27,aglomerative-28,aglomerative-29
0,sequence_51016,1,1,1,0,5,5,5,5,5,5,11,11,11,11,11,5,5,5,5,5,5,5,2,0,3,1,1,0
1,sequence_51170,0,2,0,1,1,1,1,0,1,1,0,4,1,0,15,15,15,15,15,15,15,15,15,15,15,15,15,15
2,sequence_32130,0,0,3,3,3,3,7,7,7,7,7,7,7,7,3,3,3,3,1,0,14,6,6,2,2,2,0,9
3,sequence_51136,0,2,0,4,4,4,4,1,0,2,2,2,2,2,2,0,4,4,4,1,1,1,1,1,0,7,7,7
4,sequence_51191,0,2,0,4,4,4,4,1,0,10,10,10,4,4,4,4,1,1,0,10,10,22,22,22,22,22,22,22
5,sequence_51140,0,2,0,1,1,1,1,0,1,1,0,4,1,0,15,15,15,15,15,15,15,15,15,15,15,15,15,15
6,sequence_51149,0,2,0,1,1,1,1,0,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,4
7,sequence_51181,0,2,0,1,1,1,1,0,1,1,0,4,1,0,15,15,15,15,15,15,15,15,15,15,15,15,15,15
8,sequence_51159,0,2,0,1,1,1,1,0,1,1,0,4,1,0,15,15,15,15,15,15,15,15,15,15,15,15,15,15
9,sequence_51175,0,2,0,1,1,1,1,0,1,1,0,4,1,0,15,15,15,15,15,15,15,15,15,15,15,15,15,15
10,sequence_51174,0,2,0,1,1,1,1,0,1,1,0,4,1,0,15,15,15,15,15,15,15,15,15,15,15,15,15,15
11,sequence_51169,0,2,0,1,1,1,1,0,1,1,0,4,1,0,7,7,7,7,7,7,7,7,7,7,7,3,3,3
12,sequence_51199,0,2,0,1,1,1,1,0,1,1,0,4,1,0,15,15,15,15,15,15,15,15,15,15,15,15,15,15
13,sequence_51144,0,2,0,1,1,1,1,0,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,4
14,sequence_51183,0,2,0,1,1,1,1,0,1,1,0,4,1,0,15,15,15,15,15,15,15,15,15,15,15,15,15,15
15,sequence_51157,0,2,0,1,1,1,1,0,1,1,0,4,1,0,15,15,15,15,15,15,15,15,15,15,15,15,15,15
16,sequence_51163,0,2,0,1,1,1,1,0,1,1,0,4,1,0,15,15,15,15,15,15,15,15,15,15,15,15,15,15
17,sequence_51173,0,2,0,1,1,1,1,0,1,1,0,4,1,0,15,15,15,15,15,15,15,15,15,15,15,15,15,15
18,sequence_51168,0,2,0,1,1,1,1,0,1,1,0,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
19,sequence_51171,0,2,0,1,1,1,1,0,1,1,0,4,1,0,7,7,7,7,7,7,7,7,7,7,7,3,3,3
20,sequence_51182,0,2,0,1,1,1,1,0,1,1,0,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
21,sequence_51131,0,2,0,4,4,4,4,1,0,10,10,10,4,4,4,4,1,1,0,20,20,20,20,20,20,20,20,20
