,id_seq1,target_seq1,id_seq2,target_seq2,distance,profile
51,sequence_40826,539,sequence_40803,549,253.97000000000023,1-17-3-3-0
54,sequence_40826,539,sequence_40864,549,187.7646999999997,1-17-3-3-0
48,sequence_40826,539,sequence_40825,532,206.3780999999999,1-7-28-13-0
8,sequence_40826,539,sequence_40814,510,406.8778000000002,0-10-7-7-1
9,sequence_40826,539,sequence_40845,495,451.7521000000006,0-10-7-7-1
17,sequence_40826,539,sequence_40816,531,176.47060000000056,1-19-14-14-0
19,sequence_40826,539,sequence_40818,522,265.9270000000006,1-19-14-14-0
66,sequence_40826,539,sequence_40832,555,61.812699999999495,1-7-5-5-0
13,sequence_40826,539,sequence_40841,528,57.16539999999986,1-7-5-5-0
12,sequence_40826,539,sequence_40840,528,30.63810000000012,1-7-5-5-0
60,sequence_40826,539,sequence_40837,543,113.7622999999994,1-7-5-5-0
46,sequence_40826,539,sequence_40819,532,123.61319999999978,1-7-5-5-0
63,sequence_40826,539,sequence_40822,549,158.42190000000028,1-7-5-5-0
56,sequence_40826,539,sequence_40810,549,82.24359999999979,1-7-5-5-0
59,sequence_40826,539,sequence_40836,543,75.65700000000015,1-7-5-5-0
34,sequence_40826,539,sequence_40861,464,957.0963000000002,0-2-2-2-3
36,sequence_40826,539,sequence_40854,465,847.9693,0-2-2-2-3
29,sequence_40826,539,sequence_40852,474,819.7157,0-2-2-2-3
25,sequence_40826,539,sequence_40815,498,788.0678,0-2-2-2-3
38,sequence_40826,539,sequence_40848,461,877.3474000000001,0-2-2-2-3
39,sequence_40826,539,sequence_40849,464,822.0125000000003,0-2-2-2-3
27,sequence_40826,539,sequence_40847,486,832.771,0-2-2-2-3
47,sequence_40826,539,sequence_40824,523,47.59189999999944,0-7-5-5-0
64,sequence_40826,539,sequence_40823,546,43.762400000000525,0-7-5-5-0
44,sequence_40826,539,sequence_40839,538,29.54320000000007,0-7-5-5-0
11,sequence_40826,539,sequence_40857,522,66.20530000000053,0-7-5-5-0
7,sequence_40826,539,sequence_40813,528,26.52729999999974,0-7-5-5-0
16,sequence_40826,539,sequence_40838,531,70.77729999999974,0-7-5-5-0
18,sequence_40826,539,sequence_40817,528,29.54320000000007,0-7-5-5-0
10,sequence_40826,539,sequence_40855,522,29.54320000000007,0-7-5-5-0
0,sequence_40826,539,sequence_40787,510,9.85089999999991,0-7-5-5-0
69,sequence_40826,539,sequence_40798,579,425.1734000000006,1-0-0-0-10
79,sequence_40826,539,sequence_40867,622,493.7934,1-0-0-0-10
76,sequence_40826,539,sequence_40866,620,464.53260000000046,1-0-0-0-10
77,sequence_40826,539,sequence_40799,597,492.5324999999998,1-0-0-0-10
72,sequence_40826,539,sequence_40801,561,501.2223000000004,1-0-0-0-10
73,sequence_40826,539,sequence_40802,560,455.2765999999997,1-20-6-6-7
62,sequence_40826,539,sequence_40821,549,262.41470000000027,1-5-10-10-9
61,sequence_40826,539,sequence_40820,543,235.88740000000053,1-5-10-10-9
75,sequence_40826,539,sequence_40795,562,415.3225000000002,1-5-10-10-9
49,sequence_40826,539,sequence_40797,558,152.90779999999995,1-3-12-12-7
53,sequence_40826,539,sequence_40805,564,187.8757000000005,1-3-12-12-7
52,sequence_40826,539,sequence_40804,561,197.7821000000004,1-3-12-12-7
50,sequence_40826,539,sequence_40800,558,228.95670000000064,1-3-12-12-7
4,sequence_40826,539,sequence_40807,528,416.7214000000004,1-15-18-18-8
55,sequence_40826,539,sequence_40808,543,412.0740999999998,1-15-18-18-8
22,sequence_40826,539,sequence_40829,528,206.0137999999997,0-22-21-21-0
30,sequence_40826,539,sequence_40843,495,411.2631000000001,1-9-1-1-2
14,sequence_40826,539,sequence_40842,522,125.64379999999984,0-4-1-1-0
6,sequence_40826,539,sequence_40811,534,272.2655999999997,0-21-19-19-0
15,sequence_40826,539,sequence_40844,519,205.2492999999995,0-4-1-1-2
37,sequence_40826,539,sequence_40853,463,1047.5394,0-12-16-16-3
3,sequence_40826,539,sequence_40806,525,139.8085000000001,1-1-11-11-0
5,sequence_40826,539,sequence_40809,528,187.76470000000063,1-1-11-11-0
40,sequence_40826,539,sequence_40850,462,920.0503,0-2-13-27-3
31,sequence_40826,539,sequence_40846,483,842.3118999999997,0-8-8-8-4
26,sequence_40826,539,sequence_40851,477,813.6655999999998,0-8-8-8-4
45,sequence_40826,539,sequence_40835,535,329.6269999999995,1-16-27-28-0
41,sequence_40826,539,sequence_40792,517,262.41470000000027,1-6-20-20-6
42,sequence_40826,539,sequence_40790,523,235.88740000000053,1-6-20-20-6
20,sequence_40826,539,sequence_40827,525,200.8640000000005,1-18-4-4-10
68,sequence_40826,539,sequence_40830,558,272.26560000000063,1-18-4-4-10
21,sequence_40826,539,sequence_40828,519,276.91290000000026,1-18-4-4-10
28,sequence_40826,539,sequence_40858,495,449.11210000000005,0-9-1-1-2
24,sequence_40826,539,sequence_40856,498,412.6947,0-9-1-1-2
35,sequence_40826,539,sequence_40812,464,1297.4636,0-11-15-15-5
43,sequence_40826,539,sequence_40860,535,197.78209999999945,1-20-6-6-0
57,sequence_40826,539,sequence_40862,546,235.8873999999996,1-20-6-6-0
58,sequence_40826,539,sequence_40859,543,309.6894000000002,1-14-17-17-0
2,sequence_40826,539,sequence_40794,519,165.35170000000016,1-24-9-9-0
1,sequence_40826,539,sequence_40789,510,215.86470000000008,1-24-9-9-0
67,sequence_40826,539,sequence_40833,549,228.95669999999973,1-27-25-25-0
23,sequence_40826,539,sequence_40831,525,176.47059999999965,1-22-21-21-0
32,sequence_40826,539,sequence_40791,454,1040.3034,0-13-24-24-3
33,sequence_40826,539,sequence_40793,456,1065.3511,0-13-24-24-3
65,sequence_40826,539,sequence_40834,546,229.26490000000013,1-26-23-23-0
78,sequence_40826,539,sequence_40788,510,611.9913000000001,1-25-0-0-10
74,sequence_40826,539,sequence_40796,567,687.5880999999999,1-23-22-22-10
70,sequence_40826,539,sequence_40865,580,456.4643000000001,1-18-4-4-0
71,sequence_40826,539,sequence_40863,566,447.07310000000007,1-5-26-26-9
