,id_seq1,target_seq1,id_seq2,target_seq2,distance,profile
4,sequence_47787,5.0,sequence_47777,11.0,4748.540685056596,0-1-0-0-1
13,sequence_47787,5.0,sequence_47679,44.0,5254.154206760529,0-1-0-0-1
32,sequence_47787,5.0,sequence_47680,73.0,5270.706780183357,0-1-0-0-1
83,sequence_47787,5.0,sequence_47708,111.0,5965.706462781858,1-7-2-2-11
85,sequence_47787,5.0,sequence_47677,103.0,6351.870616076816,1-7-2-2-11
82,sequence_47787,5.0,sequence_47704,98.0,6151.666536933458,1-7-2-2-11
97,sequence_47787,5.0,sequence_47687,92.0,5730.607875271453,1-7-2-2-11
84,sequence_47787,5.0,sequence_47709,119.0,6678.779191907665,1-7-2-2-11
86,sequence_47787,5.0,sequence_47692,87.5,7096.295985872604,1-7-2-2-11
58,sequence_47787,5.0,sequence_47743,63.0,5521.683449720918,0-1-0-0-8
70,sequence_47787,5.0,sequence_47738,55.0,5723.925757658297,0-1-0-0-8
28,sequence_47787,5.0,sequence_47768,17.0,5251.951048063735,0-1-0-0-8
34,sequence_47787,5.0,sequence_47700,65.0,5478.312499281851,0-1-0-0-8
79,sequence_47787,5.0,sequence_47675,57.0,5736.8100790422295,0-1-0-0-8
33,sequence_47787,5.0,sequence_47673,65.5,5717.136451964272,0-1-0-0-8
78,sequence_47787,5.0,sequence_47706,77.0,5388.37419653692,0-1-0-0-8
77,sequence_47787,5.0,sequence_47701,63.0,5499.060214218528,0-1-0-0-8
130,sequence_47787,5.0,sequence_47674,38.0,5940.247692723071,1-1-0-0-9
72,sequence_47787,5.0,sequence_47702,69.0,5696.360838153626,1-1-0-0-9
116,sequence_47787,5.0,sequence_47755,100.0,7352.00368838707,1-1-0-0-9
76,sequence_47787,5.0,sequence_47691,40.0,6668.084116245012,1-1-0-0-9
30,sequence_47787,5.0,sequence_47681,44.0,5506.481288799338,1-1-0-0-9
73,sequence_47787,5.0,sequence_47672,76.0,5573.665961793525,1-1-0-0-9
80,sequence_47787,5.0,sequence_47698,56.0,6662.773721418912,1-1-0-0-9
74,sequence_47787,5.0,sequence_47705,71.0,5633.527836763611,1-1-0-0-9
57,sequence_47787,5.0,sequence_47741,102.0,5692.054839389613,1-1-0-0-8
59,sequence_47787,5.0,sequence_47752,67.0,7244.479563279853,1-1-0-0-8
64,sequence_47787,5.0,sequence_47744,69.0,6165.999682202608,1-1-0-0-8
40,sequence_47787,5.0,sequence_47724,48.0,6551.969536720434,1-0-6-6-11
36,sequence_47787,5.0,sequence_47683,75.0,5867.511327104017,2-7-2-2-11
133,sequence_47787,5.0,sequence_47739,35.0,6490.511157106394,2-7-2-2-11
131,sequence_47787,5.0,sequence_47676,56.0,6483.650002495587,2-7-2-2-11
120,sequence_47787,5.0,sequence_47740,158.0,6257.432299488622,2-7-2-2-11
98,sequence_47787,5.0,sequence_47693,64.0,6004.645155891085,2-7-2-2-11
121,sequence_47787,5.0,sequence_47742,108.0,6473.618656056567,2-7-2-2-11
88,sequence_47787,5.0,sequence_47707,79.0,6109.947894032586,2-7-2-2-11
87,sequence_47787,5.0,sequence_47703,95.0,6290.108343833426,2-7-2-2-11
39,sequence_47787,5.0,sequence_47682,53.0,6015.014758375395,2-7-2-2-11
60,sequence_47787,5.0,sequence_47745,83.0,4004.586512907188,1-4-5-5-4
62,sequence_47787,5.0,sequence_47748,79.0,3775.1822123962097,1-4-5-5-4
119,sequence_47787,5.0,sequence_47753,74.0,5742.969533571924,1-4-5-5-4
49,sequence_47787,5.0,sequence_47727,45.0,5756.412256020545,2-3-1-1-6
115,sequence_47787,5.0,sequence_47732,30.0,6327.121977647977,2-3-1-1-6
23,sequence_47787,5.0,sequence_47783,24.5,5437.569218841924,2-3-1-1-6
112,sequence_47787,5.0,sequence_47662,28.0,6205.169828389306,2-3-1-1-6
110,sequence_47787,5.0,sequence_47734,110.0,6776.721293453565,2-3-1-1-6
111,sequence_47787,5.0,sequence_47811,24.0,5457.096121980203,2-3-1-1-6
54,sequence_47787,5.0,sequence_47797,27.0,6011.6873505482,2-3-1-1-6
51,sequence_47787,5.0,sequence_47775,23.0,5475.768030085236,2-3-1-1-6
109,sequence_47787,5.0,sequence_47726,120.0,6108.427155911677,2-3-1-1-6
50,sequence_47787,5.0,sequence_47756,37.0,5778.431628538955,2-3-1-1-6
5,sequence_47787,5.0,sequence_47779,11.0,4807.760464236578,1-1-0-0-1
137,sequence_47787,5.0,sequence_47805,22.0,4883.627927164621,1-1-0-0-1
7,sequence_47787,5.0,sequence_47786,18.0,4151.16431779328,1-1-0-0-1
143,sequence_47787,5.0,sequence_47791,4.0,4449.362068861254,1-1-0-0-1
139,sequence_47787,5.0,sequence_47794,18.0,5123.796025463975,1-1-0-0-1
8,sequence_47787,5.0,sequence_47782,17.0,4266.558959264986,1-1-0-0-1
135,sequence_47787,5.0,sequence_47793,16.0,4729.886215558128,1-1-0-0-1
3,sequence_47787,5.0,sequence_47781,12.0,5451.749123111643,1-1-0-0-1
47,sequence_47787,5.0,sequence_47666,69.0,5320.726183823576,1-4-5-5-12
117,sequence_47787,5.0,sequence_47746,94.0,4303.58503695628,1-4-5-5-12
107,sequence_47787,5.0,sequence_47661,52.0,5368.467255561089,0-4-5-5-12
114,sequence_47787,5.0,sequence_47733,25.0,5319.044173134371,0-4-5-5-12
105,sequence_47787,5.0,sequence_47670,97.0,5453.417171990735,0-4-5-5-12
46,sequence_47787,5.0,sequence_47664,32.0,5040.915510554322,0-4-5-5-12
104,sequence_47787,5.0,sequence_47668,48.0,5468.006303325666,0-4-5-5-12
106,sequence_47787,5.0,sequence_47665,50.0,5883.522675066119,0-4-5-5-12
48,sequence_47787,5.0,sequence_47671,36.0,5272.785894173938,0-4-5-5-12
103,sequence_47787,5.0,sequence_47669,32.0,5186.938900430452,0-4-5-5-12
101,sequence_47787,5.0,sequence_47714,51.0,8099.913513211635,1-0-6-6-13
128,sequence_47787,5.0,sequence_47723,69.0,7805.207622084763,1-0-6-6-13
102,sequence_47787,5.0,sequence_47725,57.0,7545.084218178879,1-0-6-6-13
134,sequence_47787,5.0,sequence_47735,55.0,8592.511184407767,1-0-6-6-13
129,sequence_47787,5.0,sequence_47722,75.0,8013.808643257938,1-0-6-6-13
123,sequence_47787,5.0,sequence_47718,81.0,8025.675040105599,1-0-6-6-13
100,sequence_47787,5.0,sequence_47712,49.0,7823.466046126922,1-0-6-6-13
132,sequence_47787,5.0,sequence_47711,57.0,7280.805962346347,1-0-6-6-13
124,sequence_47787,5.0,sequence_47717,66.0,7059.3881153367465,1-0-6-6-13
122,sequence_47787,5.0,sequence_47715,101.0,7186.426783076235,1-0-6-6-13
145,sequence_47787,5.0,sequence_47729,34.0,2509.622243690957,2-2-3-3-2
25,sequence_47787,5.0,sequence_47750,25.0,2884.1461221558925,2-2-3-3-2
14,sequence_47787,5.0,sequence_47695,52.0,2214.1087713070283,2-2-3-3-2
55,sequence_47787,5.0,sequence_47798,23.0,5502.375840300195,2-4-1-1-4
144,sequence_47787,5.0,sequence_47788,5.0,1734.8156668331476,0-2-3-3-0
136,sequence_47787,5.0,sequence_47801,4.0,930.567893321788,0-2-3-3-0
10,sequence_47787,5.0,sequence_47795,7.0,2574.305137134813,0-2-3-3-0
9,sequence_47787,5.0,sequence_47772,12.0,2057.3900211372484,0-2-3-3-0
138,sequence_47787,5.0,sequence_47802,4.0,1953.588299197288,0-2-3-3-0
149,sequence_47787,5.0,sequence_47766,4.19,1671.8654362976615,0-2-3-3-0
11,sequence_47787,5.0,sequence_47776,9.0,656.1795333793793,0-2-3-3-0
41,sequence_47787,5.0,sequence_47806,73.0,5894.807661405734,1-7-2-2-5
71,sequence_47787,5.0,sequence_47769,25.0,6114.355801967791,1-7-2-2-5
19,sequence_47787,5.0,sequence_47785,25.0,5658.2450455980825,1-7-2-2-5
68,sequence_47787,5.0,sequence_47770,25.0,6500.063588588489,1-7-2-2-5
43,sequence_47787,5.0,sequence_47804,23.0,6788.033325010037,1-7-2-2-5
96,sequence_47787,5.0,sequence_47699,62.0,7106.633340240765,1-7-2-2-5
67,sequence_47787,5.0,sequence_47774,21.0,7075.012409925755,1-7-2-2-5
18,sequence_47787,5.0,sequence_47780,23.0,5687.841250727746,1-7-2-2-5
42,sequence_47787,5.0,sequence_47807,42.0,6607.451324966091,1-7-2-2-5
148,sequence_47787,5.0,sequence_47810,5.57,4689.875772566854,0-6-4-4-14
147,sequence_47787,5.0,sequence_47737,27.0,6047.373297702794,0-6-4-4-14
26,sequence_47787,5.0,sequence_47760,26.0,5781.7227132834605,0-6-4-4-14
141,sequence_47787,5.0,sequence_47808,4.0,5365.163458002753,0-6-4-4-14
146,sequence_47787,5.0,sequence_47809,10.0,5607.108647841314,0-6-4-4-14
150,sequence_47787,5.0,sequence_47736,19.0,5842.629810075918,0-6-4-4-14
127,sequence_47787,5.0,sequence_47719,66.0,6418.134902432948,2-0-6-6-13
126,sequence_47787,5.0,sequence_47716,84.0,6811.761499513403,2-0-6-6-13
81,sequence_47787,5.0,sequence_47688,90.0,4568.120621139707,2-4-5-5-4
113,sequence_47787,5.0,sequence_47731,32.0,5141.958582473577,2-4-5-5-4
35,sequence_47787,5.0,sequence_47689,52.0,4462.59399648594,2-4-5-5-4
53,sequence_47787,5.0,sequence_47758,22.0,5120.34241112018,2-4-5-5-4
52,sequence_47787,5.0,sequence_47730,35.0,5108.508298348888,2-4-5-5-4
22,sequence_47787,5.0,sequence_47757,36.0,4402.799821175278,2-4-5-5-4
24,sequence_47787,5.0,sequence_47796,20.0,4750.404199608834,0-4-5-5-4
21,sequence_47787,5.0,sequence_47663,36.0,4849.996301926574,0-4-5-5-4
6,sequence_47787,5.0,sequence_47784,21.0,3965.555077164225,0-4-5-5-4
94,sequence_47787,5.0,sequence_47764,118.0,6934.6939936866265,1-0-2-2-10
95,sequence_47787,5.0,sequence_47763,122.0,6632.566112189443,1-0-2-2-10
75,sequence_47787,5.0,sequence_47694,51.0,2920.85813508844,0-2-3-3-2
140,sequence_47787,5.0,sequence_47728,12.0,1996.794779114634,0-2-3-3-2
56,sequence_47787,5.0,sequence_47751,34.0,3316.474906868519,0-2-3-3-2
0,sequence_47787,5.0,sequence_47684,23.0,2008.766651762034,0-2-3-3-2
12,sequence_47787,5.0,sequence_47685,24.0,2633.416841993237,0-2-3-3-2
15,sequence_47787,5.0,sequence_47710,43.0,2491.19780133126,0-2-3-3-2
31,sequence_47787,5.0,sequence_47696,47.0,2781.3249559439114,0-2-3-3-2
37,sequence_47787,5.0,sequence_47697,55.5,3884.373676351808,0-5-7-7-3
90,sequence_47787,5.0,sequence_47765,118.0,6313.015031300597,1-7-2-2-10
93,sequence_47787,5.0,sequence_47761,120.0,6202.185522859361,1-7-2-2-10
91,sequence_47787,5.0,sequence_47767,105.0,6330.234723363095,1-7-2-2-10
2,sequence_47787,5.0,sequence_47790,9.0,2768.475241752064,2-5-7-7-3
27,sequence_47787,5.0,sequence_47773,19.0,3920.3788559041145,2-5-7-7-3
20,sequence_47787,5.0,sequence_47803,12.0,3402.3371837534414,2-5-7-7-3
1,sequence_47787,5.0,sequence_47789,10.0,3223.1407675417063,2-5-7-7-3
