id_seq1,target_seq1,id_seq2,target_seq2,distance
sequence_53082,55.0,sequence_19402,43.0,0.055716015288075765
sequence_53082,55.0,sequence_20054,49.0,0.05288263446483471
sequence_53082,55.0,sequence_20048,39.8,0.0504689569995197
sequence_53082,55.0,sequence_20036,52.9,0.03588504037399065
sequence_53082,55.0,sequence_19525,48.8,0.053687875910098125
sequence_53082,55.0,sequence_20061,45.0,0.026748795771345743
sequence_53082,55.0,sequence_19496,48.3,0.05370694071112848
sequence_53082,55.0,sequence_19477,61.5,0.03985410929043098
sequence_53082,55.0,sequence_19363,54.6,0.04298986957711529
sequence_53082,55.0,sequence_19500,51.2,0.04591133004926108
sequence_53082,55.0,sequence_19453,47.3,0.051546011461695546
sequence_53082,55.0,sequence_53075,51.6,0.02693682448347354
sequence_53082,55.0,sequence_19522,45.4,0.052584870327278675
sequence_53082,55.0,sequence_19523,50.8,0.052625191923135764
sequence_53082,55.0,sequence_53078,43.3,0.04641526386723395
sequence_53082,55.0,sequence_20069,53.4,0.03466149572091809
sequence_53082,55.0,sequence_53062,49.1,0.02991633634543758
sequence_53082,55.0,sequence_20060,52.6,0.029835549988006076
sequence_53082,55.0,sequence_53066,39.2,0.04570644805797147
sequence_53082,55.0,sequence_19417,47.9,0.05226053963568386
sequence_53082,55.0,sequence_19391,46.8,0.05190264078068391
sequence_53082,55.0,sequence_19447,51.0,0.040680379074412465
sequence_53082,55.0,sequence_53079,47.8,0.04431166879237075
sequence_53082,55.0,sequence_20042,49.4,0.04621278169665267
sequence_53082,55.0,sequence_19419,53.3,0.05000303817265803
sequence_53082,55.0,sequence_19425,56.9,0.029027665038789605
sequence_53082,55.0,sequence_19450,46.0,0.04134476114543884
sequence_53082,55.0,sequence_53085,51.2,0.01731240465420372
sequence_53082,55.0,sequence_19509,50.6,0.05349715996862895
sequence_53082,55.0,sequence_53059,47.1,0.045770108626738235
sequence_53082,55.0,sequence_19430,45.7,0.05262491526362574
sequence_53082,55.0,sequence_20052,42.9,0.04810185466626844
sequence_53082,55.0,sequence_19369,47.9,0.05125128240292639
sequence_53082,55.0,sequence_53064,48.4,0.03336238878317902
sequence_53082,55.0,sequence_20072,48.7,0.035156706662557255
sequence_53082,55.0,sequence_20038,49.1,0.039520238604736475
sequence_53082,55.0,sequence_20039,52.6,0.033490000823633494
sequence_53082,55.0,sequence_19506,49.3,0.054160617527826034
sequence_53082,55.0,sequence_20064,47.3,0.04661415657873869
sequence_53082,55.0,sequence_19530,45.6,0.05220333606492373
sequence_53082,55.0,sequence_19498,63.2,0.039210734101295504
sequence_53082,55.0,sequence_19504,50.6,0.05327633072071358
sequence_53082,55.0,sequence_19386,50.7,0.04363806078991891
sequence_53082,55.0,sequence_19519,50.3,0.035162582688903384
sequence_53082,55.0,sequence_19404,51.3,0.040066649509017054
sequence_53082,55.0,sequence_19446,39.5,0.05395424224105844
sequence_53082,55.0,sequence_20063,48.9,0.03106696206007576
sequence_53082,55.0,sequence_20043,46.6,0.036942925196411805
sequence_53082,55.0,sequence_19497,54.9,0.05044493055260588
sequence_53082,55.0,sequence_19490,52.9,0.05278561335358529
sequence_53082,55.0,sequence_19376,53.0,0.04765376143008826
sequence_53082,55.0,sequence_19406,53.8,0.04174496110676756
sequence_53082,55.0,sequence_19405,48.7,0.04185403710200394
sequence_53082,55.0,sequence_19382,52.0,0.039159635289366855
sequence_53082,55.0,sequence_20067,50.8,0.050995740149094776
sequence_53082,55.0,sequence_19409,51.1,0.034277316809201444
sequence_53082,55.0,sequence_19354,60.0,0.04189625638387578
sequence_53082,55.0,sequence_20040,47.2,0.04943216600173095
sequence_53082,55.0,sequence_19370,51.7,0.052921161606836714
sequence_53082,55.0,sequence_19432,51.0,0.05676699170042355
sequence_53082,55.0,sequence_19371,49.0,0.053922138291690874
sequence_53082,55.0,sequence_19434,48.0,0.054556316880260546
sequence_53082,55.0,sequence_19505,42.4,0.05312319419927333
sequence_53082,55.0,sequence_53070,45.7,0.043758172691610066
sequence_53082,55.0,sequence_19392,50.5,0.05051027544581473
sequence_53082,55.0,sequence_19357,58.5,0.0401068311966209
sequence_53082,55.0,sequence_20056,56.9,0.02936442800652305
sequence_53082,55.0,sequence_19526,49.3,0.05050446388503186
sequence_53082,55.0,sequence_20046,47.4,0.03374565051345159
sequence_53082,55.0,sequence_19443,48.0,0.03695379510709064
sequence_53082,55.0,sequence_19410,49.9,0.04059128600465883
sequence_53082,55.0,sequence_19390,46.3,0.048791535216386045
sequence_53082,55.0,sequence_19439,49.5,0.03494730800503802
sequence_53082,55.0,sequence_20071,44.9,0.030702977846142395
sequence_53082,55.0,sequence_19451,51.0,0.03776492538306553
sequence_53082,55.0,sequence_20041,48.5,0.05089911290343879
sequence_53082,55.0,sequence_19415,52.8,0.040987455201886625
sequence_53082,55.0,sequence_20035,52.5,0.03319941689258981
sequence_53082,55.0,sequence_20051,42.5,0.048381932260531536
sequence_53082,55.0,sequence_19397,49.6,0.05297413713468275
sequence_53082,55.0,sequence_19394,45.4,0.05326087243415305
sequence_53082,55.0,sequence_19374,50.7,0.048559301927081966
sequence_53082,55.0,sequence_19378,52.4,0.053188569498252916
sequence_53082,55.0,sequence_19441,49.0,0.03748373309772383
sequence_53082,55.0,sequence_19433,50.1,0.054726315650602236
sequence_53082,55.0,sequence_20062,57.9,0.03210929782378894
sequence_53082,55.0,sequence_19393,53.7,0.05389107729351258
sequence_53082,55.0,sequence_20065,46.5,0.0499809918053561
sequence_53082,55.0,sequence_19383,50.5,0.037722280161238526
sequence_53082,55.0,sequence_19422,46.6,0.04990593521039554
sequence_53082,55.0,sequence_19495,58.9,0.05324921435802016
sequence_53082,55.0,sequence_19431,50.5,0.052437509396339586
sequence_53082,55.0,sequence_20058,54.9,0.034776070053436005
sequence_53082,55.0,sequence_19488,51.3,0.051894051182596226
sequence_53082,55.0,sequence_19375,49.9,0.05398064799959958
sequence_53082,55.0,sequence_19511,62.4,0.03645332786697584
