,id_seq1,target_seq1,id_seq2,target_seq2,distance,profile
4,sequence_47787,5.0,sequence_47777,11.0,1.2248886022944372,1-5-8-8-139-0
83,sequence_47787,5.0,sequence_47708,111.0,5.8002474012280025,0-12-16-16-42-8
58,sequence_47787,5.0,sequence_47743,63.0,3.430687251158025,0-26-5-5-16-4
130,sequence_47787,5.0,sequence_47674,38.0,5.2248886022944365,1-14-19-19-59-12
57,sequence_47787,5.0,sequence_47741,102.0,3.371337672035392,0-26-5-5-15-4
40,sequence_47787,5.0,sequence_47724,48.0,5.224888602294437,2-12-16-16-97-8
36,sequence_47787,5.0,sequence_47683,75.0,5.284238181417071,2-12-16-16-70-8
60,sequence_47787,5.0,sequence_47745,83.0,3.430687251158025,1-20-14-14-22-17
49,sequence_47787,5.0,sequence_47727,45.0,4.030585405755755,0-6-15-15-35-14
5,sequence_47787,5.0,sequence_47779,11.0,1.2248886022944372,3-28-11-11-129-0
133,sequence_47787,5.0,sequence_47739,35.0,5.371337672035391,1-8-23-23-19-5
115,sequence_47787,5.0,sequence_47732,30.0,5.0,1-17-10-10-30-14
47,sequence_47787,5.0,sequence_47666,69.0,6.0,0-0-17-17-88-13
107,sequence_47787,5.0,sequence_47661,52.0,6.0,0-14-2-2-81-12
70,sequence_47787,5.0,sequence_47738,55.0,3.371337672035392,0-20-14-14-20-4
101,sequence_47787,5.0,sequence_47714,51.0,6.451059407592931,2-22-3-3-1-9
145,sequence_47787,5.0,sequence_47729,34.0,2.0,1-15-26-26-36-0
59,sequence_47787,5.0,sequence_47752,67.0,3.3167699851840444,0-26-5-5-11-4
72,sequence_47787,5.0,sequence_47702,69.0,5.25776934000544,1-18-25-25-74-10
55,sequence_47787,5.0,sequence_47798,23.0,4.0,3-16-1-1-105-17
144,sequence_47787,5.0,sequence_47788,5.0,1.0,1-2-12-12-136-3
41,sequence_47787,5.0,sequence_47806,73.0,4.25776934000544,2-24-20-20-143-11
71,sequence_47787,5.0,sequence_47769,25.0,4.224888602294437,3-8-9-9-118-5
19,sequence_47787,5.0,sequence_47785,25.0,4.0,3-27-7-7-126-9
131,sequence_47787,5.0,sequence_47676,56.0,6.224888602294437,0-3-21-21-58-7
148,sequence_47787,5.0,sequence_47810,5.57,1.0,3-19-11-11-146-0
127,sequence_47787,5.0,sequence_47719,66.0,5.541343047164057,1-3-18-18-95-7
147,sequence_47787,5.0,sequence_47737,27.0,2.180041763803546,1-15-26-26-6-4
137,sequence_47787,5.0,sequence_47805,22.0,3.0,3-10-0-0-111-17
7,sequence_47787,5.0,sequence_47786,18.0,2.0,2-5-8-8-122-1
81,sequence_47787,5.0,sequence_47688,90.0,6.0,0-16-1-1-48-13
128,sequence_47787,5.0,sequence_47723,69.0,7.0,2-13-13-13-0-16
129,sequence_47787,5.0,sequence_47722,75.0,7.0,2-13-13-13-0-16
