,id_seq1,target_seq1,id_seq2,target_seq2,distance,profile
4,sequence_47787,5.0,sequence_47777,11.0,0.0025334262555474,1-3-0-0-2
41,sequence_47787,5.0,sequence_47806,73.0,0.0030677880470971,1-3-0-0-2
71,sequence_47787,5.0,sequence_47769,25.0,0.0029385657609304,1-3-0-0-2
19,sequence_47787,5.0,sequence_47785,25.0,0.0013799272124463,1-3-0-0-2
102,sequence_47787,5.0,sequence_47725,57.0,0.002800166089294,1-3-0-0-2
28,sequence_47787,5.0,sequence_47768,17.0,0.0029343677529594,1-3-0-0-2
43,sequence_47787,5.0,sequence_47804,23.0,0.0020345012516936,1-3-0-0-2
17,sequence_47787,5.0,sequence_47778,26.0,0.0025376886517736,1-3-0-0-2
67,sequence_47787,5.0,sequence_47774,21.0,0.0021203680159189,1-3-0-0-2
18,sequence_47787,5.0,sequence_47780,23.0,0.0025376886517736,1-3-0-0-2
42,sequence_47787,5.0,sequence_47807,42.0,0.0025473053182457,1-3-0-0-2
44,sequence_47787,5.0,sequence_47800,20.0,0.0030686846978006,1-3-0-0-2
3,sequence_47787,5.0,sequence_47781,12.0,0.0027492479676234,1-3-0-0-2
83,sequence_47787,5.0,sequence_47708,111.0,0.0044495999324474,0-3-0-0-5
58,sequence_47787,5.0,sequence_47743,63.0,0.0042203049126967,0-3-0-0-5
130,sequence_47787,5.0,sequence_47674,38.0,0.0037852009650545,0-3-0-0-5
60,sequence_47787,5.0,sequence_47745,83.0,0.0041150165586805,0-3-0-0-5
133,sequence_47787,5.0,sequence_47739,35.0,0.0037907598759425,0-3-0-0-5
70,sequence_47787,5.0,sequence_47738,55.0,0.0037866352901892,0-3-0-0-5
72,sequence_47787,5.0,sequence_47702,69.0,0.0039142925796071,0-3-0-0-5
131,sequence_47787,5.0,sequence_47676,56.0,0.0035436393826628,0-3-0-0-5
94,sequence_47787,5.0,sequence_47764,118.0,0.0045441354901641,0-3-0-0-5
120,sequence_47787,5.0,sequence_47740,158.0,0.0050290450484642,0-3-0-0-5
90,sequence_47787,5.0,sequence_47765,118.0,0.0048917004653216,0-3-0-0-5
85,sequence_47787,5.0,sequence_47677,103.0,0.0039773226203215,0-3-0-0-5
34,sequence_47787,5.0,sequence_47700,65.0,0.0036685159693375,0-3-0-0-5
89,sequence_47787,5.0,sequence_47762,127.0,0.0046575850542643,0-3-0-0-5
82,sequence_47787,5.0,sequence_47704,98.0,0.0041060943067512,0-3-0-0-5
69,sequence_47787,5.0,sequence_47713,51.0,0.0048107760325429,0-3-0-0-5
93,sequence_47787,5.0,sequence_47761,120.0,0.0044251504604987,0-3-0-0-5
88,sequence_47787,5.0,sequence_47707,79.0,0.0040158022571805,0-3-0-0-5
92,sequence_47787,5.0,sequence_47812,121.0,0.0035196752179014,0-3-0-0-5
123,sequence_47787,5.0,sequence_47718,81.0,0.0029156779225345,0-3-0-0-5
64,sequence_47787,5.0,sequence_47744,69.0,0.0029795089084837,0-3-0-0-5
117,sequence_47787,5.0,sequence_47746,94.0,0.0043609424595314,0-3-0-0-5
87,sequence_47787,5.0,sequence_47703,95.0,0.0036726289637369,0-3-0-0-5
33,sequence_47787,5.0,sequence_47673,65.5,0.0035394974241445,0-3-0-0-5
124,sequence_47787,5.0,sequence_47717,66.0,0.0041670363139585,0-3-0-0-5
78,sequence_47787,5.0,sequence_47706,77.0,0.0040450356907727,0-3-0-0-5
77,sequence_47787,5.0,sequence_47701,63.0,0.0037017950031298,0-3-0-0-5
57,sequence_47787,5.0,sequence_47741,102.0,0.0037866352901892,2-3-0-0-5
121,sequence_47787,5.0,sequence_47742,108.0,0.0037907598759425,2-3-0-0-5
122,sequence_47787,5.0,sequence_47715,101.0,0.0037333963674542,2-3-0-0-5
40,sequence_47787,5.0,sequence_47724,48.0,0.0033023355875166,1-3-0-0-9
128,sequence_47787,5.0,sequence_47723,69.0,0.0028853507602278,1-3-0-0-9
91,sequence_47787,5.0,sequence_47767,105.0,0.0034310459592218,1-3-0-0-9
100,sequence_47787,5.0,sequence_47712,49.0,0.0031897260441977,1-3-0-0-9
36,sequence_47787,5.0,sequence_47683,75.0,0.0035773349177216,2-3-0-0-1
98,sequence_47787,5.0,sequence_47693,64.0,0.0038921584640062,2-3-0-0-1
13,sequence_47787,5.0,sequence_47679,44.0,0.0031390075471738,2-3-0-0-1
84,sequence_47787,5.0,sequence_47709,119.0,0.0039297667638273,2-3-0-0-1
30,sequence_47787,5.0,sequence_47681,44.0,0.0033845198815484,2-3-0-0-1
32,sequence_47787,5.0,sequence_47680,73.0,0.0031726420388276,2-3-0-0-1
74,sequence_47787,5.0,sequence_47705,71.0,0.0033921255043917,2-3-0-0-1
39,sequence_47787,5.0,sequence_47682,53.0,0.0031432137789233,2-3-0-0-1
49,sequence_47787,5.0,sequence_47727,45.0,0.0098567868042579,2-2-3-3-4
115,sequence_47787,5.0,sequence_47732,30.0,0.0095766164710807,2-2-3-3-4
23,sequence_47787,5.0,sequence_47783,24.5,0.0094647759821503,2-2-3-3-4
112,sequence_47787,5.0,sequence_47662,28.0,0.0112053544408537,2-2-3-3-4
110,sequence_47787,5.0,sequence_47734,110.0,0.0102513999434312,2-2-3-3-4
111,sequence_47787,5.0,sequence_47811,24.0,0.0099177535321789,2-2-3-3-4
54,sequence_47787,5.0,sequence_47797,27.0,0.0091841714084169,2-2-3-3-4
51,sequence_47787,5.0,sequence_47775,23.0,0.0099759645226612,2-2-3-3-4
109,sequence_47787,5.0,sequence_47726,120.0,0.010248197768402,2-2-3-3-4
